term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0016874	GO:0016874	2	9	2/29	37.126	0.0012135318987929844	SC_RS34380;SC_RS40605	0.0618901268384422
GO:0008270	GO:0008270	3	90	3/29	5.569	0.015979538485387607	SC_RS29420;SC_RS32515;SC_RS33075	0.10116730336102972
GO:0006418	GO:0006418	1	3	1/29	55.69	0.017853053534299362	SC_RS34375	0.10116730336102972
GO:0004574	GO:0004574	1	3	1/29	55.69	0.017853053534299362	SC_RS37275	0.10116730336102972
GO:0004556	GO:0004556	1	3	1/29	55.69	0.017853053534299362	SC_RS37275	0.10116730336102972
GO:0009311	GO:0009311	1	3	1/29	55.69	0.017853053534299362	SC_RS37275	0.10116730336102972
GO:1901576	GO:1901576	1	3	1/29	55.69	0.017853053534299362	SC_RS40605	0.10116730336102972
GO:0044550	GO:0044550	1	3	1/29	55.69	0.017853053534299362	SC_RS40605	0.10116730336102972
GO:0019184	GO:0019184	1	3	1/29	55.69	0.017853053534299362	SC_RS40605	0.10116730336102972
GO:0031177	GO:0031177	1	4	1/29	41.767	0.023735387579632963	SC_RS40605	0.11004588786920737
GO:0004812	GO:0004812	1	4	1/29	41.767	0.023735387579632963	SC_RS34375	0.11004588786920737
GO:0004553	GO:0004553	2	49	2/29	6.819	0.03419968790225692	SC_RS21340;SC_RS37275	0.12035379996969602
GO:0047355	GO:0047355	1	6	1/29	27.845	0.0353981764616753	SC_RS17020	0.12035379996969602
GO:0019350	GO:0019350	1	6	1/29	27.845	0.0353981764616753	SC_RS17020	0.12035379996969602
GO:0015293	GO:0015293	1	6	1/29	27.845	0.0353981764616753	SC_RS38205	0.12035379996969602
GO:0015803	GO:0015803	1	7	1/29	23.867	0.041179009874076904	SC_RS05460	0.12353702962223072
GO:0006814	GO:0006814	1	7	1/29	23.867	0.041179009874076904	SC_RS38205	0.12353702962223072
GO:0042626	GO:0042626	4	245	4/29	2.728	0.05609035877773093	SC_RS05460;SC_RS10550;SC_RS20895;SC_RS30795	0.15892268320357095
GO:0050896	GO:0050896	1	11	1/29	15.188	0.06396963942035788	SC_RS02810	0.1717079794967501
GO:0140359	GO:0140359	4	268	4/29	2.494	0.07323358628968311	SC_RS05460;SC_RS10550;SC_RS20895;SC_RS30795	0.18255066720046878
GO:0008152	GO:0008152	1	13	1/29	12.851	0.07516792178842832	SC_RS34265	0.18255066720046878
GO:0005576	GO:0005576	1	14	1/29	11.933	0.08071844543663521	SC_RS21340	0.1871200326031089
GO:0022857	GO:0022857	3	183	3/29	2.739	0.0945313994659753	SC_RS07905;SC_RS23510;SC_RS39180	0.19824253456002627
GO:0006865	GO:0006865	1	17	1/29	9.828	0.09717771301962072	SC_RS38205	0.19824253456002627
GO:0004222	GO:0004222	1	17	1/29	9.828	0.09717771301962072	SC_RS29420	0.19824253456002627
GO:0016020	GO:0016020	5	427	5/29	1.956	0.10636232163731058	SC_RS07905;SC_RS20895;SC_RS23510;SC_RS38205;SC_RS39180	0.2086337847501092
GO:0005975	GO:0005975	2	98	2/29	3.41	0.11567273944998016	SC_RS21340;SC_RS37275	0.208715470739479
GO:0005524	GO:0005524	6	570	6/29	1.759	0.11728691938617938	SC_RS02810;SC_RS08715;SC_RS08720;SC_RS10550;SC_RS34375;SC_RS34380	0.208715470739479
GO:0030246	GO:0030246	1	21	1/29	7.956	0.11868134610676256	SC_RS21340	0.208715470739479
GO:0016747	GO:0016747	1	22	1/29	7.594	0.12397948892660171	SC_RS39855	0.21076513117522291
GO:0051536	GO:0051536	1	29	1/29	5.761	0.16021483205415513	SC_RS32075	0.26357923983102943
GO:0071555	GO:0071555	1	31	1/29	5.389	0.17029911748795787	SC_RS17020	0.2709140331619505
GO:0004722	GO:0004722	1	32	1/29	5.221	0.17529731557537975	SC_RS37545	0.2709140331619505
GO:0016791	GO:0016791	1	36	1/29	4.641	0.19500096100414396	SC_RS37545	0.292501441506216
GO:0016757	GO:0016757	1	39	1/29	4.284	0.20947960994595435	SC_RS33200	0.3052417173498192
GO:0071949	GO:0071949	1	46	1/29	3.632	0.2422920058504251	SC_RS32075	0.34028134387925896
GO:0043190	GO:0043190	1	47	1/29	3.555	0.2468707788927957	SC_RS20895	0.34028134387925896
GO:0050660	GO:0050660	1	49	1/29	3.41	0.25594831344610763	SC_RS32075	0.3435095785724076
GO:0055085	GO:0055085	3	321	3/29	1.561	0.30107602651611876	SC_RS07905;SC_RS23510;SC_RS39180	0.3937148039056938
GO:0055052	GO:0055052	1	66	1/29	2.531	0.32895811260708185	SC_RS30795	0.41942159357402936
GO:0000166	GO:0000166	1	72	1/29	2.32	0.3530350153357895	SC_RS34375	0.43914111663720157
GO:0016787	GO:0016787	2	230	2/29	1.453	0.4036068206920148	SC_RS05135;SC_RS08715	0.49009399655458946
GO:0000160	GO:0000160	1	88	1/29	1.899	0.4132328115897117	SC_RS11030	0.4901133346761697
GO:0006508	GO:0006508	1	111	1/29	1.505	0.4903840941802987	SC_RS29420	0.5683997455271644
GO:0003824	GO:0003824	1	121	1/29	1.381	0.5207840806347954	SC_RS12195	0.5902219580527681
GO:0046872	GO:0046872	2	350	2/29	0.955	0.6304795185464948	SC_RS05135;SC_RS32075	0.6990099009972007
GO:0016887	GO:0016887	1	191	1/29	0.875	0.6895828108685366	SC_RS10550	0.7482707096658588
GO:0016491	GO:0016491	1	264	1/29	0.633	0.8040149235206632	SC_RS32075	0.8542658562407046
GO:0003677	GO:0003677	2	684	2/29	0.489	0.9307227397376135	SC_RS08720;SC_RS27300	0.948262455971914
GO:0003700	GO:0003700	1	464	1/29	0.36	0.9465147227123006	SC_RS08720	0.948262455971914
GO:0006355	GO:0006355	1	469	1/29	0.356	0.948262455971914	SC_RS08720	0.948262455971914
