term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00564	Glycerophospholipid metabolism	5	25	5/78	4.305	0.004862013260708212	SCO1228;SCO1419;SCO1565;SCO1566;SCO5559	0.38409904759594876
sco03440	Homologous recombination	4	23	4/78	3.744	0.01945967869949093	SCO1475;SCO1519;SCO1827;SCO3907	0.7686573086298918
sco00260	Glycine, serine and threonine metabolism	5	44	5/78	2.446	0.04994423147475978	SCO2036;SCO4837;SCO5472;SCO6799;SCO6818	0.8485533551252484
sco03430	Mismatch repair	3	19	3/78	3.399	0.05465856949416729	SCO1827;SCO3907;SCO5056	0.8485533551252484
sco00785	Lipoic acid metabolism	3	20	3/78	3.229	0.06221560821901785	SCO2183;SCO3830;SCO5472	0.8485533551252484
sco00670	One carbon pool by folate	3	23	3/78	2.808	0.08757789214990261	SCO4813;SCO4837;SCO5472	0.8485533551252484
sco00230	Purine metabolism	6	71	6/78	1.819	0.10749115036514886	SCO0690;SCO2546;SCO3059;SCO4813;SCO4972;SCO6209	0.8485533551252484
sco01110	Biosynthesis of secondary metabolites	29	515	29/78	1.212	0.12578526201615503	SCO0185;SCO0549;SCO0731;SCO1174;SCO1228;SCO1566;SCO2019;SCO2036;SCO2183;SCO2256;SCO2779;SCO3059;SCO3096;SCO3830;SCO4234;SCO4323;SCO4813;SCO4837;SCO5472;SCO5559;SCO6179;SCO6497;SCO6760;SCO6818;SCO6984;SCO7338;SCO7362;SCO7417;SCO7452	0.8485533551252484
sco00010	Glycolysis / Gluconeogenesis	5	58	5/78	1.856	0.12804311450910755	SCO1174;SCO2183;SCO3096;SCO6818;SCO7362	0.8485533551252484
sco00626	Naphthalene degradation	1	3	1/78	7.175	0.13306993778098505	SCO7362	0.8485533551252484
sco01059	Biosynthesis of enediyne antibiotics	1	3	1/78	7.175	0.13306993778098505	SCO7417	0.8485533551252484
sco00970	Aminoacyl-tRNA biosynthesis	3	31	3/78	2.083	0.17149867635655727	SCO1501;SCO5498;SCO5499	0.8485533551252484
sco00680	Methane metabolism	3	31	3/78	2.083	0.17149867635655727	SCO3096;SCO4837;SCO6818	0.8485533551252484
sco00071	Fatty acid degradation	3	34	3/78	1.899	0.2074360236307864	SCO6552;SCO6787;SCO7362	0.8485533551252484
sco00906	Carotenoid biosynthesis	1	5	1/78	4.305	0.2119079826298224	SCO6760	0.8485533551252484
sco00521	Streptomycin biosynthesis	2	19	2/78	2.266	0.21972020480011378	SCO6179;SCO6984	0.8485533551252484
sco03030	DNA replication	2	20	2/78	2.153	0.23722071553134674	SCO1827;SCO3907	0.8485533551252484
sco01230	Biosynthesis of amino acids	9	148	9/78	1.309	0.24409475511940532	SCO0546;SCO0731;SCO2019;SCO2036;SCO3096;SCO4837;SCO5139;SCO6497;SCO6818	0.8485533551252484
sco01055	Biosynthesis of vancomycin group antibiotics	1	6	1/78	3.588	0.248629116055673	SCO6179	0.8485533551252484
sco00523	Polyketide sugar unit biosynthesis	1	6	1/78	3.588	0.248629116055673	SCO6179	0.8485533551252484
sco00998	Biosynthesis of various antibiotics	1	6	1/78	3.588	0.248629116055673	SCO0549	0.8485533551252484
sco04981	Folate transport and metabolism	1	6	1/78	3.588	0.248629116055673	SCO4837	0.8485533551252484
sco00620	Pyruvate metabolism	4	56	4/78	1.538	0.2604923756201297	SCO0546;SCO1174;SCO2183;SCO7362	0.8485533551252484
sco03060	Protein export	2	22	2/78	1.957	0.27240894844012126	SCO2128;SCO3768	0.8485533551252484
sco02010	ABC transporters	11	193	11/78	1.227	0.2787274433581664	SCO1707;SCO1787;SCO2229;SCO2323;SCO2404;SCO4886;SCO4888;SCO5959;SCO5961;SCO6095;SCO6757	0.8485533551252484
sco03450	Non-homologous end-joining	1	7	1/78	3.075	0.2836601554744759	SCO7345	0.8485533551252484
sco00900	Terpenoid backbone biosynthesis	2	23	2/78	1.872	0.2900119061820469	SCO0185;SCO4234	0.8485533551252484
sco00253	Tetracycline biosynthesis	1	8	1/78	2.691	0.3170779233410973	SCO7452	0.8589222199770269
sco00561	Glycerolipid metabolism	2	25	2/78	1.722	0.3250509620400217	SCO1228;SCO1566	0.8589222199770269
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis	2	28	2/78	1.538	0.37673554218210636	SCO2019;SCO2036	0.8589222199770269
sco00770	Pantothenate and CoA biosynthesis	2	28	2/78	1.538	0.37673554218210636	SCO2256;SCO6411	0.8589222199770269
sco01232	Nucleotide metabolism	3	49	3/78	1.318	0.40032483364174315	SCO0690;SCO2546;SCO4972	0.8589222199770269
sco00750	Vitamin B6 metabolism	1	11	1/78	1.957	0.4083690115364108	SCO0429	0.8589222199770269
sco01057	Biosynthesis of type II polyketide products	1	11	1/78	1.957	0.4083690115364108	SCO7452	0.8589222199770269
sco00625	Chloroalkane and chloroalkene degradation	1	12	1/78	1.794	0.436035208838665	SCO7362	0.8589222199770269
sco01310	Nitrogen cycle	1	13	1/78	1.656	0.4624234834101012	SCO0219	0.8589222199770269
sco03018	RNA degradation	1	14	1/78	1.538	0.48759213184588257	SCO3096	0.8589222199770269
sco00460	Cyanoamino acid metabolism	1	14	1/78	1.538	0.48759213184588257	SCO4837	0.8589222199770269
sco00630	Glyoxylate and dicarboxylate metabolism	3	57	3/78	1.133	0.5000246532872574	SCO4323;SCO4837;SCO5472	0.8589222199770269
sco00450	Selenocompound metabolism	1	15	1/78	1.435	0.5115968247684175	SCO0731	0.8589222199770269
sco00020	Citrate cycle (TCA cycle)	2	37	2/78	1.164	0.5202365304399252	SCO0546;SCO2183	0.8589222199770269
sco03070	Bacterial secretion system	1	16	1/78	1.345	0.5344907236073982	SCO3768	0.8589222199770269
sco01200	Carbon metabolism	7	148	7/78	1.018	0.5407123317643914	SCO0546;SCO2183;SCO3096;SCO4837;SCO5472;SCO6497;SCO6818	0.8589222199770269
sco00541	Biosynthesis of various nucleotide sugars	1	17	1/78	1.266	0.5563245922535939	SCO6179	0.8589222199770269
sco03010	Ribosome	3	62	3/78	1.042	0.5580887926306631	SCO4705;SCO4720;SCO4734	0.8589222199770269
sco00562	Inositol phosphate metabolism	1	18	1/78	1.196	0.5771469038084794	SCO6984	0.8589222199770269
sco00350	Tyrosine metabolism	1	18	1/78	1.196	0.5771469038084794	SCO7362	0.8589222199770269
sco00920	Sulfur metabolism	1	19	1/78	1.133	0.5970039426422774	SCO6095	0.8589222199770269
sco00780	Biotin metabolism	1	19	1/78	1.133	0.5970039426422774	SCO1245	0.8589222199770269
