term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00564	Glycerophospholipid metabolism	3	25	3/25	8.059	0.005406376626909918	SCO1228;SCO1419;SCO1565	0.22166144170330665
sco03060	Protein export	2	22	2/25	6.105	0.04099167547914223	SCO2128;SCO3768	0.7076947977791882
sco00998	Biosynthesis of various antibiotics	1	6	1/25	11.193	0.08620225851386669	SCO0549	0.7076947977791882
sco00071	Fatty acid degradation	2	34	2/25	3.951	0.0893529626911361	SCO6552;SCO6787	0.7076947977791882
sco03450	Non-homologous end-joining	1	7	1/25	9.594	0.09985733534420338	SCO7345	0.7076947977791882
sco00253	Tetracycline biosynthesis	1	8	1/25	8.395	0.1133164062870233	SCO7452	0.7076947977791882
sco01057	Biosynthesis of type II polyketide products	1	11	1/25	6.105	0.15254438520170968	SCO7452	0.7076947977791882
sco01212	Fatty acid metabolism	2	47	2/25	2.858	0.15334485926012398	SCO6552;SCO6787	0.7076947977791882
sco01310	Nitrogen cycle	1	13	1/25	5.166	0.17776486345302292	SCO0219	0.7076947977791882
sco03070	Bacterial secretion system	1	16	1/25	4.197	0.2142491539071785	SCO3768	0.7076947977791882
sco03010	Ribosome	2	62	2/25	2.166	0.23509671175229843	SCO4705;SCO4720	0.7076947977791882
sco03430	Mismatch repair	1	19	1/25	3.535	0.24917654277475682	SCO5056	0.7076947977791882
sco00480	Glutathione metabolism	1	20	1/25	3.358	0.26048412496188394	SCO4444	0.7076947977791882
sco00785	Lipoic acid metabolism	1	20	1/25	3.358	0.26048412496188394	SCO5472	0.7076947977791882
sco04146	Peroxisome	1	21	1/25	3.198	0.2716281254898846	SCO6552	0.7076947977791882
sco00670	One carbon pool by folate	1	23	1/25	2.92	0.29343442834746825	SCO5472	0.7076947977791882
sco03440	Homologous recombination	1	23	1/25	2.92	0.29343442834746825	SCO1519	0.7076947977791882
sco00561	Glycerolipid metabolism	1	25	1/25	2.686	0.314613245907802	SCO1228	0.7166190601233268
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis	1	28	1/25	2.399	0.3452427093460605	SCO2019	0.721805856453065
sco00910	Nitrogen metabolism	1	30	1/25	2.239	0.3649276099956421	SCO0219	0.721805856453065
sco00061	Fatty acid biosynthesis	1	31	1/25	2.166	0.3745557541739984	SCO6552	0.721805856453065
sco00051	Fructose and mannose metabolism	1	33	1/25	2.035	0.39339335353687166	SCO0382	0.721805856453065
sco00020	Citrate cycle (TCA cycle)	1	37	1/25	1.815	0.4294477135764456	SCO0546	0.721805856453065
sco00720	Other carbon fixation pathways	1	42	1/25	1.599	0.4716291886335375	SCO0546	0.721805856453065
sco00260	Glycine, serine and threonine metabolism	1	44	1/25	1.526	0.48764920179306676	SCO5472	0.721805856453065
sco00280	Valine, leucine and isoleucine degradation	1	45	1/25	1.492	0.4954833118573934	SCO2779	0.721805856453065
sco01250	Biosynthesis of nucleotide sugars	1	45	1/25	1.492	0.4954833118573934	SCO0382	0.721805856453065
sco01232	Nucleotide metabolism	1	49	1/25	1.371	0.5256851848273714	SCO0690	0.721805856453065
sco02020	Two-component system	2	121	2/25	1.11	0.5482741411334204	SCO0219;SCO0382	0.721805856453065
sco00500	Starch and sucrose metabolism	1	54	1/25	1.244	0.5610022713263596	SCO7338	0.721805856453065
sco00520	Amino sugar and nucleotide sugar metabolism	1	56	1/25	1.199	0.5744100837292	SCO0382	0.721805856453065
sco00620	Pyruvate metabolism	1	56	1/25	1.199	0.5744100837292	SCO0546	0.721805856453065
sco00630	Glyoxylate and dicarboxylate metabolism	1	57	1/25	1.178	0.5809656893402719	SCO5472	0.721805856453065
sco01200	Carbon metabolism	2	148	2/25	0.908	0.6619290018274285	SCO0546;SCO5472	0.7552661902917047
sco01230	Biosynthesis of amino acids	2	148	2/25	0.908	0.6619290018274285	SCO0546;SCO2019	0.7552661902917047
sco00230	Purine metabolism	1	71	1/25	0.946	0.6631605573293017	SCO0690	0.7552661902917047
sco01110	Biosynthesis of secondary metabolites	7	515	7/25	0.913	0.6872673449889932	SCO0549;SCO1228;SCO2019;SCO2779;SCO5472;SCO7338;SCO7452	0.7615665174202357
sco02024	Quorum sensing	1	101	1/25	0.665	0.7904004138327566	SCO6552	0.8427205784979508
sco02010	ABC transporters	2	193	2/25	0.696	0.8016122575956117	SCO1707;SCO4886	0.8427205784979508
sco01100	Metabolic pathways	14	1066	14/25	0.882	0.8398029390841599	SCO0219;SCO0382;SCO0546;SCO0549;SCO0690;SCO1228;SCO2019;SCO2779;SCO4444;SCO5472;SCO6552;SCO6787;SCO7338;SCO7452	0.860798012561264
sco01120	Microbial metabolism in diverse environments	3	356	3/25	0.566	0.9253378551917392	SCO0219;SCO0546;SCO0690	0.9253378551917392
