term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco03018	RNA degradation	3	14	3/45	7.995	0.005328389481250591	SCO3096;SCO3896;SCO4145	0.2877330319875319
sco00785	Lipoic acid metabolism	3	20	3/45	5.597	0.01491193174054846	SCO2183;SCO5472;SCO6423	0.4026221569948084
sco03070	Bacterial secretion system	2	16	2/45	4.664	0.0664343201024515	SCO1944;SCO3768	0.6117240646576445
sco00240	Pyrimidine metabolism	3	37	3/45	3.025	0.07415931226573286	SCO3650;SCO5868;SCO6414	0.6117240646576445
sco01230	Biosynthesis of amino acids	7	148	7/45	1.765	0.09461928359545145	SCO1935;SCO2054;SCO2640;SCO3096;SCO5139;SCO6497;SCO6818	0.6117240646576445
sco00300	Lysine biosynthesis	2	20	2/45	3.731	0.09836990691400103	SCO2640;SCO5139	0.6117240646576445
sco00572	Arabinogalactan biosynthesis	1	4	1/45	9.328	0.10306158905498027	SCO5365	0.6117240646576445
sco00260	Glycine, serine and threonine metabolism	3	44	3/45	2.544	0.11120718671847772	SCO2640;SCO5472;SCO6818	0.6117240646576445
sco03060	Protein export	2	22	2/45	3.392	0.11567944060563619	SCO1944;SCO3768	0.6117240646576445
sco00710	Carbon fixation by Calvin cycle	2	22	2/45	3.392	0.11567944060563619	SCO1935;SCO6497	0.6117240646576445
sco00670	One carbon pool by folate	2	23	2/45	3.244	0.1246104576154461	SCO4813;SCO5472	0.6117240646576445
sco03450	Non-homologous end-joining	1	7	1/45	5.33	0.173468316377648	SCO7345	0.639076747569501
sco00552	Teichoic acid biosynthesis	1	7	1/45	5.33	0.173468316377648	SCO5365	0.639076747569501
sco00253	Tetracycline biosynthesis	1	8	1/45	4.664	0.19571348728853663	SCO1275	0.639076747569501
sco01200	Carbon metabolism	6	148	6/45	1.513	0.1995809620182825	SCO1935;SCO2183;SCO3096;SCO5472;SCO6497;SCO6818	0.639076747569501
sco00680	Methane metabolism	2	31	2/45	2.407	0.2007908084127196	SCO3096;SCO6818	0.639076747569501
sco00010	Glycolysis / Gluconeogenesis	3	58	3/45	1.93	0.2011908279385466	SCO2183;SCO3096;SCO6818	0.639076747569501
sco00074	Mycolic acid biosynthesis	1	10	1/45	3.731	0.23846166259514573	SCO1814	0.6464705192574985
sco03420	Nucleotide excision repair	1	11	1/45	3.392	0.2589944518001897	SCO3109	0.6464705192574985
sco01057	Biosynthesis of type II polyketide products	1	11	1/45	3.392	0.2589944518001897	SCO1275	0.6464705192574985
sco00190	Oxidative phosphorylation	3	67	3/45	1.671	0.2661380573883812	SCO1934;SCO4145;SCO7234	0.6464705192574985
sco02024	Quorum sensing	4	101	4/45	1.478	0.28422144642154873	SCO0707;SCO1944;SCO5716;SCO7184	0.6464705192574985
sco00030	Pentose phosphate pathway	2	40	2/45	1.866	0.29125984512732445	SCO1935;SCO6497	0.6464705192574985
sco00511	Other glycan degradation	1	13	1/45	2.87	0.2984491045426565	SCO0341	0.6464705192574985
sco00860	Porphyrin metabolism	2	42	2/45	1.777	0.311416061411593	SCO1849;SCO1934	0.6464705192574985
sco00261	Monobactam biosynthesis	1	14	1/45	2.665	0.31739855850158816	SCO2640	0.6464705192574985
sco00450	Selenocompound metabolism	1	15	1/45	2.487	0.3358472461096534	SCO6436	0.6464705192574985
