term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco03450	Non-homologous end-joining	1	7	1/17	14.109	0.06887806539152518	SCO7345	0.46827935607055066
sco02024	Quorum sensing	3	101	3/17	2.934	0.0776937036541229	SCO0707;SCO5716;SCO7184	0.46827935607055066
sco00253	Tetracycline biosynthesis	1	8	1/17	12.346	0.07834521424819026	SCO1275	0.46827935607055066
sco01057	Biosynthesis of type II polyketide products	1	11	1/17	8.979	0.10620601718592144	SCO1275	0.46827935607055066
sco00511	Other glycan degradation	1	13	1/17	7.597	0.12433740651762734	SCO0341	0.46827935607055066
sco03018	RNA degradation	1	14	1/17	7.055	0.13327273910418214	SCO4145	0.46827935607055066
sco00450	Selenocompound metabolism	1	15	1/17	6.584	0.1421222066328482	SCO6436	0.46827935607055066
sco00190	Oxidative phosphorylation	2	67	2/17	2.948	0.14533429694498848	SCO4145;SCO7234	0.46827935607055066
sco00785	Lipoic acid metabolism	1	20	1/17	4.938	0.1851084322494012	SCO6423	0.46827935607055066
sco00410	beta-Alanine metabolism	1	20	1/17	4.938	0.1851084322494012	SCO6414	0.46827935607055066
sco03410	Base excision repair	1	21	1/17	4.703	0.1934587376452782	SCO0945	0.46827935607055066
sco00710	Carbon fixation by Calvin cycle	1	22	1/17	4.489	0.20172846108317344	SCO6497	0.46827935607055066
sco00760	Nicotinate and nicotinamide metabolism	1	23	1/17	4.294	0.20991833203162616	SCO7623	0.46827935607055066
sco00770	Pantothenate and CoA biosynthesis	1	28	1/17	3.527	0.24969500184372442	SCO6414	0.4832104154840843
sco00970	Aminoacyl-tRNA biosynthesis	1	31	1/17	3.186	0.2726481333310113	SCO6436	0.4832104154840843
sco00680	Methane metabolism	1	31	1/17	3.186	0.2726481333310113	SCO6818	0.4832104154840843
sco00052	Galactose metabolism	1	35	1/17	2.822	0.30222554155009596	SCO7010	0.4832104154840843
sco02010	ABC transporters	3	193	3/17	1.535	0.3095496042400426	SCO0707;SCO2944;SCO7184	0.4832104154840843
sco00240	Pyrimidine metabolism	1	37	1/17	2.669	0.3165861342826759	SCO6414	0.4832104154840843
sco00030	Pentose phosphate pathway	1	40	1/17	2.469	0.33760642074597885	SCO6497	0.4895293100816693
sco00260	Glycine, serine and threonine metabolism	1	44	1/17	2.245	0.3646880675430355	SCO6818	0.5036168551784777
sco00500	Starch and sucrose metabolism	1	54	1/17	1.829	0.42790449487892007	SCO7010	0.5237317332785612
sco01200	Carbon metabolism	2	148	2/17	1.335	0.45008899958476317	SCO6497;SCO6818	0.5237317332785612
sco01230	Biosynthesis of amino acids	2	148	2/17	1.335	0.45008899958476317	SCO6497;SCO6818	0.5237317332785612
sco00010	Glycolysis / Gluconeogenesis	1	58	1/17	1.703	0.4514928735160009	SCO6818	0.5237317332785612
sco01110	Biosynthesis of secondary metabolites	4	515	4/17	0.767	0.8157123036220844	SCO1275;SCO6497;SCO6818;SCO7010	0.8885703669266498
sco01240	Biosynthesis of cofactors	1	164	1/17	0.602	0.8272896519661912	SCO6423	0.8885703669266498
sco01100	Metabolic pathways	9	1066	9/17	0.834	0.876187958989799	SCO1275;SCO6414;SCO6423;SCO6436;SCO6497;SCO6818;SCO7010;SCO7234;SCO7623	0.9041346064194625
sco01120	Microbial metabolism in diverse environments	2	356	2/17	0.555	0.9041346064194625	SCO6497;SCO6818	0.9041346064194625
