term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00330	Arginine and proline metabolism	1	30	1/6	9.328	0.10267655714006096	SCO5527	0.45733940494674113
sco01232	Nucleotide metabolism	1	49	1/6	5.711	0.16304028612536525	SCO0690	0.45733940494674113
sco00500	Starch and sucrose metabolism	1	54	1/6	5.182	0.17835012266096617	SCO0721	0.45733940494674113
sco00190	Oxidative phosphorylation	1	67	1/6	4.177	0.2170673136493116	SCO6496	0.45733940494674113
sco00230	Purine metabolism	1	71	1/6	3.941	0.22866970247337057	SCO0690	0.45733940494674113
sco02024	Quorum sensing	1	101	1/6	2.771	0.31120669119652866	SCO3456	0.5186778186608811
sco02010	ABC transporters	1	193	1/6	1.45	0.5199310885072802	SCO0532	0.7427586978675432
sco01120	Microbial metabolism in diverse environments	1	356	1/6	0.786	0.7612143305324793	SCO0690	0.8894159545608569
sco01100	Metabolic pathways	3	1066	3/6	0.788	0.8658976997381519	SCO0690;SCO5527;SCO6496	0.8894159545608569
sco01110	Biosynthesis of secondary metabolites	1	515	1/6	0.543	0.8894159545608569	SCO5527	0.8894159545608569
