term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco01210	2-Oxocarboxylic acid metabolism	36	52	36/761	1.527	0.0003533246829430584	SCO1578;SCO1580;SCO2180;SCO2181;SCO2183;SCO2528;SCO2769;SCO3306;SCO3345;SCO3376;SCO3614;SCO3615;SCO3815;SCO3817;SCO3829;SCO3831;SCO4388;SCO4594;SCO4595;SCO4645;SCO5134;SCO5281;SCO5512;SCO5514;SCO5522;SCO5523;SCO5529;SCO5799;SCO5831;SCO5832;SCO5999;SCO6270;SCO7000;SCO7123;SCO7124;SCO7154	0.048405481563199
sco00020	Citrate cycle (TCA cycle)	24	37	24/761	1.431	0.012324418052623888	SCO0546;SCO0923;SCO2180;SCO2181;SCO2183;SCO4388;SCO4594;SCO4595;SCO4808;SCO4809;SCO4856;SCO4858;SCO4979;SCO5042;SCO5107;SCO5281;SCO5831;SCO5832;SCO5999;SCO6270;SCO6586;SCO7000;SCO7123;SCO7124	0.4752666729326247
sco01110	Biosynthesis of secondary metabolites	255	515	255/761	1.092	0.012575349530009449	SCO0088;SCO0123;SCO0185;SCO0186;SCO0187;SCO0189;SCO0191;SCO0208;SCO0315;SCO0349;SCO0379;SCO0458;SCO0479;SCO0489;SCO0565;SCO0578;SCO0613;SCO0731;SCO0774;SCO0798;SCO0923;SCO0961;SCO0975;SCO0982;SCO0983;SCO0985;SCO1077;SCO1174;SCO1214;SCO1222;SCO1223;SCO1254;SCO1267;SCO1272;SCO1280;SCO1324;SCO1346;SCO1378;SCO1394;SCO1438;SCO1441;SCO1464;SCO1476;SCO1483;SCO1494;SCO1496;SCO1553;SCO1570;SCO1578;SCO1580;SCO1613;SCO1705;SCO1706;SCO1750;SCO1761;SCO1788;SCO1815;SCO1831;SCO1850;SCO1859;SCO1937;SCO1942;SCO1945;SCO1946;SCO2017;SCO2026;SCO2036;SCO2037;SCO2117;SCO2147;SCO2180;SCO2181;SCO2183;SCO2198;SCO2210;SCO2228;SCO2241;SCO2256;SCO2267;SCO2387;SCO2407;SCO2455;SCO2528;SCO2531;SCO2587;SCO2627;SCO2700;SCO2769;SCO2779;SCO2782;SCO2783;SCO2798;SCO2843;SCO2958;SCO3025;SCO3028;SCO3039;SCO3060;SCO3077;SCO3184;SCO3203;SCO3204;SCO3210;SCO3211;SCO3212;SCO3214;SCO3221;SCO3227;SCO3228;SCO3249;SCO3306;SCO3317;SCO3319;SCO3337;SCO3345;SCO3376;SCO3405;SCO3416;SCO3563;SCO3614;SCO3615;SCO3649;SCO3651;SCO3655;SCO3774;SCO3780;SCO3815;SCO3817;SCO3829;SCO3831;SCO3920;SCO3962;SCO4049;SCO4071;SCO4079;SCO4087;SCO4233;SCO4234;SCO4293;SCO4323;SCO4388;SCO4469;SCO4494;SCO4502;SCO4506;SCO4556;SCO4593;SCO4594;SCO4595;SCO4645;SCO4771;SCO4774;SCO4808;SCO4809;SCO4837;SCO4856;SCO4858;SCO4913;SCO4916;SCO4921;SCO4926;SCO4979;SCO5042;SCO5047;SCO5059;SCO5071;SCO5074;SCO5075;SCO5086;SCO5089;SCO5091;SCO5092;SCO5107;SCO5134;SCO5176;SCO5208;SCO5222;SCO5250;SCO5278;SCO5281;SCO5353;SCO5354;SCO5356;SCO5364;SCO5442;SCO5444;SCO5470;SCO5512;SCO5514;SCO5515;SCO5519;SCO5522;SCO5523;SCO5527;SCO5529;SCO5547;SCO5799;SCO5831;SCO5832;SCO5852;SCO5860;SCO5890;SCO5892;SCO5896;SCO5984;SCO5999;SCO6013;SCO6027;SCO6042;SCO6073;SCO6081;SCO6097;SCO6098;SCO6110;SCO6195;SCO6204;SCO6270;SCO6271;SCO6438;SCO6466;SCO6467;SCO6497;SCO6573;SCO6586;SCO6597;SCO6609;SCO6658;SCO6659;SCO6661;SCO6662;SCO6663;SCO6691;SCO6731;SCO6732;SCO6754;SCO6764;SCO6767;SCO6768;SCO6819;SCO6824;SCO6984;SCO7000;SCO7005;SCO7123;SCO7124;SCO7139;SCO7154;SCO7162;SCO7194;SCO7292;SCO7311;SCO7370;SCO7443;SCO7511;SCO7558	0.4752666729326247
sco00010	Glycolysis / Gluconeogenesis	35	58	35/761	1.331	0.01387639920971167	SCO0208;SCO0434;SCO0578;SCO1077;SCO1174;SCO1214;SCO1705;SCO1706;SCO1942;SCO1945;SCO1946;SCO2180;SCO2181;SCO2183;SCO2407;SCO2661;SCO3563;SCO3649;SCO3651;SCO4594;SCO4595;SCO4913;SCO4979;SCO5047;SCO5059;SCO5852;SCO6110;SCO6195;SCO6270;SCO6659;SCO6670;SCO7124;SCO7139;SCO7443;SCO7511	0.4752666729326247
sco00630	Glyoxylate and dicarboxylate metabolism	34	57	34/761	1.316	0.019164756807031065	SCO0379;SCO0852;SCO0982;SCO0983;SCO1378;SCO1613;SCO2180;SCO2198;SCO2210;SCO2241;SCO3306;SCO3473;SCO3563;SCO4323;SCO4388;SCO4502;SCO4837;SCO4921;SCO4926;SCO5281;SCO5364;SCO5470;SCO5831;SCO5832;SCO5999;SCO6195;SCO6201;SCO6204;SCO6205;SCO6206;SCO6271;SCO6466;SCO6472;SCO6731	0.5251143365126513
sco00051	Fructose and mannose metabolism	21	33	21/761	1.404	0.025231904218633174	SCO0349;SCO0350;SCO0554;SCO0578;SCO0814;SCO1169;SCO1214;SCO1560;SCO1945;SCO2346;SCO2627;SCO3025;SCO3028;SCO3039;SCO3196;SCO3197;SCO3649;SCO4916;SCO5047;SCO5852;SCO7162	0.5761284796587908
sco01100	Metabolic pathways	501	1066	501/761	1.037	0.03863245574162643	SCO0033;SCO0118;SCO0123;SCO0136;SCO0171;SCO0185;SCO0186;SCO0187;SCO0191;SCO0208;SCO0216;SCO0217;SCO0219;SCO0299;SCO0315;SCO0349;SCO0350;SCO0369;SCO0379;SCO0410;SCO0434;SCO0441;SCO0458;SCO0479;SCO0488;SCO0489;SCO0499;SCO0506;SCO0541;SCO0546;SCO0554;SCO0565;SCO0578;SCO0613;SCO0677;SCO0689;SCO0691;SCO0731;SCO0757;SCO0765;SCO0766;SCO0798;SCO0814;SCO0828;SCO0852;SCO0899;SCO0910;SCO0911;SCO0923;SCO0961;SCO0975;SCO0982;SCO0983;SCO0985;SCO1018;SCO1077;SCO1132;SCO1133;SCO1169;SCO1170;SCO1174;SCO1204;SCO1212;SCO1214;SCO1222;SCO1223;SCO1235;SCO1244;SCO1246;SCO1254;SCO1267;SCO1272;SCO1280;SCO1290;SCO1294;SCO1308;SCO1324;SCO1346;SCO1378;SCO1389;SCO1394;SCO1438;SCO1441;SCO1451;SCO1454;SCO1455;SCO1464;SCO1476;SCO1477;SCO1483;SCO1486;SCO1494;SCO1496;SCO1509;SCO1513;SCO1553;SCO1554;SCO1555;SCO1560;SCO1570;SCO1578;SCO1580;SCO1613;SCO1705;SCO1706;SCO1750;SCO1760;SCO1761;SCO1773;SCO1776;SCO1781;SCO1788;SCO1815;SCO1831;SCO1847;SCO1848;SCO1849;SCO1850;SCO1852;SCO1858;SCO1859;SCO1867;SCO1871;SCO1875;SCO1896;SCO1923;SCO1937;SCO1942;SCO1945;SCO1946;SCO2015;SCO2017;SCO2018;SCO2024;SCO2026;SCO2036;SCO2037;SCO2084;SCO2086;SCO2087;SCO2090;SCO2104;SCO2117;SCO2118;SCO2132;SCO2147;SCO2148;SCO2155;SCO2156;SCO2157;SCO2173;SCO2175;SCO2177;SCO2179;SCO2180;SCO2181;SCO2183;SCO2194;SCO2198;SCO2210;SCO2228;SCO2238;SCO2241;SCO2256;SCO2267;SCO2346;SCO2387;SCO2388;SCO2390;SCO2407;SCO2444;SCO2455;SCO2462;SCO2470;SCO2473;SCO2487;SCO2528;SCO2531;SCO2553;SCO2561;SCO2587;SCO2608;SCO2614;SCO2627;SCO2643;SCO2700;SCO2720;SCO2748;SCO2758;SCO2769;SCO2776;SCO2778;SCO2779;SCO2782;SCO2783;SCO2798;SCO2843;SCO2918;SCO2958;SCO2988;SCO2999;SCO3023;SCO3025;SCO3028;SCO3036;SCO3039;SCO3052;SCO3060;SCO3077;SCO3084;SCO3092;SCO3122;SCO3127;SCO3136;SCO3137;SCO3181;SCO3183;SCO3196;SCO3197;SCO3204;SCO3210;SCO3211;SCO3212;SCO3214;SCO3221;SCO3227;SCO3228;SCO3248;SCO3249;SCO3295;SCO3306;SCO3317;SCO3319;SCO3337;SCO3345;SCO3348;SCO3376;SCO3380;SCO3381;SCO3398;SCO3401;SCO3403;SCO3405;SCO3408;SCO3416;SCO3473;SCO3479;SCO3542;SCO3562;SCO3563;SCO3614;SCO3615;SCO3622;SCO3629;SCO3645;SCO3649;SCO3651;SCO3655;SCO3658;SCO3672;SCO3780;SCO3792;SCO3811;SCO3815;SCO3817;SCO3827;SCO3829;SCO3831;SCO3920;SCO3962;SCO4013;SCO4041;SCO4071;SCO4079;SCO4087;SCO4119;SCO4164;SCO4219;SCO4233;SCO4234;SCO4284;SCO4293;SCO4307;SCO4323;SCO4388;SCO4429;SCO4439;SCO4444;SCO4469;SCO4494;SCO4502;SCO4506;SCO4556;SCO4565;SCO4566;SCO4567;SCO4568;SCO4569;SCO4573;SCO4574;SCO4575;SCO4580;SCO4593;SCO4594;SCO4595;SCO4601;SCO4607;SCO4634;SCO4643;SCO4644;SCO4645;SCO4745;SCO4771;SCO4774;SCO4780;SCO4808;SCO4809;SCO4824;SCO4828;SCO4837;SCO4847;SCO4856;SCO4858;SCO4860;SCO4881;SCO4890;SCO4901;SCO4909;SCO4913;SCO4916;SCO4921;SCO4926;SCO4927;SCO4928;SCO4947;SCO4950;SCO4971;SCO4972;SCO4979;SCO4988;SCO5039;SCO5042;SCO5047;SCO5049;SCO5050;SCO5059;SCO5071;SCO5074;SCO5075;SCO5086;SCO5089;SCO5091;SCO5092;SCO5107;SCO5134;SCO5144;SCO5208;SCO5226;SCO5235;SCO5250;SCO5278;SCO5281;SCO5301;SCO5353;SCO5354;SCO5356;SCO5364;SCO5369;SCO5370;SCO5372;SCO5373;SCO5376;SCO5381;SCO5441;SCO5442;SCO5443;SCO5444;SCO5470;SCO5499;SCO5512;SCO5514;SCO5515;SCO5519;SCO5522;SCO5523;SCO5526;SCO5527;SCO5529;SCO5547;SCO5557a;SCO5560;SCO5563;SCO5666;SCO5676;SCO5743;SCO5773;SCO5794;SCO5799;SCO5805;SCO5831;SCO5832;SCO5845;SCO5848;SCO5849;SCO5852;SCO5860;SCO5890;SCO5892;SCO5896;SCO5954;SCO5984;SCO5999;SCO6013;SCO6027;SCO6032;SCO6042;SCO6073;SCO6081;SCO6097;SCO6098;SCO6100;SCO6102;SCO6110;SCO6149;SCO6182;SCO6187;SCO6195;SCO6201;SCO6204;SCO6205;SCO6206;SCO6247;SCO6270;SCO6271;SCO6289;SCO6300;SCO6436;SCO6438;SCO6440;SCO6442;SCO6457;SCO6466;SCO6467;SCO6472;SCO6475;SCO6496;SCO6497;SCO6535;SCO6540;SCO6548;SCO6557;SCO6564;SCO6573;SCO6586;SCO6597;SCO6609;SCO6658;SCO6659;SCO6661;SCO6662;SCO6663;SCO6691;SCO6717;SCO6731;SCO6732;SCO6767;SCO6768;SCO6799;SCO6800;SCO6819;SCO6824;SCO6844;SCO6984;SCO7000;SCO7005;SCO7081;SCO7120;SCO7123;SCO7124;SCO7139;SCO7141;SCO7154;SCO7162;SCO7194;SCO7268;SCO7292;SCO7311;SCO7319;SCO7333;SCO7335;SCO7359;SCO7370;SCO7436;SCO7443;SCO7471;SCO7511;SCO7558;SCO7601;SCO7629;SCO7637;SCO7697	0.6683252244761405
sco01501	beta-Lactam resistance	11	16	11/761	1.517	0.05053471285282582	SCO0088;SCO2090;SCO2608;SCO2758;SCO3774;SCO5039;SCO5117;SCO5121;SCO5235;SCO6032;SCO6300	0.6683252244761405
sco00480	Glutathione metabolism	13	20	13/761	1.434	0.06042778542592929	SCO0441;SCO0910;SCO0975;SCO1937;SCO2018;SCO2179;SCO2455;SCO2643;SCO3655;SCO4444;SCO6658;SCO6661;SCO7000	0.6683252244761405
sco00710	Carbon fixation by Calvin cycle	14	22	14/761	1.404	0.06428272184108427	SCO0208;SCO0578;SCO1464;SCO1945;SCO1946;SCO2627;SCO3127;SCO3649;SCO5047;SCO5852;SCO6497;SCO6662;SCO6663;SCO7511	0.6683252244761405
