term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00030	Pentose phosphate pathway	11	40	11/173	2.669	0.0016216288480295177	SCO0579;SCO0798;SCO0851;SCO1935;SCO1937;SCO2627;SCO3474;SCO5047;SCO6497;SCO6658;SCO6659	0.17027102904309935
sco00710	Carbon fixation by Calvin cycle	6	22	6/173	2.647	0.02009088861310258	SCO0579;SCO1935;SCO2627;SCO4827;SCO5047;SCO6497	0.833552925170955
sco00330	Arginine and proline metabolism	7	30	7/173	2.265	0.028611395492325605	SCO1223;SCO1989;SCO2585;SCO6035;SCO6740;SCO7569;SCO7601	0.833552925170955
sco01100	Metabolic pathways	121	1066	121/173	1.102	0.03650698675246542	SCO0118;SCO0201;SCO0217;SCO0369;SCO0404;SCO0489;SCO0541;SCO0579;SCO0731;SCO0798;SCO0851;SCO0958;SCO0984;SCO1018;SCO1087;SCO1223;SCO1234;SCO1243;SCO1271;SCO1280;SCO1346;SCO1389;SCO1394;SCO1451;SCO1481;SCO1513;SCO1555;SCO1759;SCO1808;SCO1821;SCO1875;SCO1934;SCO1935;SCO1937;SCO1989;SCO2018;SCO2019;SCO2090;SCO2118;SCO2173;SCO2175;SCO2194;SCO2299;SCO2585;SCO2612;SCO2627;SCO2640;SCO2782;SCO3182;SCO3212;SCO3229;SCO3243;SCO3306;SCO3474;SCO3658;SCO3830;SCO3944;SCO4068;SCO4071;SCO4164;SCO4366;SCO4502;SCO4570;SCO4607;SCO4773;SCO4813;SCO4824;SCO4827;SCO4855;SCO4901;SCO4917;SCO4945;SCO4950;SCO4972;SCO5047;SCO5075;SCO5088;SCO5090;SCO5225;SCO5236;SCO5301;SCO5356;SCO5365;SCO5498;SCO5680;SCO5794;SCO5845;SCO5879;SCO6035;SCO6060;SCO6081;SCO6155;SCO6179;SCO6186;SCO6249;SCO6339;SCO6438;SCO6440;SCO6497;SCO6532;SCO6540;SCO6562;SCO6564;SCO6586;SCO6658;SCO6659;SCO6700;SCO6740;SCO6763;SCO6788;SCO6800;SCO7000;SCO7101;SCO7234;SCO7334;SCO7417;SCO7472;SCO7475;SCO7569;SCO7601;SCO7697	0.833552925170955
sco00480	Glutathione metabolism	5	20	5/173	2.426	0.04715073992350091	SCO1937;SCO2018;SCO6035;SCO6658;SCO7000	0.833552925170955
sco03020	RNA polymerase	2	4	2/173	4.853	0.05508204126262242	SCO4655;SCO4729	0.833552925170955
sco03410	Base excision repair	5	21	5/173	2.311	0.05690405154798795	SCO2111;SCO3569;SCO4495;SCO5494;SCO6461	0.833552925170955
sco01200	Carbon metabolism	21	148	21/173	1.377	0.07269059175145126	SCO0579;SCO0798;SCO0851;SCO0984;SCO1808;SCO1935;SCO1937;SCO2627;SCO3474;SCO4366;SCO4502;SCO4824;SCO4827;SCO4855;SCO5047;SCO6497;SCO6586;SCO6658;SCO6659;SCO6788;SCO7000	0.833552925170955
sco00541	Biosynthesis of various nucleotide sugars	4	17	4/173	2.284	0.08913739382269531	SCO3182;SCO4773;SCO6179;SCO6186	0.833552925170955
sco01110	Biosynthesis of secondary metabolites	61	515	61/173	1.15	0.09868449744011462	SCO0256;SCO0489;SCO0579;SCO0731;SCO0798;SCO0958;SCO1087;SCO1223;SCO1280;SCO1346;SCO1394;SCO1759;SCO1808;SCO1934;SCO1935;SCO1937;SCO2019;SCO2585;SCO2612;SCO2627;SCO2640;SCO2782;SCO3182;SCO3212;SCO3229;SCO3243;SCO3306;SCO3830;SCO3944;SCO4068;SCO4071;SCO4366;SCO4502;SCO4813;SCO4827;SCO4855;SCO4917;SCO4945;SCO5047;SCO5075;SCO5088;SCO5090;SCO5356;SCO5879;SCO6035;SCO6081;SCO6179;SCO6249;SCO6438;SCO6497;SCO6562;SCO6586;SCO6658;SCO6659;SCO6740;SCO6763;SCO6788;SCO7000;SCO7334;SCO7417;SCO7691	0.833552925170955
