gene_id	old_locus_tag	product	T2vsT1_log2FC	T2vsT1_padj	T2vsT1_DEG	T3vsT1_log2FC	T3vsT1_padj	T3vsT1_DEG	T3vsT2_log2FC	T3vsT2_padj	T3vsT2_DEG
SC_RS05450	SCO0705	SAM-dependent methyltransferase	2.729	7.290030420962506e-33	True	1.662	2.803297391425189e-13	True	-1.027	7.569466549030354e-06	True
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	0.626	0.1716996087797219	False	1.723	9.441399198031096e-05	True	0.989	0.0185834150260984	False
SC_RS06595	SCO0929	SAM-dependent methyltransferase	2.658	1.812753700778313e-41	True	1.242	4.41371842366655e-10	True	-1.389	3.216703870268517e-14	True
SC_RS09775	SCO1552	TrmH family RNA methyltransferase	-1.132	1.0684152338991352e-09	True	-1.831	2.484609417003085e-23	True	-0.679	0.0006152268475538	False
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	5.535	9.420012158200229e-96	True	2.282	8.57136791620431e-18	True	-3.195	2.5059286622157474e-33	True
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	-2.582	4.695309529256716e-30	True	-2.782	5.0594998375908114e-36	True	-0.188	0.4483725194447223	False
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	-1.931	7.976823976817156e-34	True	-3.222	2.3707332269091536e-87	True	-1.268	1.247137996692824e-13	True
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	2.019	6.329147980189633e-16	True	0.591	0.0173006821061651	False	-1.396	1.6509112805827304e-08	True
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	-1.835	6.74763057617099e-18	True	-0.323	0.1066783297821503	False	1.498	3.7547590717773156e-12	True
SC_RS15340	SCO2653	class I SAM-dependent methyltransferase	0.372	0.3719257733317528	False	1.565	3.695896945006743e-05	True	1.136	0.0025888708903656	True
SC_RS19420	SCO3459	methyltransferase domain-containing protein	-1.372	0.0028507015433697	True	1.157	0.0008811266070918	True	2.657	9.129663748660008e-09	True
SC_RS38275		methyltransferase type 11	-1.037	0.0042884503844388	True	-1.267	0.0002167396034926	True	-0.197	0.6124252323967488	False
SC_RS38280	SCO7213	SAM-dependent methyltransferase	-0.267	0.3820317961186972	False	-0.916	0.0013447846202429	False	-0.635	0.0325980921500266	False
SC_RS39465	SCO7452	methyltransferase	2.119	6.468431203530895e-09	True	2.002	1.8107078684258013e-08	True	-0.108	0.739377605815211	False
SC_RS40100	SCO7580	SAM-dependent methyltransferase	2.01	5.78457878004568e-27	True	1.373	1.5482748969186514e-13	True	-0.621	0.0002829717152542	False
