gene_id	4mC_change_T2_vs_T1	4mC_change_T3_vs_T1	4mC_change_T3_vs_T2	6mA_change_T2_vs_T1	6mA_change_T3_vs_T1	6mA_change_T3_vs_T2
SC_RS05450	-20.06	-85.53	-65.47	0.0	0.0	0.0
SC_RS06105	52.91	0.0	-52.91	0.0	0.0	0.0
SC_RS06595	51.82	0.0	-51.82	0.759999999999998	1.9799999999999969	1.2199999999999989
SC_RS09775	-6.010000000000005	-1.2999999999999972	4.710000000000008	0.0	0.0	0.0
SC_RS11875	54.61	0.0	-54.61	0.0	0.0	0.0
SC_RS12500	3.6899999999999977	-84.23	-87.92	0.0	0.0	0.0
SC_RS12890	-6.890000000000001	-95.14	-88.25	0.0	0.0	0.0
SC_RS13205	-0.1099999999999994	-77.56	-77.45	0.0	0.0	0.0
SC_RS13305	-11.059999999999995	-68.55	-57.49	0.0	0.0	0.0
SC_RS15340	4.540000000000006	1.0100000000000051	-3.530000000000001	0.0	0.0	0.0
SC_RS19420	4.640000000000001	9.04	4.399999999999999	0.0	0.0	0.0
SC_RS38275	86.85	0.0	-86.85	0.0	0.0	0.0
SC_RS38280	86.85	0.0	-86.85	0.0	0.0	0.0
SC_RS39465	57.64	0.0	-57.64	50.27	58.35	8.079999999999998
SC_RS40100	75.4	79.26	3.859999999999999	0.0	0.0	0.0
