sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	file_size_gb
M145_1_1	M145_1_1_ONT	Nanopore methylome of S. coelicolor M145, 12 h	OTHER	GENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Native genomic DNA, no PCR; SQK-RBK114-96 rapid barcoding; FLO-MIN114 (R10.4.1) flow cell, 400 bps; basecalled with modification calling (6mA, 4mC, 5mC), aligned to NC_003888.3 with minimap2 -ax map-ont -y (MM/ML tags retained)	bam	1-1_mapped.bam		0.67
M145_1_2	M145_1_2_ONT	Nanopore methylome of S. coelicolor M145, 12 h	OTHER	GENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Native genomic DNA, no PCR; SQK-RBK114-96 rapid barcoding; FLO-MIN114 (R10.4.1) flow cell, 400 bps; basecalled with modification calling (6mA, 4mC, 5mC), aligned to NC_003888.3 with minimap2 -ax map-ont -y (MM/ML tags retained)	bam	1-2_mapped.bam		0.629
M145_1_3	M145_1_3_ONT	Nanopore methylome of S. coelicolor M145, 12 h	OTHER	GENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Native genomic DNA, no PCR; SQK-RBK114-96 rapid barcoding; FLO-MIN114 (R10.4.1) flow cell, 400 bps; basecalled with modification calling (6mA, 4mC, 5mC), aligned to NC_003888.3 with minimap2 -ax map-ont -y (MM/ML tags retained)	bam	1-3_mapped.bam		0.955
M145_2_1	M145_2_1_ONT	Nanopore methylome of S. coelicolor M145, 24 h	OTHER	GENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Native genomic DNA, no PCR; SQK-RBK114-96 rapid barcoding; FLO-MIN114 (R10.4.1) flow cell, 400 bps; basecalled with modification calling (6mA, 4mC, 5mC), aligned to NC_003888.3 with minimap2 -ax map-ont -y (MM/ML tags retained)	bam	2-1_mapped.bam		0.777
M145_2_3	M145_2_3_ONT	Nanopore methylome of S. coelicolor M145, 24 h	OTHER	GENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Native genomic DNA, no PCR; SQK-RBK114-96 rapid barcoding; FLO-MIN114 (R10.4.1) flow cell, 400 bps; basecalled with modification calling (6mA, 4mC, 5mC), aligned to NC_003888.3 with minimap2 -ax map-ont -y (MM/ML tags retained)	bam	2-3_mapped.bam		0.716
M145_2_4	M145_2_4_ONT	Nanopore methylome of S. coelicolor M145, 24 h	OTHER	GENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Native genomic DNA, no PCR; SQK-RBK114-96 rapid barcoding; FLO-MIN114 (R10.4.1) flow cell, 400 bps; basecalled with modification calling (6mA, 4mC, 5mC), aligned to NC_003888.3 with minimap2 -ax map-ont -y (MM/ML tags retained)	bam	2-4_mapped.bam		0.682
M145_3_2	M145_3_2_ONT	Nanopore methylome of S. coelicolor M145, 50 h	OTHER	GENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Native genomic DNA, no PCR; SQK-RBK114-96 rapid barcoding; FLO-MIN114 (R10.4.1) flow cell, 400 bps; basecalled with modification calling (6mA, 4mC, 5mC), aligned to NC_003888.3 with minimap2 -ax map-ont -y (MM/ML tags retained)	bam	3-2_mapped.bam		0.514
M145_3_3	M145_3_3_ONT	Nanopore methylome of S. coelicolor M145, 50 h	OTHER	GENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Native genomic DNA, no PCR; SQK-RBK114-96 rapid barcoding; FLO-MIN114 (R10.4.1) flow cell, 400 bps; basecalled with modification calling (6mA, 4mC, 5mC), aligned to NC_003888.3 with minimap2 -ax map-ont -y (MM/ML tags retained)	bam	3-3_mapped.bam		0.642
M145_3_4	M145_3_4_ONT	Nanopore methylome of S. coelicolor M145, 50 h	OTHER	GENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Native genomic DNA, no PCR; SQK-RBK114-96 rapid barcoding; FLO-MIN114 (R10.4.1) flow cell, 400 bps; basecalled with modification calling (6mA, 4mC, 5mC), aligned to NC_003888.3 with minimap2 -ax map-ont -y (MM/ML tags retained)	bam	3-4_mapped.bam		0.59
M145_1_1	M145_1_1_RNA	Strand-specific RNA-seq of S. coelicolor M145, 12 h	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina NovaSeq X Plus	Total RNA; rRNA depletion with Illumina Ribo-Zero Plus; strand-specific library with NEBNext Ultra II Directional RNA Library Prep Kit; 150 bp paired-end	fastq	M145_1_1_1.fastq.gz	M145_1_1_2.fastq.gz	0.916
