bgc_name	gene_id	old_locus_tag	gene_name	role	contig	start	end	strand	product	gene_type
act	SC_RS27515	SCO5071	NA	biosynthesis	NC_003888.3	5513809	5514249	-	nuclear transport factor 2 family protein	BGC_gene
act	SC_RS27520	SCO5072	NA	biosynthesis	NC_003888.3	5514323	5515246	+	3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein	BGC_gene
act	SC_RS27525	SCO5073	NA	biosynthesis	NC_003888.3	5515246	5516232	+	quinone oxidoreductase family protein	BGC_gene
act	SC_RS27530	SCO5074	NA	biosynthesis	NC_003888.3	5516299	5516943	+	hypothetical protein	BGC_gene
act	SC_RS27535	SCO5075	NA	biosynthesis	NC_003888.3	5516977	5517897	+	NADP-dependent oxidoreductase	BGC_gene
act	SC_RS27540	SCO5076	NA	biosynthesis	NC_003888.3	5517894	5519495	+	MFS transporter	BGC_gene
act	SC_RS27545	SCO5077	NA	biosynthesis	NC_003888.3	5519497	5519892	+	PPOX class F420-dependent oxidoreductase	BGC_gene
act	SC_RS27550	SCO5078	NA	biosynthesis	NC_003888.3	5519987	5520832	+	DUF6081 family protein	BGC_gene
act	SC_RS27555	SCO5079	NA	biosynthesis	NC_003888.3	5520857	5521741	+	NmrA/HSCARG family protein	BGC_gene
act	SC_RS27560	SCO5080	actVA	biosynthesis	NC_003888.3	5521738	5522883	+	actinorhodin polyketide dimerase ActVA	BGC_gene
act	SC_RS27565	SCO5081	NA	biosynthesis	NC_003888.3	5522876	5523217	+	antibiotic biosynthesis monooxygenase	BGC_gene
act	SC_RS27570	SCO5082	actII-orf4	regulator	NC_003888.3	5523183	5523962	-	TetR family transcriptional regulator ActII	BGC_gene
act	SC_RS27575	SCO5083	NA	biosynthesis	NC_003888.3	5524073	5525809	+	MFS transporter	BGC_gene
act	SC_RS27580	SCO5084	NA	biosynthesis	NC_003888.3	5525809	5527944	+	MMPL family transporter	BGC_gene
act	SC_RS27585	SCO5085	NA	transport	NC_003888.3	5528094	5528861	+	AfsR/SARP family transcriptional regulator	BGC_gene
act	SC_RS27590	SCO5086	NA	transport	NC_003888.3	5528935	5529720	-	3-oxoacyl-ACP reductase	BGC_gene
act	SC_RS27595	SCO5087	NA	resistance	NC_003888.3	5529801	5531204	+	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	BGC_gene
