locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_exposed	baseMean	log2_baseMean_p1	nearest_methyl_distance	n_methyl_sites_2kb	gene_length	LFC_T2vsT1	LFC_T3vsT1
SC_RS26000			response regulator transcription factor	LuxR	5179727	5180338	+	5179609	protein_coding	0	3024.9454311445797	11.563170255386943	1795	2	612	5.824307395274568	5.196971877449515
SC_RS22590			developmental transcriptional regulator BldC	MerR	4485363	4485569	+	4485240	protein_coding	0	6678.047065781407	12.705426565274403	551	3	207	0.9503499478847856	-0.1430321859004282
SC_RS41270			TetR/AcrR family transcriptional regulator	TetR	8643240	8643812	-	8644141	protein_coding	0	57.688551047561454	5.875007184970521	924	2	573	0.9107738786248518	0.3634344535182002
SC_RS40940			helix-turn-helix transcriptional regulator	MarR	8586108	8586491	-	8586491	protein_coding	0	55.04699889149188	5.8085652190281625	1026	2	384	-1.9173222472750449	-1.257499988383297
SC_RS40930			MarR family winged helix-turn-helix transcriptional regulator	MarR	8584661	8585167	+	8584484	protein_coding	0	32.73944020680971	5.0763641320113795	161	2	507	-0.4625874680291252	0.5046014757488048
SC_RS40695			FadR/GntR family transcriptional regulator	GntR	8539362	8540072	+	8539362	protein_coding	0	120.29361920894672	6.922359847588966	975	2	711	1.255797203891179	-0.0525781377855176
SC_RS40665			MarR family winged helix-turn-helix transcriptional regulator	MarR	8532086	8532541	+	8532086	protein_coding	0	29.458011595357124	4.9287498556504	626	7	456	-0.3852946992279291	-0.219677194294533
SC_RS39710			LacI family DNA-binding transcriptional regulator	LacI	8314675	8315715	-	8315741	protein_coding	0	161.12585088353387	7.340970335953987	182	3	1041	0.0152221707013668	-0.4425878220233318
SC_RS38605			RNA polymerase sigma factor SigF	Sigma factor	8085400	8086287	-	8086372	protein_coding	0	371.917248020774	8.542711715388753	148	4	888	0.7577641624538549	0.3436713476810585
SC_RS37690			AAA family ATPase	LuxR	7881841	7884639	+	7881832	protein_coding	0	352.67701932356925	8.466288670659704	393	2	2799	-0.3354953909452934	-0.3471346462492516
SC_RS37660			MerR family transcriptional regulator	MerR	7873600	7873947	-	7874176	protein_coding	0	38.08438881521365	5.2885205725937094	39	2	348	-0.2945712757961456	-0.7760274660124938
SC_RS37565			PadR family transcriptional regulator	PadR	7857217	7857768	+	7857217	protein_coding	0	33.692274723720885	5.1165425341002955	1181	1	552	0.6987172474216647	0.4699487090397083
