locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_exposed	baseMean	log2_baseMean_p1	nearest_methyl_distance	n_methyl_sites_2kb	gene_length	LFC_T2vsT1	LFC_T3vsT1	n_FIMO_hits
SC_RS02220			RNA polymerase sigma-70 factor	Sigma factor	30379	31274	-	31274.0	1	0	189.4212534190825	7.573050700411673	554.0	3	896	0.7740014298969246	1.2469573380375325	9.0
SC_RS02260		SCO0047	MarR family winged helix-turn-helix transcriptional regulator	MarR	37614	38768	-	38768.0	1	0	88.71235818703218	6.4872348299436	1909.0	1	1155	-0.217473568852473	-0.0316704257102638	10.0
SC_RS02325		SCO0062	LacI family DNA-binding transcriptional regulator	LacI	47789	48844	-	48844.0	1	0	92.50991632915984	6.547047459677134	429.0	1	1056	-1.482151075954944	-0.7226818523959183	9.0
SC_RS02330		SCO0063	ROK family protein	ROK	48889	49824	-	49824.0	1	0	66.22726572987733	6.07097456829789	551.0	2	936	-1.20882726219268	-0.3287013636122964	10.0
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	75916	76893	+	75916.0	1	1	101.96837109266303	6.686057441015373	290.0	1	978	1.9589972494364425	1.3127734931300468	10.0
SC_RS02530		SCO0110	helix-turn-helix transcriptional regulator	HTH (other)	90951	91790	-	91790.0	1	0	66.11440299135131	6.068550502063935	1864.0	1	840	2.202280419097655	2.012106769769616	6.0
SC_RS02550		SCO0116	TetR/AcrR family transcriptional regulator	TetR	94306	94872	-	94872.0	1	0	63.87422278920704	6.01957344458334	1218.0	2	567	0.3847571846540605	-0.2053992778906588	7.0
SC_RS02625		SCO0132	helix-turn-helix transcriptional regulator	HTH (other)	122743	125502	+	122743.0	1	0	225.2844571741538	7.821993683226826	941.0	4	2760	1.3478072821107898	2.3289489134330177	6.0
SC_RS02660		SCO0140	MerR family transcriptional regulator	MerR	132693	133520	+	132693.0	1	0	32.63223491696345	5.071772746380091	1130.0	1	828	-0.0159602400374791	2.8105590650100676	6.0
SC_RS02680		SCO0143	TetR/AcrR family transcriptional regulator	TetR	136683	137183	+	136683.0	1	0	27.676315897313675	4.841787784963524	405.0	2	501	-1.0239134444181497	0.403840231152465	12.0
SC_RS02705		SCO0148	helix-turn-helix domain-containing protein	HTH (other)	139467	139712	+	139467.0	1	0	22.720661429589455	4.568072333602831	318.0	3	246	-1.0252718400292251	-1.0814661712704614	6.0
SC_RS02735		SCO0155	TetR/AcrR family transcriptional regulator	TetR	145499	146122	+	145499.0	1	0	126.63490405202263	6.995879103648433	1274.0	1	624	1.148427079287908	0.2889963747593521	7.0
SC_RS02745		SCO0159	sigma-70 family RNA polymerase sigma factor	Sigma factor	148225	149184	+	148225.0	1	0	27.2916355682194	4.822303677699706	1452.0	2	960	-0.0185477794247903	2.3070355998995957	8.0
SC_RS02750		SCO0160	helix-turn-helix domain-containing protein	HTH (other)	149508	150209	-	150209.0	1	0	32.33218967892941	5.058844189868303	369.0	2	702	2.6641822445754744	3.828163952735268	6.0
SC_RS02915		SCO0193	MerR family transcriptional regulator	MerR	183793	184797	-	184797.0	1	0	1573.1095356787812	10.620320220095952	1665.0	1	1005	-1.019931959466732	-3.202514365823254	11.0
SC_RS02920		SCO0194	sigma-70 family RNA polymerase sigma factor	Sigma factor	184958	185566	+	184958.0	1	0	625.8078027252792	9.291879328875265	1504.0	1	609	-1.39711883038648	-0.6190824679940575	10.0
SC_RS02965		SCO0203	two-component system sensor histidine kinase	Sensor kinase	192880	194637	-	194637.0	1	0	1144.2593315716415	10.161458602643338	1309.0	1	1758	2.900028857681269	3.2104494409537523	9.0
SC_RS02970		SCO0204	response regulator	Response regulator	194760	195461	-	195461.0	1	0	3430.0330932064026	11.744427325793596	485.0	1	702	6.294033238583641	7.534071763657279	6.0
SC_RS03000		SCO0211	sensor histidine kinase	Sensor kinase	201374	202090	+	201374.0	1	0	97.81754132917804	6.626695255547008	842.0	2	717	4.157236776581737	5.376968355724926	14.0
SC_RS03080		SCO0230	TetR/AcrR family transcriptional regulator	TetR	220150	220764	+	220150.0	1	0	113.93273533661002	6.8446459571364535	2284.0	0	615	0.4592858867424682	-0.933417826730663	10.0
SC_RS03095		SCO0233	helix-turn-helix transcriptional regulator	HTH (other)	221699	222538	-	222538.0	1	0	47.42383554788814	5.597645451522068	104.0	3	840	0.3510988112785352	0.9778105348669064	3.0
SC_RS03110		SCO0236	helix-turn-helix transcriptional regulator	HTH (other)	224404	225276	-	225276.0	1	0	39.60445367684655	5.343566072177365	1190.0	3	873	1.0526452066867726	1.7519941873600655	1.0
SC_RS03135		SCO0241	TetR/AcrR family transcriptional regulator	TetR	229995	230669	+	229995.0	1	0	36.138061787905976	5.214826618778299	299.0	3	675	0.2967320614247226	1.2919282371871128	11.0
SC_RS03175		SCO0250	TetR/AcrR family transcriptional regulator	TetR	239858	240523	+	239858.0	1	0	91.3979724334288	6.529789288603027	404.0	3	666	-1.1172802415794452	-0.9699274878551772	7.0
