bgc_name	gene_id	old_locus_tag	gene_name	product	pwm_name	motif_count	top_score	best_pvalue	best_qvalue	mean_dist_to_tss
act	SC_RS27515	SCO5071	NA	nuclear transport factor 2 family protein	ActII_ORF4	5	11.4929	8.32e-6	0.105	246.8
act	SC_RS27535	SCO5075	NA	NADP-dependent oxidoreductase	ActII_ORF4	4	11.4929	8.32e-6	0.105	154
act	SC_RS27525	SCO5073	NA	quinone oxidoreductase family protein	ActII_ORF4	7	10.4692	2.51e-5	0.105	253.71428571428572
act	SC_RS27550	SCO5078	NA	DUF6081 family protein	ActII_ORF4	4	10.4692	2.51e-5	0.105	342.25
act	SC_RS27575	SCO5083	NA	MFS transporter	ActII_ORF4	4	10.4692	2.51e-5	0.105	303
act	SC_RS27590	SCO5086	NA	3-oxoacyl-ACP reductase	ActII_ORF4	8	10.4692	2.51e-5	0.105	203.125
act	SC_RS27595	SCO5087	NA	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	ActII_ORF4	4	10.4692	2.51e-5	0.105	364.5
act	SC_RS27585	SCO5085	NA	AfsR/SARP family transcriptional regulator	ActII_ORF4	3	10.2464	3.49e-5	0.135	229
act	SC_RS27545	SCO5077	NA	PPOX class F420-dependent oxidoreductase	SARP_heptamer_relaxed	9	8.49829	4.39e-5	0.0417	179.77777777777777
act	SC_RS27545	SCO5077	NA	PPOX class F420-dependent oxidoreductase	SARP_heptamer_strict	7	11.9167	4.39e-5	0.0511	218.14285714285714
act	SC_RS27585	SCO5085	NA	AfsR/SARP family transcriptional regulator	SARP_heptamer_relaxed	7	8.49829	4.39e-5	0.0417	304.42857142857144
act	SC_RS27585	SCO5085	NA	AfsR/SARP family transcriptional regulator	SARP_heptamer_strict	3	11.9167	4.39e-5	0.0511	319.3333333333333
act	SC_RS27555	SCO5079	NA	NmrA/HSCARG family protein	ActII_ORF4	6	9.65877	6.87e-5	0.176	314
act	SC_RS27540	SCO5076	NA	MFS transporter	ActII_ORF4	7	9.4455	8.09e-5	0.176	256.2857142857143
act	SC_RS27515	SCO5071	NA	nuclear transport factor 2 family protein	SARP_heptamer_relaxed	7	7.46758	1.16e-4	0.0417	207.57142857142856
act	SC_RS27520	SCO5072	NA	3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein	SARP_heptamer_relaxed	7	7.46758	1.16e-4	0.0417	289.85714285714283
act	SC_RS27525	SCO5073	NA	quinone oxidoreductase family protein	SARP_heptamer_relaxed	3	7.46758	1.16e-4	0.0417	199.33333333333331
act	SC_RS27530	SCO5074	NA	hypothetical protein	SARP_heptamer_relaxed	3	7.46758	1.16e-4	0.0417	287.6666666666667
act	SC_RS27535	SCO5075	NA	NADP-dependent oxidoreductase	SARP_heptamer_relaxed	3	7.46758	1.16e-4	0.0417	364
act	SC_RS27540	SCO5076	NA	MFS transporter	SARP_heptamer_relaxed	11	7.46758	1.16e-4	0.0417	242.8181818181818
act	SC_RS27560	SCO5080	actVA	actinorhodin polyketide dimerase ActVA	SARP_heptamer_relaxed	4	7.46758	1.16e-4	0.0417	242.25
act	SC_RS27580	SCO5084	NA	MMPL family transporter	SARP_heptamer_relaxed	10	7.46758	1.16e-4	0.0417	269.2
act	SC_RS27595	SCO5087	NA	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	SARP_heptamer_relaxed	4	7.46758	1.16e-4	0.0417	317
act	SC_RS27605	SCO5089	NA	acyl carrier protein	SARP_heptamer_relaxed	5	7.46758	1.16e-4	0.0417	307.8
act	SC_RS27615	SCO5091	NA	MBL fold metallo-hydrolase	SARP_heptamer_relaxed	3	7.46758	1.16e-4	0.0417	295
act	SC_RS27620	SCO5092	actVB	actinorhodin polyketide dimerase ActVB	SARP_heptamer_relaxed	5	7.46758	1.16e-4	0.0417	285.8
act	SC_RS27515	SCO5071	NA	nuclear transport factor 2 family protein	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	117.66666666666667
