target_gene	locus_tag	start	end	strand	product	T1_mean_counts	T2_mean_counts	T3_mean_counts	T2vsT1_log2FC	T3vsT1_log2FC	T2vsT1_padj	T3vsT1_padj	is_target
SC_RS19770	SC_RS19710	3887384	3888079	+	hypothetical protein	14.46	14.69	52.6	0.014	1.782	0.9768707171038958	1.2353762396834573e-06	
SC_RS19770	SC_RS19715	3888210	3888821	+	hypothetical protein	5.84	6.77	34.34	0.162	2.397	0.7698213708444103	2.925568862440866e-06	
SC_RS19770	SC_RS19720	3888872	3889636	+	hypothetical protein	19.58	16.56	54.47	-0.197	1.381	0.6577748177458853	0.0002995463863957765	
SC_RS19770	SC_RS19725	3889752	3890456	-	cation transporter	27.12	103.46	91.71	1.887	1.703	3.0637555168735986e-11	8.196441918622524e-10	
SC_RS19770	SC_RS19730	3890457	3890792	-	ArsR/SmtB family transcription factor	19.64	29.02	44.17	0.499	1.092	0.1692115696583201	0.0009119661452088076	
SC_RS19770	SC_RS19735	3891104	3891829	+	hypothetical protein	7.93	12.94	66.85	0.526	2.91	0.2941612689406487	9.423509550939952e-09	
SC_RS19770	SC_RS19740	3891921	3892586	+	hypothetical protein	8.53	3.45	43.54	-0.941	2.138	0.1207120592100851	0.00011580283014201358	
SC_RS19770	SC_RS19745	3892682	3893122	+	hypothetical protein								
SC_RS19770	SC_RS19750	3893202	3894470	+	type IV secretory system conjugative DNA transfer family protein	19.79	13.31	76.15	-0.487	1.823	0.2825580762427961	8.07345384719357e-06	
SC_RS19770	SC_RS19755	3894467	3894697	+	hypothetical protein								
SC_RS19770	SC_RS19760	3894694	3895866	+	DnaB-like helicase N-terminal domain-containing protein	10.23	4.46	88.98	-0.974	2.999	0.0800888996423502	2.0931887678014452e-10	
SC_RS19770	SC_RS19765	3896019	3896120	+	DNA cytosine methyltransferase								
SC_RS19770	SC_RS19770	3896173	3897147	+	DNA cytosine methyltransferase	11.04	4.59	62.13	-0.936	2.319	0.1028197302734883	9.469011984056453e-06	YES
SC_RS19770	SC_RS19775	3897241	3897840	+	DUF4913 domain-containing protein	7.59	4.7	38.55	-0.509	2.212	0.3408049663061137	2.485917759606733e-06	
SC_RS19770	SC_RS19780	3897837	3898616	+	hypothetical protein	0.0	1.82	52.25	1.732	8.737	0.0446513931661896	7.31708423909207e-10	
SC_RS19770	SC_RS19785	3898613	3899089	+	hypothetical protein	0.39	8.19	30.89	3.656	5.862	0.0010525795527079	7.052242319773769e-07	
SC_RS19770	SC_RS19790	3899086	3899751	+	hypothetical protein	2.33	1.29	40.96	-0.44	3.878	0.4803266044126105	4.926519149483197e-08	
SC_RS19770	SC_RS19795	3899748	3902345	+	ATP-binding protein	23.71	43.87	149.87	0.784	2.578	0.0516256771446224	7.991160990965903e-11	
SC_RS19770	SC_RS19800	3902381	3904501	+	hypothetical protein	192.59	87.52	187.79	-1.106	-0.027	1.1618976708009606e-07	0.8917246872351627	
SC_RS19770	SC_RS19805	3904526	3904624	+	IS5/IS1182 family transposase	39.56	20.05	24.56	-0.908	-0.618	0.0132866352271992	0.0603294195617815	
SC_RS19770	SC_RS19810	3904869	3905723	-	ImmA/IrrE family metallo-endopeptidase	424.86	900.18	473.9	1.05	0.148	2.0213842151550048e-06	0.5214391298342742	
SC_RS19770	SC_RS19815	3905832	3906095	-	helix-turn-helix domain-containing protein	117.7	271.39	108.77	1.175	-0.122	5.3769897467180666e-08	0.5900749952640653	
SC_RS19770	SC_RS19820	3906058	3906735	-	hypothetical protein	500.68	1284.95	525.51	1.332	0.068	9.903789808337032e-12	0.7639149624011268	
SC_RS36410	SC_RS36380	7608214	7609278	+	ArsO family NAD(P)H-dependent flavin-containing monooxygenase	32.85	61.85	75.22	0.847	1.136	0.013643688137169	0.0005320475467458371	
SC_RS36410	SC_RS36385	7609452	7610765	-	PD-(D/E)XK nuclease domain-containing protein	33.35	27.38	77.48	-0.248	1.135	0.5481781225631649	0.0018677520111949	
SC_RS36410	SC_RS36390	7610762	7612807	-	argonaute/piwi family protein	17.26	20.28	114.66	0.194	2.65	0.6619610641488134	2.175190794323504e-11	
SC_RS36410	SC_RS36395	7613491	7614387	+	DUF5655 domain-containing protein	17.21	46.73	73.37	1.358	2.03	5.953491583598334e-05	2.9256971996866846e-10	
SC_RS36410	SC_RS36400	7614564	7615928	-	SPDY domain-containing protein	8.29	6.17	57.8	-0.33	2.608	0.5467498817108806	1.5302432008124772e-06	
SC_RS36410	SC_RS36405	7615994	7617112	-	DnaB-like helicase N-terminal domain-containing protein	4.74	6.07	59.33	0.23	3.482	0.683667681295262	6.324157078143512e-10	
SC_RS36410	SC_RS36410	7617112	7618383	-	DNA cytosine methyltransferase	1.35	4.25	64.91	1.06	5.335	0.1161292455338988	1.0309769424971741e-10	YES
SC_RS36410	SC_RS36415	7618380	7619342	-	adenine nucleotide alpha hydrolase family protein	0.0	2.88	51.17	3.241	8.715	0.0059537348421627	2.373938932823994e-10	
SC_RS36410	SC_RS36420	7619557	7619847	-	SPDY domain-containing protein	4.05	2.17	26.97	-0.515	2.58	0.3924425542540254	1.0899926421174864e-05	
SC_RS36410	SC_RS36425	7620051	7620230	-	DUF317 domain-containing protein								
SC_RS36410	SC_RS36430	7620290	7620910	-	hypothetical protein	0.0	1.35	23.0	1.153	7.318	0.0985962091519016	2.0769553390376249e-07	
SC_RS36410	SC_RS36435	7621003	7621461	-	XF1762 family protein								
SC_RS36410	SC_RS36440	7621458	7623257	-	type IV secretory system conjugative DNA transfer family protein	16.22	11.17	86.64	-0.416	2.299	0.3935106861258717	6.190542336483163e-07	
SC_RS36410	SC_RS36445	7623285	7624064	-	SPDY domain-containing protein	1.62	2.48	42.29	0.298	4.371	0.6246692869262561	7.079961345313058e-08	
SC_RS36410	SC_RS36450	7624067	7624633	-	hypothetical protein	4.49	2.52	28.11	-0.511	2.448	0.3916526410010975	1.9248324746969807e-05	
SC_RS36410	SC_RS36455	7624664	7625485	-	SPDY domain-containing protein	6.14	2.17	30.88	-1.034	2.108	0.1133847934234476	0.00020011119704160056	
SC_RS36410	SC_RS36460	7625476	7625829	-	hypothetical protein								
SC_RS36410	SC_RS36465	7625857	7626660	-	SPDY domain-containing protein	27.62	20.32	49.37	-0.399	0.787	0.2766267263290465	0.0113977101943528	
SC_RS36410	SC_RS36470	7626657	7627040	-	hypothetical protein	1.92	0.82	26.63	-0.543	3.422	0.3937317814081623	7.118839133088915e-06	
SC_RS36410	SC_RS36475	7627477	7628124	-	hypothetical protein	3.72	2.7	36.58	-0.309	3.063	0.6067571775609415	1.5630341493152987e-06	
SC_RS19670	SC_RS19630	3869438	3870205	-	SDR family NAD(P)-dependent oxidoreductase	58.57	37.58	52.55	-0.593	-0.125	0.0601151470627888	0.6734642965402946	
SC_RS19670	SC_RS19635	3870261	3871187	-	carbohydrate ABC transporter permease	56.48	67.87	103.62	0.257	0.856	0.3182198736708779	0.00013535131620513965	
SC_RS19670	SC_RS19640	3871177	3872142	-	carbohydrate ABC transporter permease	42.43	36.8	65.49	-0.18	0.603	0.6021921294074799	0.03997588129009	
SC_RS19670	SC_RS19645	3872165	3873454	-	ABC transporter substrate-binding protein	65.19	62.29	97.53	-0.062	0.561	0.8531894412327685	0.0410438434517567	
SC_RS19670	SC_RS19650	3873639	3874676	+	LacI family DNA-binding transcriptional regulator	348.86	213.44	176.69	-0.695	-0.972	4.594049021893774e-05	3.355207195383643e-09	
