locus_tag	gene_name	old_locus_tag	tf_family	region	tss	mod_class	count_4mC_T1	density_4mC_T1	count_6mA_T1	density_6mA_T1	LFC_T2vsT1	padj_T2
SC_RS02455		SCO0089	LysR	arm	75916	4mC	0	0.0	0	0.0	1.996267814330596	1.1875814630760875e-14
SC_RS03250		SCO0266	HTH (other)	arm	255198	6mA	0	0.0	1	0.17064846416382254	0.8492831427730276	0.0761919609304948
SC_RS04270		SCO0471	HTH (other)	arm	491901	6mA	0	0.0	1	0.17064846416382254	1.526311821195577	1.2402162782138632e-05
SC_RS05075		SCO0632	Sigma factor	arm	673733	6mA	0	0.0	0	0.0	0.0641306457114918	0.9094625049096164
SC_RS05485		SCO0712	HTH (other)	arm	756143	6mA	0	0.0	0	0.0	-1.092554429792889	0.0335251373144556
SC_RS06045		SCO0823	GntR	arm	872193	6mA	0	0.0	0	0.0	-1.3086139961011785	3.2905704431435153e-06
SC_RS06310		SCO0877	HTH (other)	arm	922247	6mA	0	0.0	0	0.0	1.6553679271158672	3.922442782716455e-21
SC_RS06430		SCO0897	Other regulatory	arm	943408	6mA	0	0.0	1	0.17064846416382254	1.0725951660655857	0.0157850735216154
SC_RS07000		SCO1008	ArsR	arm	1063185	4mC	0	0.0	0	0.0	0.0924621478190691	0.7011306550014702
SC_RS07215		SCO1052	HTH (other)	arm	1108778	4mC	1	0.17064846416382254	1	0.17064846416382254	-0.4278173498979656	0.4869021347174306
SC_RS07750		SCO1160	Sensor kinase	arm	1221178	6mA	0	0.0	0	0.0	7.895713314069832	6.685778908988326e-80
SC_RS07910		SCO1191	MarR	arm	1264656	4mC	0	0.0	1	0.17064846416382254	-2.9236552002412837	1.6312809495587037e-18
SC_RS08090		SCO1227	HTH (other)	arm	1302022	4mC	0	0.0	0	0.0	4.8574849580221	1.0504968452721195e-39
SC_RS09315		SCO1468	TetR	core	1568358	6mA	0	0.0	1	0.17064846416382254	4.026952770152274	1.7832508749357542e-33
SC_RS09835		SCO1564	Sigma factor	core	1674773	6mA	0	0.0	1	0.17064846416382254	5.5269691734079345	3.393746014177269e-24
SC_RS10435		SCO1684	TetR	core	1805076	6mA	0	0.0	1	0.17064846416382254	1.991505486717247	1.0409101822101902e-05
SC_RS11515		SCO1897	DeoR	core	2031485	6mA	0	0.0	0	0.0	1.6809431847299388	0.0001699613002738
