gene_id	old_locus_tag	gene_name	gene_biotype	contig	start	end	strand	product	protein_id	ontology_term	baseMean	log2FoldChange_2_vs_1	lfcSE_2_vs_1	pvalue_2_vs_1	padj_2_vs_1	log2FoldChange_3_vs_1	lfcSE_3_vs_1	pvalue_3_vs_1	padj_3_vs_1	log2FoldChange_3_vs_2	lfcSE_3_vs_2	pvalue_3_vs_2	padj_3_vs_2	norm_M145_1_1	norm_M145_1_2	norm_M145_1_3	norm_M145_2_1	norm_M145_2_3	norm_M145_2_4	norm_M145_3_2	norm_M145_3_3	norm_M145_3_4	bgc_name	bgc_role	is_regulator	regulator_name	regulator_type	is_SARP	SARP_subtype
SC_RS02065	NA	NA	protein_coding	NC_003888.3	577	699	+	hypothetical protein	WP_262377497.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02070	NA	NA	protein_coding	NC_003888.3	800	1123	+	hypothetical protein	WP_173943997.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02075	SCO0002	NA	protein_coding	NC_003888.3	1144	3813	+	DEAD/DEAH box helicase	WP_173943998.1	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02080	SCO0003	NA	protein_coding	NC_003888.3	3869	6220	+	Helicase associated domain protein	WP_011026766.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02085	SCO0004	NA	protein_coding	NC_003888.3	6346	7173	+	TnsA-like heteromeric transposase endonuclease subunit	WP_238363709.1	NA	51.55349145962415	10.145450536920526	2.721940343114386	1.3340840205344066e-14	5.510754414373891e-14	7.735271409749111	2.479358424828949	2.145117583322893e-9	5.003529298989274e-9	-1.9860798863520952	0.3198428999024815	9.598393399015851e-11	5.302696237635492e-10	0	0	0	155.7748154930744	119.88738564066632	97.02892885916512	23.284661201280674	38.22641393641485	29.779218006015853	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02090	SCO0005	NA	protein_coding	NC_003888.3	7154	9307	+	Mu transposase C-terminal domain-containing protein	WP_161270428.1	NA	37.64038128547583	9.67996973039465	2.6893438760891697	1.6664384114165356e-13	6.467811215071488e-13	7.031963909443203	2.412961562074796	3.7779971249560264e-8	7.920637789255217e-8	-2.1587889055421576	0.3227159608410458	3.855137900728916e-12	2.5901919498219063e-11	0	0	0	105.48530812916847	84.62638986399975	88.32120447436826	20.37407855112059	24.02803161717505	15.928418933450342	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02095	SCO0006	NA	protein_coding	NC_003888.3	9424	10410	+	ATP-binding protein	WP_161269922.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02100	NA	NA	protein_coding	NC_003888.3	10407	11363	+	TniQ family protein	WP_161269923.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02105	NA	NA	pseudogene	NC_003888.3	11617	11964	+	helicase associated domain-containing protein	NA	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02110	SCO0010	NA	protein_coding	NC_003888.3	12366	13457	+	hypothetical protein	WP_011026773.1	NA	9.087768831491523	6.785993216525088	2.4712438796109932	4.008530891695035e-7	1.023632259402768e-6	5.750986768526444	2.358959323876884	9.48808103357248e-6	1.6178828631287955e-5	-0.6495927324664642	0.5186955846435791	0.1446150375110187	0.1793263990932937	0	0	0	25.75804035712254	11.2835186485333	14.927527516794637	9.895981010544286	10.921832553261384	9.003019397167584	NA	NA	FALSE	NA	NA	FALSE	NA
