name,product,function,tier,category,locus_tag,bgc
bldA,tRNA-Leu,"UUA codon translation, master regulator",1,global,SC_RS26640,
bldB,BldB,Morphological differentiation,1,global,SC_RS25655,
bldC,BldC,"MerR family, aerial mycelium",1,global,SC_RS36355,
bldD,BldD,"Master regulator of development, c-di-GMP binding",1,global,SC_RS25165,
bldG,Anti-sigma factor antagonist,σF regulation,1,global,SC_RS25070,
bldH/adpA,AdpA,"AraC family, pleiotropic regulator",1,global,SC_RS14000,
bldM,Response regulator,Orphan response regulator,1,global,SC_RS18130,
bldN,σBldN,"ECF sigma factor, aerial development",1,global,SC_RS26120,
afsR,AfsR,"SARP-like global regulator, phosphorylated by AfsK",1,global,SC_RS24295,
afsK,Ser/Thr kinase,Phosphorylates AfsR,1,global,SC_RS24290,
afsS,AfsS,"σ-like factor, secondary metabolism",1,global,SC_RS22980,
crp,CRP/FNR family,cAMP receptor protein,1,global,SC_RS10725,
dasR,DasR,"GntR family, N-acetylglucosamine signaling",1,global,SC_RS19305,
absA2,Response regulator,"Two-component, represses multiple BGCs",2,pleiotropic,SC_RS02970,
absA1,Sensor kinase,Two-component with AbsA2,2,pleiotropic,SC_RS02965,
absB,RNase III,Post-transcriptional regulation of regulators,2,pleiotropic,SC_RS27825,
afsQ1,Sensor kinase,"Two-component, secondary metabolism",2,pleiotropic,SC_RS33490,
afsQ2,Response regulator,Two-component with AfsQ1,2,pleiotropic,SC_RS33495,
nsdA,NsdA,Negative regulator of antibiotic synthesis,2,pleiotropic,SC_RS35450,
nsdB,NsdB,"Negative regulator, MarR family",2,pleiotropic,SC_RS37265,
wblA,WhiB-like,"Wbl family, negative regulator",2,pleiotropic,SC_RS04915,
actII-ORF4,SARP regulator,Act pathway activator,3,csr,SC_RS27570,act
redD,SARP regulator,Red pathway activator,3,csr,SC_RS27225,red
redZ,Response regulator,Activates redD transcription,3,csr,SC_RS27300,red
cdaR,SARP regulator,CDA pathway activator,3,csr,SC_RS17785,cda
cpkO/kasO,SARP regulator,Cpk pathway activator,3,csr,SC_RS31605,cpk
papR2,AfsR/SARP,Activates multiple BGCs,3,csr,SC_RS18200,multiple
hrdB,σHrdB,Principal sigma factor,1,sigma,SC_RS25850,
hrdA,σHrdA,Sigma-70 family,2,sigma,SC_RS23200,
hrdC,σHrdC,Sigma-70 family,2,sigma,SC_RS25845,
hrdD,σHrdD,"Transcribes actII-ORF4, redD",2,sigma,SC_RS25840,
sigE,σE,"ECF sigma, cell envelope stress",2,sigma,SC_RS24925,
sigH,σH,"Heat shock, osmotic stress",2,sigma,SC_RS25290,
sigR,σR,Thiol-oxidative stress,2,sigma,SC_RS26330,
sigF,σF,Sporulation sigma factor,2,sigma,SC_RS04925,
sigB,σB,Osmotic stress,2,sigma,SC_RS26785,
sigU,σU,ECF sigma factor,2,sigma,SC_RS04965,
