chrom,position,strand,mod_type,timepoint,n_reps,total_coverage,weighted_mod_freq,unweighted_mod_freq
NC_003888.3,131,-,4mC,T1,3,36,69.44555555555556,69.97000000000001
NC_003888.3,138,-,6mA,T1,3,66,86.36681818181819,85.86
NC_003888.3,23405,+,6mA,T1,3,46,63.04673913043479,56.59666666666667
NC_003888.3,24110,+,6mA,T1,3,48,66.66916666666667,65.67666666666668
NC_003888.3,29409,+,6mA,T1,3,55,58.18145454545454,57.03666666666667
NC_003888.3,31832,-,6mA,T1,3,53,50.94377358490566,50.873333333333335
NC_003888.3,43757,+,4mC,T1,3,32,59.375625,54.28666666666667
NC_003888.3,45004,+,6mA,T1,3,56,51.785000000000004,52.38
NC_003888.3,51943,+,6mA,T1,3,42,59.522380952380956,57.30666666666667
NC_003888.3,52710,+,6mA,T1,3,46,50.00260869565217,49.076666666666675
NC_003888.3,57394,+,6mA,T1,3,49,53.06285714285714,53.97
NC_003888.3,78421,+,6mA,T1,3,43,58.14046511627907,58.63333333333333
NC_003888.3,82127,-,6mA,T1,3,49,63.26632653061225,66.33666666666667
NC_003888.3,82128,-,6mA,T1,3,54,68.51722222222222,69.16333333333334
NC_003888.3,82886,-,6mA,T1,3,49,65.3065306122449,65.68666666666667
NC_003888.3,86222,+,4mC,T1,3,36,97.22333333333333,98.04
NC_003888.3,93654,-,6mA,T1,3,44,59.093636363636364,61.46333333333334
NC_003888.3,96883,+,6mA,T1,3,49,61.22632653061225,62.220000000000006
NC_003888.3,104521,-,6mA,T1,3,44,54.54613636363637,58.01666666666667
NC_003888.3,106467,+,6mA,T1,3,46,52.17630434782609,52.51
NC_003888.3,106790,-,6mA,T1,3,45,57.778000000000006,56.580000000000005
NC_003888.3,108750,+,4mC,T1,3,34,91.17735294117647,89.56333333333333
NC_003888.3,116615,-,6mA,T1,3,44,50.00022727272728,52.02666666666667
NC_003888.3,116802,-,6mA,T1,3,50,56.0008,57.053333333333335
NC_003888.3,117043,-,6mA,T1,3,55,50.90963636363636,48.89333333333334
NC_003888.3,125264,-,6mA,T1,3,55,69.09272727272727,67.16666666666667
NC_003888.3,127250,-,6mA,T1,3,51,54.900588235294116,53.830000000000005
NC_003888.3,131563,+,4mC,T1,3,31,93.55064516129032,94.66000000000001
NC_003888.3,135597,-,6mA,T1,3,43,72.09209302325581,73.19333333333333
NC_003888.3,136278,-,6mA,T1,3,50,54.0,56.666666666666664
NC_003888.3,139070,+,4mC,T1,3,31,90.32129032258065,91.11
NC_003888.3,140453,+,4mC,T1,3,31,77.4183870967742,76.58666666666666
NC_003888.3,146773,+,6mA,T1,3,64,62.50015625,61.52
NC_003888.3,149840,-,4mC,T1,3,34,91.175,92.20666666666666
NC_003888.3,163824,-,6mA,T1,3,49,63.2665306122449,62.72
NC_003888.3,165349,-,6mA,T1,3,59,59.32203389830509,61.666666666666664
NC_003888.3,166193,+,6mA,T1,3,55,70.91199999999999,72.04333333333334
NC_003888.3,173006,-,6mA,T1,3,50,79.999,82.15333333333332
NC_003888.3,173568,+,6mA,T1,3,65,55.38384615384615,52.61666666666667
NC_003888.3,175601,+,4mC,T1,3,32,78.1228125,78.31333333333333
NC_003888.3,176720,+,6mA,T1,3,52,51.92134615384615,53.22
NC_003888.3,176789,+,6mA,T1,3,48,60.41625,67.28333333333333
NC_003888.3,178710,-,4mC,T1,3,30,93.334,92.59333333333332
NC_003888.3,181109,-,6mA,T1,3,53,54.718301886792446,54.90333333333333
NC_003888.3,191485,+,6mA,T1,3,50,67.99900000000001,67.89999999999999
NC_003888.3,199192,+,6mA,T1,3,42,61.90714285714286,60.74333333333334
NC_003888.3,202216,-,6mA,T1,3,48,52.08395833333333,52.45666666666667
NC_003888.3,203228,-,4mC,T1,3,30,96.667,96.96999999999998
NC_003888.3,211143,+,6mA,T1,3,58,53.44689655172414,52.776666666666664
NC_003888.3,211317,+,6mA,T1,3,55,58.18472727272727,59.38
NC_003888.3,211827,+,6mA,T1,3,55,65.456,63.05666666666667
NC_003888.3,222434,+,4mC,T1,3,35,82.85657142857141,82.56666666666666
NC_003888.3,224082,+,6mA,T1,3,60,56.665,54.669999999999995
NC_003888.3,229695,-,6mA,T1,3,57,50.877017543859644,49.346666666666664
