bgc_name	gene_id	old_locus_tag	gene_name	role	mibig_annotation
act	SC_RS27515	SCO5071	actI-ORF1	biosynthesis	KSα (ketosynthase alpha)
act	SC_RS27520	SCO5072	actI-ORF2	biosynthesis	KSβ/CLF (chain length factor)
act	SC_RS27525	SCO5073	actI-ORF3	biosynthesis	ACP (acyl carrier protein)
act	SC_RS27530	SCO5074	actVII	biosynthesis	Ketoreductase
act	SC_RS27535	SCO5075	actIV	biosynthesis	Cyclase/aromatase
act	SC_RS27540	SCO5076	actVI-ORF1	biosynthesis	Dehydratase
act	SC_RS27545	SCO5077	actVI-ORF2	biosynthesis	Hydroxylase
act	SC_RS27550	SCO5078	actVI-ORF3	biosynthesis	Oxidoreductase
act	SC_RS27555	SCO5079	actVI-ORF4	biosynthesis	Cyclase
act	SC_RS27560	SCO5080	actVA-ORF5	biosynthesis	Monooxygenase
act	SC_RS27565	SCO5081	actVA-ORF4	biosynthesis	Dimerization
act	SC_RS27570	SCO5082	actII-ORF4	regulator	SARP regulator
act	SC_RS27575	SCO5083	actII-ORF3	biosynthesis	Tailoring
act	SC_RS27580	SCO5084	actII-ORF2	biosynthesis	Dehydratase
act	SC_RS27585	SCO5085	actII-ORF1	transport	Exporter
act	SC_RS27590	SCO5086	actA	transport	MFS transporter
act	SC_RS27595	SCO5087	actAB	resistance	Self-resistance
act	SC_RS27600	SCO5088	actIII	biosynthesis	Ketoreductase
act	SC_RS27605	SCO5089	actVA-ORF1	biosynthesis	Polyketide cyclase
act	SC_RS27610	SCO5090	actVA-ORF2	biosynthesis	Flavin reductase
act	SC_RS27615	SCO5091	actVA-ORF3	biosynthesis	Dehydrogenase
act	SC_RS27620	SCO5092	actVB	biosynthesis	Monooxygenase
red	SC_RS31630	SCO5877	redD	regulator	SARP activator
red	SC_RS31635	SCO5878	redX	biosynthesis	PKS (ketosynthase)
red	SC_RS31640	SCO5879	redW	biosynthesis	L-proline oxidase
red	SC_RS31645	SCO5880	redY	biosynthesis	PCP (peptidyl carrier)
red	SC_RS31650	SCO5881	redZ	regulator	Response regulator
red	SC_RS31655	SCO5882	redV	biosynthesis	2-oxoglutarate oxidase
red	SC_RS31660	SCO5883	redU	biosynthesis	Methyltransferase
red	SC_RS31665	SCO5884	redT	biosynthesis	Thioesterase
red	SC_RS31670	SCO5885	redS	biosynthesis	Oxidoreductase
red	SC_RS31675	SCO5886	redR	biosynthesis	Ketoreductase
red	SC_RS31680	SCO5887	redQ	biosynthesis	ACP (acyl carrier)
red	SC_RS31685	SCO5888	redP	biosynthesis	Ketoacyl synthase
red	SC_RS31690	SCO5889	redO	biosynthesis	Phosphopantetheinyl transferase
red	SC_RS31695	SCO5890	redN	biosynthesis	Acyltransferase
red	SC_RS31700	SCO5891	redM	biosynthesis	Oxidoreductase
red	SC_RS31705	SCO5892	redL	biosynthesis	Type I PKS
red	SC_RS31710	SCO5893	redK	biosynthesis	Ketoreductase
red	SC_RS31715	SCO5894	redJ	biosynthesis	Thioesterase
red	SC_RS31720	SCO5895	redI	biosynthesis	Methyltransferase
red	SC_RS31725	SCO5896	redH	biosynthesis	Condensation (NRPS)
red	SC_RS31730	SCO5897	redG	biosynthesis	Rieske oxygenase
red	SC_RS31735	SCO5898	redF	transport	MFS transporter
cda	SC_RS18165	SCO3210	cdaPS1	biosynthesis	NRPS module 1
cda	SC_RS18170	SCO3211	trpC	biosynthesis	Tryptophan biosynthesis
cda	SC_RS18175	SCO3212	trpD	biosynthesis	Anthranilate phosphoribosyl transferase
cda	SC_RS18180	SCO3213	cdaPSI	biosynthesis	NRPS module
cda	SC_RS18185	SCO3214	cdaPSII	biosynthesis	NRPS module
cda	SC_RS18190	SCO3215	cdaPSIII	biosynthesis	NRPS module
cda	SC_RS18195	SCO3216	cdaR	biosynthesis	Phosphotransferase
cda	SC_RS18200	SCO3217	hmaS	biosynthesis	Hydroxymandelic acid synthase
cda	SC_RS18205	SCO3218	hmo	biosynthesis	Hydroxymandelate oxidase
cda	SC_RS18210	SCO3219	cdaT	biosynthesis	Tailoring enzyme
cda	SC_RS18215	SCO3220	fabH	biosynthesis	3-oxoacyl-ACP synthase III
cda	SC_RS18220	SCO3221	fabC	biosynthesis	Acyl carrier protein
cda	SC_RS18225	SCO3222	fabD	biosynthesis	Malonyl transferase
cda	SC_RS18230	SCO3223	fabF	biosynthesis	3-oxoacyl-ACP synthase II
cda	SC_RS18235	SCO3224	cdaY	biosynthesis	Unknown
