locus_tag	old_locus_tag	MarR (E. coli MarR; methylation-context regulator)	LysR/OxyR (E. coli OxyR; agn43 Dam-switch)	Lrp/AsnC (E. coli Lrp; pap GATC switch)	Sigma-70 ECF (M. tuberculosis SigB; m6A-near-σ-box)	TCS Response Regulator GerE/Receiver (S. coelicolor RamR analogue)	TetR/AcrR (Casadesús & Low 2006 review; methylation-coupled repressors)
SC_RS40740	SCO7711	0	0	0	0	0	0
SC_RS38475	SCO7252	0	0	0	0	0	0
SC_RS08090	SCO1227	0	0	0	0	0	0
SC_RS17795	SCO3134	0	0	0	0	1	0
SC_RS07750	SCO1160	0	0	0	0	0	0
SC_RS35610	SCO6685	0	0	0	0	1	0
SC_RS27300	SCO5027	0	0	0	0	0	0
SC_RS32025	SCO5956	0	0	0	0	0	1
SC_RS13145	SCO2223	0	0	0	0	0	1
SC_RS22780	SCO4122	1	0	0	0	0	0
SC_RS38610	SCO7279	0	0	0	0	0	0
SC_RS02455	SCO0089	0	1	0	0	0	0
SC_RS38785	SCO7314	0	0	0	1	0	0
SC_RS36220		0	0	0	0	0	0
SC_RS06310	SCO0877	0	0	0	0	1	0
SC_RS29350	SCO5433	0	0	0	0	0	0
SC_RS13965	SCO2386	0	0	0	0	0	0
SC_RS16855	SCO2950	0	0	0	0	0	0
SC_RS25370	SCO4639	0	0	0	0	0	1
SC_RS33745	SCO6299	0	0	0	0	0	1
