gene_id	old_locus_tag	gene_name	gene_biotype	contig	start	end	strand	product	protein_id	ontology_term
SC_RS02065			protein_coding	NC_003888.3	577	699	+	hypothetical protein	WP_262377497.1	
SC_RS02070			protein_coding	NC_003888.3	800	1123	+	hypothetical protein	WP_173943997.1	
SC_RS02075	SCO0002		protein_coding	NC_003888.3	1144	3813	+	DEAD/DEAH box helicase	WP_173943998.1	GO:0003676
SC_RS02080	SCO0003		protein_coding	NC_003888.3	3869	6220	+	Helicase associated domain protein	WP_011026766.1	
SC_RS02085	SCO0004		protein_coding	NC_003888.3	6346	7173	+	TnsA-like heteromeric transposase endonuclease subunit	WP_238363709.1	
SC_RS02090	SCO0005		protein_coding	NC_003888.3	7154	9307	+	Mu transposase C-terminal domain-containing protein	WP_161270428.1	
SC_RS02095	SCO0006		protein_coding	NC_003888.3	9424	10410	+	ATP-binding protein	WP_161269922.1	
SC_RS02100			protein_coding	NC_003888.3	10407	11363	+	TniQ family protein	WP_161269923.1	
SC_RS02105			pseudogene	NC_003888.3	11617	11964	+	helicase associated domain-containing protein		GO:0003676
SC_RS02110	SCO0010		protein_coding	NC_003888.3	12366	13457	+	hypothetical protein	WP_011026773.1	
SC_RS02115			pseudogene	NC_003888.3	13517	13621	-	RipA family octameric membrane protein		
SC_RS02120	SCO0012		protein_coding	NC_003888.3	14044	14343	-	hypothetical protein	WP_237530287.1	
SC_RS02125			pseudogene	NC_003888.3	14739	15360	-	DUF6879 family protein		
SC_RS02130	SCO0014		protein_coding	NC_003888.3	15317	15595	-	hypothetical protein	WP_011026777.1	
SC_RS02135	SCO0015	nhaA	protein_coding	NC_003888.3	16070	17302	-	Na+/H+ antiporter NhaA	WP_011026778.1	GO:0006814,GO:0006885,GO:0015385,GO:0016020
SC_RS02140	SCO0016		protein_coding	NC_003888.3	17715	17918	+	hypothetical protein	WP_011026779.1	
SC_RS02145	SCO0017		protein_coding	NC_003888.3	17919	18263	+	DUF6233 domain-containing protein	WP_011026780.1	
SC_RS02150	SCO0018		protein_coding	NC_003888.3	18485	19363	-	ANTAR domain-containing protein	WP_237530288.1	GO:0003723
SC_RS02155	SCO0020		protein_coding	NC_003888.3	19971	21620	+	ISL3 family transposase	WP_011031941.1	GO:0004803
SC_RS02160	SCO0021		protein_coding	NC_003888.3	21758	22210	+	hypothetical protein	WP_237530289.1	
SC_RS02165			pseudogene	NC_003888.3	22156	22500	-	ATP-binding protein		GO:0005524
SC_RS02170			pseudogene	NC_003888.3	22624	22761	-	ATP-binding protein		GO:0005524
SC_RS02175			pseudogene	NC_003888.3	22742	23010	+	ATP-binding protein		GO:0005524
SC_RS02180	SCO0026		protein_coding	NC_003888.3	23343	23831	+	hypothetical protein	WP_234308248.1	
SC_RS02185			protein_coding	NC_003888.3	24378	24614	-	hypothetical protein	WP_161269924.1	
