name,product,function,tier,category,locus_tag,bgc,gene_id,log2FC_3_vs_1,padj_3_vs_1,corr_act,corr_red,corr_cda,corr_cpk
bldA,tRNA-Leu,"UUA codon translation, master regulator",1,global,SC_RS26640,,,,,,,,
bldB,BldB,Morphological differentiation,1,global,SC_RS25655,,,,,,,,
bldC,BldC,"MerR family, aerial mycelium",1,global,SC_RS36355,,,,,,,,
bldD,BldD,"Master regulator of development, c-di-GMP binding",1,global,SC_RS25165,,,,,,,,
bldG,Anti-sigma factor antagonist,σF regulation,1,global,SC_RS25070,,,,,,,,
bldH/adpA,AdpA,"AraC family, pleiotropic regulator",1,global,SC_RS14000,,,,,,,,
bldM,Response regulator,Orphan response regulator,1,global,SC_RS18130,,,,,,,,
bldN,σBldN,"ECF sigma factor, aerial development",1,global,SC_RS26120,,,,,,,,
afsR,AfsR,"SARP-like global regulator, phosphorylated by AfsK",1,global,SC_RS24295,,SC_RS24295,-0.9176001898500752,1.522048715193191e-09,-0.8251885195379717,-0.7487943295029207,-0.5908036997173747,-0.3662354836199782
afsK,Ser/Thr kinase,Phosphorylates AfsR,1,global,SC_RS24290,,,,,,,,
afsS,AfsS,"σ-like factor, secondary metabolism",1,global,SC_RS22980,,SC_RS22980,-1.386678225928751,3.3533132860895164e-12,-0.8089210694650282,-0.5726873645746964,-0.3438844614100227,-0.0926982378384385
crp,CRP/FNR family,cAMP receptor protein,1,global,SC_RS10725,,,,,,,,
dasR,DasR,"GntR family, N-acetylglucosamine signaling",1,global,SC_RS19305,,,,,,,,
absA2,Response regulator,"Two-component, represses multiple BGCs",2,pleiotropic,SC_RS02970,,SC_RS02970,7.534071763657279,6.397685195292338e-116,0.6125643727459487,0.9438553198240652,0.9585894047325464,0.8629066248061367
absA1,Sensor kinase,Two-component with AbsA2,2,pleiotropic,SC_RS02965,,SC_RS02965,3.2104494409537523,1.2094940477281763e-39,0.5733551727138825,0.9438240900236162,0.9769357672774432,0.8996251158096958
absB,RNase III,Post-transcriptional regulation of regulators,2,pleiotropic,SC_RS27825,,,,,,,,
afsQ1,Sensor kinase,"Two-component, secondary metabolism",2,pleiotropic,SC_RS33490,,,,,,,,
afsQ2,Response regulator,Two-component with AfsQ1,2,pleiotropic,SC_RS33495,,,,,,,,
nsdA,NsdA,Negative regulator of antibiotic synthesis,2,pleiotropic,SC_RS35450,,,,,,,,
nsdB,NsdB,"Negative regulator, MarR family",2,pleiotropic,SC_RS37265,,,,,,,,
wblA,WhiB-like,"Wbl family, negative regulator",2,pleiotropic,SC_RS04915,,,,,,,,
actII-ORF4,SARP regulator,Act pathway activator,3,csr,SC_RS27570,act,SC_RS27570,2.5950361467035115,1.2009819406248371e-24,0.9535598964902904,0.5716056936941317,0.2501914389445331,-0.0245133442695333
redD,SARP regulator,Red pathway activator,3,csr,SC_RS27225,red,,,,,,,
redZ,Response regulator,Activates redD transcription,3,csr,SC_RS27300,red,,,,,,,
cdaR,SARP regulator,CDA pathway activator,3,csr,SC_RS17785,cda,,,,,,,
cpkO/kasO,SARP regulator,Cpk pathway activator,3,csr,SC_RS31605,cpk,SC_RS31605,-0.1081177935178252,0.651824690058693,-0.6148324169769588,-0.5168496140801002,-0.3996158316938999,-0.2684397208094642
papR2,AfsR/SARP,Activates multiple BGCs,3,csr,SC_RS18200,multiple,SC_RS18200,5.758747449978721,1.3139907498249732e-114,0.3636271437408448,0.8518964038123353,0.9699942122560404,0.9580101567253302
hrdB,σHrdB,Principal sigma factor,1,sigma,SC_RS25850,,,,,,,,
hrdA,σHrdA,Sigma-70 family,2,sigma,SC_RS23200,,,,,,,,
hrdC,σHrdC,Sigma-70 family,2,sigma,SC_RS25845,,,,,,,,
hrdD,σHrdD,"Transcribes actII-ORF4, redD",2,sigma,SC_RS25840,,,,,,,,
sigE,σE,"ECF sigma, cell envelope stress",2,sigma,SC_RS24925,,,,,,,,
sigH,σH,"Heat shock, osmotic stress",2,sigma,SC_RS25290,,,,,,,,
sigR,σR,Thiol-oxidative stress,2,sigma,SC_RS26330,,,,,,,,
sigF,σF,Sporulation sigma factor,2,sigma,SC_RS04925,,SC_RS04925,-1.2623042038035506,3.641081436198965e-07,-0.3283542263451476,-0.674359141918598,-0.7680210413931713,-0.7064440378905289
sigB,σB,Osmotic stress,2,sigma,SC_RS26785,,,,,,,,
sigU,σU,ECF sigma factor,2,sigma,SC_RS04965,,SC_RS04965,0.9512587569581356,0.0003187409145303042,0.2410322362281461,0.7803986290730112,0.9332422315814902,0.9779784270037828
