locus_tag	old_locus_tag	gene_name	product	tf_family	region	nearest_methyl_distance	n_methyl_sites_2kb	baseMean	LFC_T2vsT1	LFC_T3vsT1	n_FIMO_hits	classification
SC_RS02220			RNA polymerase sigma-70 factor	Sigma factor	1	554	3	189.421	0.774	1.247	9	shielded
SC_RS02260	SCO0047		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	1909	1	88.712	-0.217	-0.032	10	shielded
SC_RS02325	SCO0062		LacI family DNA-binding transcriptional regulator	LacI	1	429	1	92.51	-1.482	-0.723	9	shielded
SC_RS02330	SCO0063		ROK family protein	ROK	1	551	2	66.227	-1.209	-0.329	10	shielded
SC_RS02455	SCO0089		LysR family transcriptional regulator	LysR	1	290	1	101.968	1.959	1.313	10	exposed
SC_RS02530	SCO0110		helix-turn-helix transcriptional regulator	HTH (other)	1	1864	1	66.114	2.202	2.012	6	shielded
SC_RS02550	SCO0116		TetR/AcrR family transcriptional regulator	TetR	1	1218	2	63.874	0.385	-0.205	7	shielded
SC_RS02625	SCO0132		helix-turn-helix transcriptional regulator	HTH (other)	1	941	4	225.284	1.348	2.329	6	shielded
SC_RS02660	SCO0140		MerR family transcriptional regulator	MerR	1	1130	1	32.632	-0.016	2.811	6	shielded
SC_RS02680	SCO0143		TetR/AcrR family transcriptional regulator	TetR	1	405	2	27.676	-1.024	0.404	12	shielded
SC_RS02705	SCO0148		helix-turn-helix domain-containing protein	HTH (other)	1	318	3	22.721	-1.025	-1.081	6	shielded
SC_RS02735	SCO0155		TetR/AcrR family transcriptional regulator	TetR	1	1274	1	126.635	1.148	0.289	7	shielded
SC_RS02745	SCO0159		sigma-70 family RNA polymerase sigma factor	Sigma factor	1	1452	2	27.292	-0.019	2.307	8	shielded
SC_RS02750	SCO0160		helix-turn-helix domain-containing protein	HTH (other)	1	369	2	32.332	2.664	3.828	6	shielded
SC_RS02915	SCO0193		MerR family transcriptional regulator	MerR	1	1665	1	1573.11	-1.02	-3.203	11	shielded
SC_RS02920	SCO0194		sigma-70 family RNA polymerase sigma factor	Sigma factor	1	1504	1	625.808	-1.397	-0.619	10	shielded
SC_RS02965	SCO0203		two-component system sensor histidine kinase	Sensor kinase	1	1309	1	1144.259	2.9	3.21	9	shielded
SC_RS02970	SCO0204		response regulator	Response regulator	1	485	1	3430.033	6.294	7.534	6	shielded
SC_RS03000	SCO0211		sensor histidine kinase	Sensor kinase	1	842	2	97.818	4.157	5.377	14	shielded
SC_RS03080	SCO0230		TetR/AcrR family transcriptional regulator	TetR	1	2284	0	113.933	0.459	-0.933	10	shielded
SC_RS03095	SCO0233		helix-turn-helix transcriptional regulator	HTH (other)	1	104	3	47.424	0.351	0.978	3	shielded
SC_RS03110	SCO0236		helix-turn-helix transcriptional regulator	HTH (other)	1	1190	3	39.604	1.053	1.752	1	shielded
SC_RS03135	SCO0241		TetR/AcrR family transcriptional regulator	TetR	1	299	3	36.138	0.297	1.292	11	shielded
SC_RS03175	SCO0250		TetR/AcrR family transcriptional regulator	TetR	1	404	3	91.398	-1.117	-0.97	7	shielded
SC_RS03185	SCO0253		TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	1	125	4	73.2	-0.235	-0.721	6	shielded
SC_RS03195	SCO0255		sigma-54-dependent Fis family transcriptional regulator	Other regulatory	1	388	2	48.265	-0.612	1.74	12	shielded
SC_RS03230	SCO0262		LysR family transcriptional regulator	LysR	1	204	4	106.655	0.401	0.186	7	shielded
SC_RS03240	SCO0264		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	1584	3	59.186	0.928	0.295	6	shielded
SC_RS03250	SCO0266		helix-turn-helix domain-containing protein	HTH (other)	1	293	2	34.686	0.181	1.052	6	exposed
SC_RS03295	SCO0275		ROK family transcriptional regulator	ROK	1	3698	0	60.217	-0.501	-0.01	9	shielded
SC_RS03330	SCO0282		DeoR/GlpR family DNA-binding transcription regulator	DeoR	1	1024	1	74.79	0.201	-0.412	7	shielded
SC_RS03355	SCO0287		AraC-like ligand-binding domain-containing protein	AraC	1	867	2	86.487	0.611	0.605	6	shielded
SC_RS03365	SCO0289		LacI family DNA-binding transcriptional regulator	LacI	1	189	3	113.251	-1.233	-0.823	7	shielded
SC_RS03400	SCO0296		TetR/AcrR family transcriptional regulator	TetR	1	1454	2	63.74	-0.687	-0.477	7	shielded
SC_RS03410	SCO0298		LysR family transcriptional regulator	LysR	1	917	2	466.692	2.163	0.692	3	shielded
SC_RS03430	SCO0302		TetR/AcrR family transcriptional regulator	TetR	1	78	3	103.026	0.475	0.242	2	shielded
SC_RS03450	SCO0307		helix-turn-helix domain-containing protein	HTH (other)	1	1583	1	53.451	1.024	1.021	5	shielded
SC_RS03465	SCO0310		TetR/AcrR family transcriptional regulator	TetR	1	636	2	67.456	0.169	-0.374	4	shielded
SC_RS03495	SCO0316		PucR family transcriptional regulator	Other regulatory	1	699	6	49.574	1.054	1.662	4	shielded
SC_RS03575	SCO0332		TetR/AcrR family transcriptional regulator	TetR	1	522	3	50.252	0.126	-0.07	9	shielded
