locus_tag	tf_family	region	tss	FIRE_tss	Exposed	LFC_T2vsT1
SC_RS02220	Sigma factor	1	31274	0.240272727272727	False	0.7740014298969246
SC_RS02260	MarR	1	38768	0.246809090909091	False	-0.217473568852473
SC_RS02325	LacI	1	48844	0.259154545454545	False	-1.482151075954944
SC_RS02330	ROK	1	49824	0.259154545454545	False	-1.20882726219268
SC_RS02455	LysR	1	75916	0.2868	False	1.9589972494364425
SC_RS02530	HTH (other)	1	91790	0.302509090909091	False	2.202280419097655
SC_RS02550	TetR	1	94872	0.302509090909091	False	0.3847571846540605
SC_RS02625	HTH (other)	1	122743	0.323672727272727	False	1.3478072821107898
SC_RS02660	MerR	1	132693	0.346436363636364	False	-0.0159602400374791
SC_RS02680	TetR	1	136683	0.354209090909091	False	-1.0239134444181497
SC_RS02705	HTH (other)	1	139467	0.354209090909091	False	-1.0252718400292251
SC_RS02735	TetR	1	145499	0.356281818181818	False	1.148427079287908
SC_RS02745	Sigma factor	1	148225	0.356281818181818	False	-0.0185477794247903
SC_RS02750	HTH (other)	1	150209	0.360827272727273	False	2.6641822445754744
SC_RS02915	MerR	1	184797	0.379490909090909	False	-1.019931959466732
SC_RS02920	Sigma factor	1	184958	0.379490909090909	False	-1.39711883038648
SC_RS02965	Sensor kinase	1	194637	0.392963636363636	False	2.900028857681269
SC_RS02970	Response regulator	1	195461	0.395790909090909	False	6.294033238583641
SC_RS03000	Sensor kinase	1	201374	0.3965	False	4.157236776581737
SC_RS03080	TetR	1	220150	0.410790909090909	False	0.4592858867424682
SC_RS03095	HTH (other)	1	222538	0.410790909090909	False	0.3510988112785352
SC_RS03110	HTH (other)	1	225276	0.411109090909091	False	1.0526452066867726
SC_RS03135	TetR	1	229995	0.411109090909091	False	0.2967320614247226
SC_RS03175	TetR	1	239858	0.407281818181818	False	-1.1172802415794452
SC_RS03185	TetR	1	242203	0.390954545454545	True	-0.2353378035035249
SC_RS03195	Other regulatory	1	245759	0.389954545454545	False	-0.6120267926735176
SC_RS03230	LysR	1	250805	0.395554545454545	False	0.4008340214024673
SC_RS03240	MarR	1	252946	0.395554545454545	False	0.927899550045083
SC_RS03250	HTH (other)	1	255198	0.402290909090909	False	0.1814637166824383
SC_RS03295	ROK	1	266356	0.402954545454545	False	-0.5011124574904358
SC_RS03330	DeoR	1	272898	0.401218181818182	False	0.2007804528858386
SC_RS03355	AraC	1	279691	0.386963636363636	False	0.6109724139132588
SC_RS03365	LacI	1	282157	0.390372727272727	False	-1.23324135449965
SC_RS03400	TetR	1	290584	0.398609090909091	False	-0.6869007709146461
SC_RS03410	LysR	1	293519	0.398609090909091	False	2.162880179285506
SC_RS03430	TetR	1	298108	0.399409090909091	False	0.4745124893283499
SC_RS03450	HTH (other)	1	303084	0.404890909090909	False	1.023956203688079
SC_RS03465	TetR	1	307460	0.401	False	0.1690309381069101
SC_RS03495	Other regulatory	1	316921	0.401527272727273	False	1.0536515073234405
SC_RS03575	TetR	1	333529	0.4109	False	0.1255201918906925
SC_RS03600	TetR	1	340752	0.417	False	-0.0282199003568821
SC_RS03630	GntR	1	348206	0.411390909090909	False	-0.2679594837506325
SC_RS03635	IclR	1	350201	0.411518181818182	False	0.3444890370297744
