rank	chrom	start_bp	end_bp	center_bp	FIRE_M	PC_M	methyl_n_T1	methyl_freqsum_T1	n_genes_in_window	nearest_gene	nearest_product	nearest_gene_dist_bp	in_compartmentA	in_core	dist_to_BGC_bp	nearest_BGC	FIRE_pct	methyl_pct	combined_score
1	NC_003888.3	4255000	4260000	4257500	2.7759	0.4808	4	325.8	5	SC_RS21490	SCO3870 family protein	828	1	1	655180	cda	1.0	0.9705882352941176	0.9852941176470589
2	NC_003888.3	4170000	4175000	4172500	2.0958	-0.0434	4	361.5	6	SC_RS21095	glycosyltransferase family 2 protein	224	1	1	570180	cda	0.8725490196078431	0.9705882352941176	0.9215686274509804
3	NC_003888.3	4230000	4235000	4232500	2.7111	0.1858	3	260.7	4	SC_RS21370	peptidoglycan D,D-transpeptidase FtsI family protein	164	1	1	630180	cda	0.9901960784313726	0.7990196078431373	0.8946078431372549
4	NC_003888.3	4235000	4240000	4237500	2.6979	0.1699	3	264.5	8	SC_RS21390	aminodeoxychorismate/anthranilate synthase component II	340	1	1	635180	cda	0.9803921568627451	0.7990196078431373	0.8897058823529411
5	NC_003888.3	4640000	4645000	4642500	1.7302	0.2373	4	322.9	5	SC_RS23370	DoxX family protein	277	1	1	871309	act	0.7254901960784313	0.9705882352941176	0.8480392156862745
6	NC_003888.3	4365000	4370000	4367500	2.1744	0.8446	3	214.7	5	SC_RS21970	SCO family protein	108	1	1	765180	cda	0.8921568627450981	0.7990196078431373	0.8455882352941178
7	NC_003888.3	3975000	3980000	3977500	1.6751	0.2779	4	337.7	6	SC_RS20140	cation:proton antiporter regulatory subunit	271	1	1	375180	cda	0.6666666666666666	0.9705882352941176	0.8186274509803921
8	NC_003888.3	4165000	4170000	4167500	2.0185	-0.1073	3	272.5	4	SC_RS21070	PhoX family protein	645	1	1	565180	cda	0.8235294117647058	0.7990196078431373	0.8112745098039216
9	NC_003888.3	4160000	4165000	4162500	1.9855	0.2325	3	236.2	7	SC_RS21045	PP2C family protein-serine/threonine phosphatase	454	1	1	560180	cda	0.803921568627451	0.7990196078431373	0.8014705882352942
10	NC_003888.3	4490000	4495000	4492500	1.8633	-0.2306	3	230.9	8	SC_RS22630	metallopeptidase family protein	503	1	1	890180	cda	0.7745098039215687	0.7990196078431373	0.786764705882353
11	NC_003888.3	4650000	4655000	4652500	1.756	0.197	3	252.6	5	SC_RS23415	GPW/gp25 family protein	83	1	1	861309	act	0.7352941176470589	0.7990196078431373	0.7671568627450981
12	NC_003888.3	5060000	5065000	5062500	1.7045	0.8412	3	247.5	9	SC_RS25360	MaoC family dehydratase	31	1	1	451309	act	0.7009803921568627	0.7990196078431373	0.75
13	NC_003888.3	5140000	5145000	5142500	1.7045	0.6143	3	262.8	8	SC_RS25805	DNA-directed RNA polymerase subunit alpha	338	1	1	371309	act	0.7009803921568627	0.7990196078431373	0.75
14	NC_003888.3	3305000	3310000	3307500	1.6862	0.4433	3	206.6	5	SC_RS17235	cation diffusion facilitator family transporter	124	1	1	211949	cda	0.6764705882352942	0.7990196078431373	0.7377450980392157
15	NC_003888.3	4705000	4710000	4707500	1.6044	0.2111	4	250.1	6	SC_RS23645	glucosyl-3-phosphoglycerate synthase	311	1	1	806309	act	0.5	0.9705882352941176	0.7352941176470589
16	NC_003888.3	4075000	4080000	4077500	1.6011	0.296	4	323.2	9	SC_RS20620	ArsO family NAD(P)H-dependent flavin-containing monooxygenase	580	1	1	475180	cda	0.49019607843137253	0.9705882352941176	0.7303921568627451
17	NC_003888.3	3955000	3960000	3957500	1.6586	0.6822	3	218.8	4	SC_RS20030	transcriptional regulator WblA	113	1	1	355180	cda	0.6078431372549019	0.7990196078431373	0.7034313725490196
18	NC_003888.3	3960000	3965000	3962500	1.6556	0.6966	3	224.4	7	SC_RS20050	Pr6Pr family membrane protein	161	1	1	360180	cda	0.5882352941176471	0.7990196078431373	0.6936274509803921
19	NC_003888.3	3925000	3930000	3927500	1.6343	0.7227	3	267.9	6	SC_RS19890	Rv3654c family TadE-like protein	187	1	1	325180	cda	0.5637254901960784	0.7990196078431373	0.6813725490196079
20	NC_003888.3	3930000	3935000	3932500	1.6227	0.7682	3	254.6	5	SC_RS19920	septum site-determining protein Ssd	6	1	1	330180	cda	0.5294117647058824	0.7990196078431373	0.6642156862745099
21	NC_003888.3	3965000	3970000	3967500	1.6056	0.704	3	263.4	6	SC_RS20080	VanSc-type vancomycin resistance histidine kinase VanS	118	1	1	365180	cda	0.5098039215686274	0.7990196078431373	0.6544117647058824
22	NC_003888.3	4205000	4210000	4207500	2.5247	0.803	2	155.1	6	SC_RS21260	potassium channel family protein	218	1	1	605180	cda	0.9705882352941176	0.3333333333333333	0.6519607843137255
23	NC_003888.3	4200000	4205000	4202500	2.5097	0.7329	2	181.5	5	SC_RS21235	bacterial proteasome activator family protein	322	1	1	600180	cda	0.9607843137254902	0.3333333333333333	0.6470588235294118
24	NC_003888.3	4325000	4330000	4327500	2.3984	0.4468	2	189.2	6	SC_RS21805	GntR family transcriptional regulator	465	1	1	725180	cda	0.9509803921568627	0.3333333333333333	0.642156862745098
25	NC_003888.3	4335000	4340000	4337500	2.3691	0.5161	2	183.6	5	SC_RS21850	Ser/Thr/Tyr protein phosphatase SppA	410	1	1	735180	cda	0.9411764705882353	0.3333333333333333	0.6372549019607843
26	NC_003888.3	4465000	4470000	4467500	2.2869	0.6608	2	156.8	7	SC_RS22495	sensor histidine kinase	202	1	1	865180	cda	0.9313725490196079	0.3333333333333333	0.6323529411764706
27	NC_003888.3	3380000	3385000	3382500	1.5924	0.66	3	235.2	7	SC_RS17570	ABC transporter ATP-binding protein	662	1	1	136949	cda	0.46078431372549017	0.7990196078431373	0.6299019607843137
28	NC_003888.3	4360000	4365000	4362500	2.2831	0.8295	2	166.7	5	SC_RS21950	prephenate dehydratase	301	1	1	760180	cda	0.9215686274509803	0.3333333333333333	0.6274509803921569
29	NC_003888.3	4295000	4300000	4297500	2.2289	0.5688	2	178.7	3	SC_RS21650	transglycosylase domain-containing protein	91	1	1	695180	cda	0.9117647058823529	0.3333333333333333	0.6225490196078431
30	NC_003888.3	4445000	4450000	4447500	2.2156	0.6252	2	164.0	5	SC_RS22395	hypothetical protein	65	1	1	845180	cda	0.9019607843137255	0.3333333333333333	0.6176470588235294
31	NC_003888.3	3695000	3700000	3697500	1.483	0.2349	4	350.6	5	SC_RS18820	class I SAM-dependent methyltransferase	218	1	1	95180	cda	0.2549019607843137	0.9705882352941176	0.6127450980392157
32	NC_003888.3	4305000	4310000	4307500	2.1702	0.3278	2	172.8	4	SC_RS21700	replicative DNA helicase	94	1	1	705180	cda	0.8823529411764706	0.3333333333333333	0.6078431372549019
33	NC_003888.3	4425000	4430000	4427500	2.0922	0.5335	2	170.8	5	SC_RS22275	MFS transporter	822	1	1	825180	cda	0.8627450980392157	0.3333333333333333	0.5980392156862745
34	NC_003888.3	4890000	4895000	4892500	1.5576	0.462	3	246.8	5	SC_RS24530	cytochrome c biogenesis protein ResB	358	1	1	621309	act	0.39215686274509803	0.7990196078431373	0.5955882352941176
35	NC_003888.3	4420000	4425000	4422500	2.0465	0.4787	2	169.9	6	SC_RS22245	TetR/AcrR family transcriptional regulator	600	1	1	820180	cda	0.8529411764705882	0.3333333333333333	0.5931372549019608
36	NC_003888.3	4375000	4380000	4377500	2.0329	0.7379	2	164.9	5	SC_RS22015	ATP-binding protein	324	1	1	775180	cda	0.8431372549019608	0.3333333333333333	0.5882352941176471
37	NC_003888.3	4400000	4405000	4402500	2.0192	0.7842	2	179.7	4	SC_RS22150	TetR family transcriptional regulator	532	1	1	800180	cda	0.8333333333333334	0.3333333333333333	0.5833333333333334
38	NC_003888.3	3705000	3710000	3707500	1.5309	0.0489	3	232.4	5	SC_RS18865	hypothetical protein	306	1	1	105180	cda	0.35294117647058826	0.7990196078431373	0.5759803921568628
39	NC_003888.3	4135000	4140000	4137500	2.0012	0.4007	2	153.3	3	SC_RS20940	hemolysin family protein	725	1	1	535180	cda	0.8137254901960784	0.3333333333333333	0.5735294117647058
40	NC_003888.3	4895000	4900000	4897500	1.5274	0.4157	3	228.3	6	SC_RS24545	MerR family transcriptional regulator	347	1	1	616309	act	0.3333333333333333	0.7990196078431373	0.5661764705882353
41	NC_003888.3	4145000	4150000	4147500	1.9415	0.1591	2	169.8	5	SC_RS20985	LysR family transcriptional regulator	43	1	1	545180	cda	0.7941176470588235	0.3333333333333333	0.5637254901960784
42	NC_003888.3	3440000	3445000	3442500	1.5265	0.7621	3	226.4	4	SC_RS17830	helix-turn-helix transcriptional regulator	139	1	1	76949	cda	0.3235294117647059	0.7990196078431373	0.5612745098039216
43	NC_003888.3	4120000	4125000	4122500	1.9355	0.5564	2	163.7	5	SC_RS20885	ABC transporter ATP-binding protein	191	1	1	520180	cda	0.7843137254901961	0.3333333333333333	0.5588235294117647
44	NC_003888.3	6015000	6020000	6017500	1.5212	0.8367	3	269.2	6	SC_RS29800	branched-chain amino acid aminotransferase	389	1	1	415312	red	0.3137254901960784	0.7990196078431373	0.5563725490196079
45	NC_003888.3	3345000	3350000	3347500	1.8351	0.3805	2	174.6	6	SC_RS17380	FG-GAP-like repeat-containing protein	621	1	1	171949	cda	0.7647058823529411	0.3333333333333333	0.5490196078431372
46	NC_003888.3	4630000	4635000	4632500	1.7869	0.4536	2	155.8	7	SC_RS23325	phosphate signaling complex protein PhoU	139	1	1	881309	act	0.7549019607843137	0.3333333333333333	0.5441176470588235
47	NC_003888.3	4505000	4510000	4507500	1.7772	-0.2668	2	118.3	6	SC_RS22710	M23 family metallopeptidase	354	1	1	905180	cda	0.7450980392156863	0.3333333333333333	0.5392156862745098
48	NC_003888.3	4660000	4665000	4662500	1.708	0.0968	2	182.2	5	SC_RS23455	phage tail sheath subtilisin-like domain-containing protein	383	1	1	851309	act	0.7156862745098039	0.3333333333333333	0.5245098039215687
49	NC_003888.3	3480000	3485000	3482500	1.466	0.7991	3	243.1	6	SC_RS18000	divisome protein SepX/GlpR	102	1	1	36949	cda	0.23529411764705882	0.7990196078431373	0.5171568627450981
50	NC_003888.3	4020000	4025000	4022500	1.7009	0.3975	2	183.6	5	SC_RS20360	alpha/beta hydrolase	216	1	1	420180	cda	0.6862745098039216	0.3333333333333333	0.5098039215686274
51	NC_003888.3	3690000	3695000	3692500	1.4609	0.3748	3	255.9	5	SC_RS18795	GlxA family transcriptional regulator	341	1	1	90180	cda	0.19607843137254902	0.7990196078431373	0.49754901960784315
52	NC_003888.3	3985000	3990000	3987500	1.6726	0.2163	2	174.0	5	SC_RS20180	NAD(P)-binding protein	580	1	1	385180	cda	0.6568627450980392	0.3333333333333333	0.4950980392156863
53	NC_003888.3	4725000	4730000	4727500	1.4589	0.1134	3	232.9	6	SC_RS23765	HelD family protein	756	1	1	786309	act	0.18627450980392157	0.7990196078431373	0.49264705882352944
54	NC_003888.3	4000000	4005000	4002500	1.6724	0.2496	2	171.6	6	SC_RS20245	aspartate aminotransferase family protein	157	1	1	400180	cda	0.6470588235294118	0.3333333333333333	0.4901960784313726
