locus_tag	gene_name	old_locus_tag	tf_family	annotation	region	log2FC	padj	methyl_change_combined	delta_GCCGGC_pct	delta_AAGCCCG_pct	delta_6mA_pct	temporal_pattern	coordination_T2	category_A_codirected	category_B_largeMethyl	category_C_largeLFC	category	protein_id	product_gbk	protein_length
SC_RS40740		SCO7711	Sensor kinase	sensor histidine kinase	arm	3.323752560787572	5.540295728720464e-31	1.6763	83.815			T2T3_up	discordant_gain_up	True	True	True	A,B,C	WP_011031846.1	sensor histidine kinase	509
SC_RS38475		SCO7252	Other regulatory	DNA-binding protein NsdB	arm	9.530292574912137	1.8903837971568821e-252	0.9231	92.31			T2T3_up	discordant_gain_up	True	True	True	A,B,C	WP_011031543.1	DNA-binding protein NsdB	502
SC_RS08090		SCO1227	HTH (other)	helix-turn-helix transcriptional regulator	arm	4.8574849580221	1.0504968452721195e-39	0.8776		87.76		T2T3_up	discordant_gain_up	True	True	True	A,B,C	WP_234328640.1	helix-turn-helix transcriptional regulator	473
SC_RS17795		SCO3134	Response regulator	response regulator transcription factor	core	3.862293400136804	1.104230837631596e-70	0.5996		7.390000000000001	52.57	T2T3_up	discordant_gain_up	True	True	True	A,B,C	WP_016326434.1	response regulator transcription factor	259
SC_RS07750		SCO1160	Sensor kinase	sensor histidine kinase	arm	7.895713314069832	6.685778908988326e-80	0.5153			51.53	T2T3_up	ambiguous	True	True	True	A,B,C	WP_011027618.1	sensor histidine kinase	862
SC_RS35610	ramR	SCO6685	Response regulator	two-component system response regulator RamR	arm	8.847923903643316	3.332752738380108e-11	0.4583999999999998			-9.290000000000006	T2T3_up	ambiguous	True	True	True	A,B,C	WP_011031103.1	two-component system response regulator RamR	202
SC_RS27300		SCO5027	HTH (other)	winged helix DNA-binding domain-containing protein	core	-2.0816956167144225	2.2933528337691613e-13	-0.1554999999999999		-7.774999999999999		T2T3_down	ambiguous	True	True	True	A,B,C	WP_011030012.1	winged helix DNA-binding domain-containing protein	397
SC_RS32025		SCO5956	TetR	TetR/AcrR family transcriptional regulator	core	-2.276955921465654	5.0560369061422746e-11	-0.2187000000000001		-10.935000000000002		T2T3_down	ambiguous	True	True	True	A,B,C	WP_003973067.1	TetR/AcrR family transcriptional regulator	215
SC_RS13145		SCO2223	TetR	TetR/AcrR family transcriptional regulator	core	-2.7985256796387907	1.4619202996223605e-21	-0.5136			-51.36	T2T3_down	discordant_loss_down	True	True	True	A,B,C	WP_003976592.1	TetR/AcrR family transcriptional regulator	230
SC_RS22780		SCO4122	MarR	MarR family winged helix-turn-helix transcriptional regulator	core	-3.862409740149491	2.6804264118874064e-83	-0.6448			-6.5049999999999955	T2T3_down	discordant_loss_down	True	True	True	A,B,C	WP_003974850.1	MarR family winged helix-turn-helix transcriptional regulator	182
SC_RS38610		SCO7279	HTH (other)	helix-turn-helix domain-containing protein	arm	1.459130272910083	1.8372545252536231e-09	1.1946		65.59	53.87	T2T3_up	discordant_gain_up	True	True	False	A,B	WP_011031561.1	helix-turn-helix domain-containing protein	157
SC_RS02455		SCO0089	LysR	LysR family transcriptional regulator	arm	1.996267814330596	1.1875814630760875e-14	0.7856000000000001	78.56			T2T3_up	discordant_gain_up	True	True	False	A,B	WP_161270433.1	LysR family transcriptional regulator	325
SC_RS38785		SCO7314	Sigma factor	SigB/SigF/SigG family RNA polymerase sigma factor	arm	1.9106358305601812	6.405123198255962e-10	0.7639	76.39			T2T3_up	ambiguous	True	True	False	A,B	WP_011031582.1	SigB/SigF/SigG family RNA polymerase sigma factor	299
SC_RS36220			HTH (other)	helix-turn-helix transcriptional regulator	arm	1.7717150262982868	0.0106912764751931	0.6209			62.09	T2T3_up	discordant_gain_up	True	True	False	A,B	WP_237530443.1	helix-turn-helix transcriptional regulator	109
SC_RS06310		SCO0877	HTH (other)	helix-turn-helix transcriptional regulator	arm	1.6553679271158672	3.922442782716455e-21	0.5313			53.13	T2_up	discordant_gain_up	True	True	False	A,B	WP_003977982.1	helix-turn-helix transcriptional regulator	888
SC_RS29350	tcrA	SCO5433	Other regulatory	AfsR-like transcriptional regulator TcrA	core	1.1870150801249613	3.0865283741764397e-06	0.5193			51.93	T2T3_up	discordant_gain_up	True	True	False	A,B	WP_011030244.1	AfsR-like transcriptional regulator TcrA	761
SC_RS13965	fasR	SCO2386	Other regulatory	fatty acid biosynthesis transcriptional regulator FasR	core	-1.3096522610330428	3.848248885630113e-15	-0.1829		-6.096666666666657		T2T3_down	ambiguous	True	True	False	A,B	WP_011028321.1	fatty acid biosynthesis transcriptional regulator FasR	401
SC_RS16855		SCO2950	Other regulatory	HU family DNA-binding protein	core	-1.6613775957407972	2.9831552655051355e-14	-0.507		-50.7		T2T3_down	discordant_loss_down	True	True	False	A,B	WP_003950507.1	HU family DNA-binding protein	93
SC_RS25370		SCO4639	TetR	TetR/AcrR family transcriptional regulator	core	-1.2374927770659256	2.953020559404361e-08	-0.5498			-54.98	T2T3_down	discordant_loss_down	True	True	False	A,B	WP_003974324.1	TetR/AcrR family transcriptional regulator	201
SC_RS33745		SCO6299	TetR	TetR/AcrR family transcriptional regulator	core	-1.4625627834801054	3.995221205154786e-07	-0.5657			-56.57	T2_down	discordant_loss_down	True	True	False	A,B	WP_011030806.1	TetR/AcrR family transcriptional regulator	285
