locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_exposed	baseMean	log2_baseMean_p1	nearest_methyl_distance	n_methyl_sites_2kb	gene_length	LFC_T2vsT1	LFC_T3vsT1
SC_RS22980			LacI family DNA-binding transcriptional regulator	LacI	4575112	4576134	-	4576134	protein_coding	1	1108.0084647456797	10.11505466188399	172	4	1023	-0.0261795784401953	-1.386678225928751
SC_RS22780			MarR family winged helix-turn-helix transcriptional regulator	MarR	4529468	4530016	+	4529468	protein_coding	1	473.2408541558487	8.889476140973454	207	5	549	-3.79957961958281	-3.5392565751456435
SC_RS06310			helix-turn-helix transcriptional regulator	LuxR	922247	924913	+	922247	protein_coding	1	654.9005041217672	9.357333173677873	170	2	2667	1.688781934919955	0.3646558250554286
SC_RS07910			MarR family winged helix-turn-helix transcriptional regulator	MarR	1264183	1264656	-	1264654	protein_coding	1	80.8842431031643	6.355513957205786	108	4	474	-2.8247283435391974	-2.1045634810451976
SC_RS25990			LysR family transcriptional regulator	LysR	5178021	5178941	+	5178021	protein_coding	1	179.0115674051012	7.491945805783993	207	3	921	-0.5614154947959401	-1.193490472610386
SC_RS35195			TetR/AcrR family transcriptional regulator	TetR	7319193	7319846	-	7319960	protein_coding	1	108.071206160425	6.769126482891109	122	2	654	-1.5315166238060172	-1.5502641674059274
SC_RS38785			SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	8120541	8121440	+	8120403	protein_coding	1	72.93538087547012	6.208193008628707	71	5	900	1.9292968279677385	1.4941315998411235
SC_RS39260			LacI family DNA-binding transcriptional regulator	LacI	8225904	8226962	+	8225429	protein_coding	1	49.32886052421125	5.653314029605167	318	1	1059	0.6752788836681285	1.1268958401806786
SC_RS17795			response regulator transcription factor	LuxR	3434985	3435764	-	3435935	protein_coding	1	877.3770107838754	9.778696485850402	102	3	780	3.4047840224669184	3.160115290808316
SC_RS22135			SigE family RNA polymerase sigma factor	Sigma factor	4397767	4398372	+	4397767	protein_coding	1	473.0048265831937	8.888757939303714	52	4	606	0.2650411061157262	3.231774411787676
SC_RS37910			ATP-binding protein	LuxR	7929510	7932251	-	7932265	protein_coding	1	1294.457727391556	10.339246223779018	48	3	2742	0.652518858032593	-0.0697866123175507
