tss_id,tss_position,strand,abundance,category,sco_gene,reference,gene_id
TSS-0001,23276,+,15,P,SCO0026,,SC_RS02180
TSS-0002,30401,-,6,P,SCO0036,,
TSS-0003,31295,-,2,P,SCO0038,Vockenhuber et al. and Romero et al.,
TSS-0004,32223,-,4,A,SCO0040,,SC_RS02230
TSS-0005,41082,-,18,P,SCO0051,,
TSS-0006,43682,-,12,P,SCO0055,,SC_RS02290
TSS-0007,44252,+,16,P,SCO0058,Romero et al.,
TSS-0008,45217,-,5,N,,Romero et al.,
TSS-0009,46684,+,106,A,SCO0061,,SC_RS02320
TSS-0010,49113,-,10,P,SCO0062,,SC_RS02325
TSS-0011,61600,-,39,I,SCO0072,,SC_RS02380
TSS-0012,64143,-,2,P,SCO0072,,SC_RS02380
TSS-0013,64442,+,23,P,SCO0073,,SC_RS02385
TSS-0014,64987,+,4,P,SCO0074,,
TSS-0015,66543,+,4,N,,Romero et al.,
TSS-0016,68422,+,3,P,SCO0080,,SC_RS02410
TSS-0017,70905,-,11,A,SCO0084,,SC_RS02425
TSS-0018,76246,-,5,P,SCO0088,,SC_RS02450
TSS-0019,81225,-,80,P,SCO0097,,SC_RS02480
TSS-0020,81310,-,5,S,SCO0097,,SC_RS02480
TSS-0021,81494,-,4,S,SCO0097,,SC_RS02480
TSS-0022,84235,-,34,P,SCO0101,,SC_RS02495
TSS-0023,85545,-,63,A,SCO0103,,SC_RS02500
TSS-0024,85637,-,13,A,SCO0103,,SC_RS02500
TSS-0025,89092,+,8,P,SCO0106,,SC_RS02515
TSS-0026,94899,-,9,P,SCO0116,,SC_RS02550
TSS-0027,99996,-,2,S,SCO0121,,SC_RS02575
TSS-0028,100401,-,22,P,SCO0121,,SC_RS02575
TSS-0029,100707,-,28,A,SCO0122,,SC_RS02580
TSS-0030,122730,+,5,P,SCO0132,Romero et al.,SC_RS02625
TSS-0031,130871,+,10,A,SCO0137,,SC_RS02645
TSS-0032,131066,-,47,P,SCO0137,,SC_RS02645
TSS-0033,136100,-,24,P,SCO0142,,SC_RS02670
TSS-0034,137842,+,46,I,SCO0145,,SC_RS02690
TSS-0035,158768,+,39,P,SCO0168,Romero et al.,SC_RS02785
TSS-0036,161094,-,58,P,SCO0170,Romero et al.,SC_RS02800
TSS-0037,164961,-,9,P,SCO0174,Romero et al.,SC_RS02820
TSS-0038,166860,+,37,P,SCO0178,,
TSS-0039,168615,-,48,P,SCO0179,Romero et al.,SC_RS02845
TSS-0040,173768,+,10,P,SCO0185,Romero et al.,SC_RS02875
TSS-0041,184865,+,576,P,SCO0194,Romero et al.,SC_RS02920
TSS-0042,187501,-,3,P,SCO0197,,SC_RS02935
TSS-0043,189378,-,9,I,SCO0199,,SC_RS02945
TSS-0044,190994,-,4,P,SCO0200,,SC_RS02950
TSS-0045,191652,-,18,P,SCO0201,Romero et al.,SC_RS02955
TSS-0046,195490,-,17,P,SCO0204,Vockenhuber et al. and Romero et al.,SC_RS02970
TSS-0047,197191,+,4,P,SCO0208,Romero et al.,SC_RS02985
TSS-0048,202979,-,13,P,SCO0212,,SC_RS03005
TSS-0049,204182,-,7,P,SCO0213,,SC_RS03010
TSS-0050,213498,+,5,P,SCO0220,,SC_RS03045
TSS-0051,214913,+,734,P,SCO0222,,SC_RS03055
TSS-0052,216844,-,54,P,SCO0224,,SC_RS03060
TSS-0053,218036,-,136,P,SCO0226,,SC_RS03065
TSS-0054,221364,-,109,P,SCO0231,,SC_RS03085
TSS-0055,222571,-,3,P,SCO0233,,SC_RS03095
TSS-0056,228186,-,5,P,SCO0239,,SC_RS03125
TSS-0057,229931,-,23,P,SCO0240,,SC_RS03130
TSS-0058,229995,+,5,P,SCO0241,,SC_RS03135
TSS-0059,230959,+,2,P,SCO0242,Romero et al.,SC_RS03140
TSS-0060,236515,-,48,P,SCO0246,,SC_RS03160
TSS-0061,236539,+,2777,P,SCO0247,Vockenhuber et al.,SC_RS03165
TSS-0062,242194,+,21,P,SCO0253,,SC_RS03185
TSS-0063,249635,+,160,P,SCO0260,,SC_RS03220
TSS-0064,250805,+,11,P,SCO0262,,SC_RS03230
TSS-0065,252917,-,11,P,SCO0263,,SC_RS03235
TSS-0066,252920,+,2,P,SCO0264,,SC_RS03240
TSS-0067,253474,+,5,P,SCO0265,,SC_RS03245
TSS-0068,262320,-,9,N,,,
TSS-0069,269688,-,11,P,SCO0277,,SC_RS03305
TSS-0070,269783,+,3,P,SCO0278,,SC_RS03310
TSS-0071,272835,+,8,P,SCO0282,,SC_RS03330
TSS-0072,279597,+,6,P,SCO0287,,SC_RS03355
TSS-0073,284098,-,31,A,SCO0291,,SC_RS03375
TSS-0074,285376,-,19,A,SCO0292,,SC_RS03380
TSS-0075,291743,-,4,A,SCO0297,,SC_RS03405
TSS-0076,293519,-,51,P,SCO0298,Vockenhuber et al. and Romero et al.,SC_RS03410
TSS-0077,296397,-,3,P,SCO0300,,SC_RS03420
TSS-0078,298790,+,10,P,SCO0305,,SC_RS03440
TSS-0079,307492,-,3,P,SCO0310,,SC_RS03465
TSS-0080,328297,+,6,P,SCO0326,,SC_RS03550
TSS-0081,330179,+,29,P,SCO0329,,SC_RS03560
TSS-0082,340697,-,16,P,SCO0336,,SC_RS03595
TSS-0083,340752,+,45,P,SCO0337,,SC_RS03600
TSS-0084,362600,+,9,P,SCO0358,,SC_RS03700
TSS-0085,387574,+,5,P,SCO0374,,SC_RS03780
TSS-0086,391241,+,9,P,SCO0376,,SC_RS03790
TSS-0087,391704,-,18,A,SCO0376,,SC_RS03790
TSS-0088,393471,+,15,P,SCO0379,Romero et al.,SC_RS03805
TSS-0089,395702,+,21,P,SCO0381,Vockenhuber et al. and Romero et al.,SC_RS03815
TSS-0090,424507,-,3,P,SCO0402,Romero et al.,SC_RS03920
TSS-0091,426833,-,6,P,SCO0405,,SC_RS03935
TSS-0092,427610,+,33,P,SCO0407,Romero et al.,SC_RS03945
TSS-0093,428657,+,27,P,SCO0408,,SC_RS03950
TSS-0094,431312,+,9,P,SCO0411,,SC_RS03965
TSS-0095,432612,-,43,P,SCO0413,Romero et al.,SC_RS03975
TSS-0096,433679,-,48,P,SCO0414,Romero et al.,SC_RS03980
TSS-0097,438289,-,5,P,SCO0420,,SC_RS04010
TSS-0098,440805,+,95,A,SCO0423,,SC_RS04025
TSS-0099,444441,+,3,P,SCO0426,,SC_RS04040
TSS-0100,447193,+,58,P,SCO0430,,SC_RS04060
TSS-0101,453340,+,2,P,SCO0433,,SC_RS04075
TSS-0102,461153,-,8,P,SCO0440,,SC_RS04110
TSS-0103,461350,+,10,P,SCO0441,,SC_RS04115
TSS-0104,465990,+,4,P,SCO0447,,SC_RS04145
TSS-0105,471264,-,3,P,SCO0451,Romero et al.,SC_RS04170
TSS-0106,474868,-,93,A,SCO0455,,SC_RS04190
TSS-0107,480973,+,16,P,SCO0459,,SC_RS04210
TSS-0108,482348,-,3,P,SCO0460,,SC_RS04215
TSS-0109,487546,-,6,P,SCO0465,,SC_RS04240
TSS-0110,490414,-,25,P,SCO0468,,SC_RS04255
TSS-0111,492858,+,9,I,SCO0471,Romero et al.,SC_RS04270
TSS-0112,497359,-,434,P,SCO0475,,SC_RS04290
TSS-0113,497384,+,10,P,SCO0476,,SC_RS04295
TSS-0114,501511,+,5,P,SCO0481,,SC_RS04325
TSS-0115,505267,+,2,I,SCO0485,,SC_RS04345
TSS-0116,510997,-,4,P,SCO0489,,SC_RS04365
TSS-0117,511074,+,16,P,SCO0490,,SC_RS04370
TSS-0118,511075,-,3,S,SCO0489,,SC_RS04365
TSS-0119,527873,-,110,P,SCO0494,,SC_RS04390
TSS-0120,528775,-,3,P,SCO0495,,SC_RS04395
TSS-0121,532356,-,68,P,SCO0498,,SC_RS04410
TSS-0122,532374,+,339,S,SCO0499,,SC_RS04415
TSS-0123,532473,+,607,P,SCO0499,,SC_RS04415
TSS-0124,533799,-,292,P,SCO0500,Romero et al.,SC_RS04420
TSS-0125,537545,+,25,P,SCO0504,Vockenhuber et al. and Romero et al.,SC_RS04440
TSS-0126,539051,+,3,P,SCO0505,,SC_RS04445
TSS-0127,542235,+,54,P,SCO0506,,SC_RS04450
TSS-0128,544141,+,23,P,SCO0509,,SC_RS04465
TSS-0129,547809,+,75,P,SCO0513,Romero et al.,SC_RS04485
TSS-0130,553892,+,15,P,SCO0521,,SC_RS04520
TSS-0131,555961,+,33,P,SCO0524,,SC_RS04535
TSS-0132,556992,+,29,P,SCO0525,,SC_RS04540
TSS-0133,559144,-,2928,P,SCO0527,Vockenhuber et al. and Romero et al.,SC_RS04550
TSS-0134,565833,-,7,A,SCO0533,,SC_RS04580
TSS-0135,569516,+,3,P,SCO0537,,SC_RS04600
TSS-0136,578063,+,11,P,SCO0543,,SC_RS04630
TSS-0137,586925,-,11,P,SCO0546,,SC_RS04645
TSS-0138,592995,-,10,P,SCO0552,,SC_RS04675
TSS-0139,594466,+,50,A,SCO0554,,SC_RS04690
TSS-0140,598727,+,3,P,SCO0557,Romero et al.,SC_RS04705
TSS-0141,599978,-,18,P,SCO0558,,SC_RS04710
TSS-0142,603840,-,7,P,SCO0561,Romero et al.,SC_RS04725
TSS-0143,606604,-,13,P,SCO0563,,SC_RS04735
TSS-0144,612374,-,124,P,SCO0570,,SC_RS04775
TSS-0145,614175,+,29,A,SCO0572,,SC_RS04785
