locus_tag	gene_name	old_locus_tag	product	tf_family	tss	strand	region	n_AAGCCCG_T1	n_AAGCCCG_T2	n_AAGCCCG_lost	n_AAGCCCG_gained	AAGCCCG_status	AAGCCCG_T1_positions	AAGCCCG_T2_positions	n_GCCGGC_T1	n_GCCGGC_T2	n_GCCGGC_T3	n_GCCGGC_lost	n_GCCGGC_maintained	GCCGGC_status	LFC_T2vsT1	LFC_T3vsT1	padj_T2	padj_T3	baseMean	coordination_T2	coordination_T3	temporal_pattern	LFC_T3vsT2
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	75916	+	arm	0	0	0	0	Never			0	1	0	0	0	Gained	1.996267814330596	1.4151139437264222	1.1875814630760875e-14	4.047469838684222e-08	81.1002646621728	discordant_gain_up	discordant_gain_up	T2T3_up	-0.5811538706041739
SC_RS03250		SCO0266	helix-turn-helix domain-containing protein	HTH (other)	255198	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	0.8492831427730276	1.8138026166426493	0.0761919609304948	0.0001192697524131	18.653917463418782	methyl_change_no_expr_change	concordant_derepression	T3_up	0.9645194738696217
SC_RS04270		SCO0471	helix-turn-helix domain-containing protein	HTH (other)	491901	+	arm	0	0	0	0	Never			0	0	0	0	0	Never	1.526311821195577	2.150294020513286	1.2402162782138632e-05	1.7432049136714115e-10	41.14534304658805	concordant_derepression	ambiguous	T2T3_up	0.6239821993177088
SC_RS05075		SCO0632	sigma-70 family RNA polymerase sigma factor	Sigma factor	673733	+	arm	0	0	0	0	Never			0	0	0	0	0	Never	0.0641306457114918	1.5296542367865764	0.9094625049096164	0.0020928281790021	11.213456582842538	methyl_change_no_expr_change	discordant_gain_up	T3_up	1.4655235910750846
SC_RS05485		SCO0712	helix-turn-helix transcriptional regulator	HTH (other)	756143	-	arm	0	0	0	0	Never			0	1	0	0	0	Gained	-1.092554429792889	2.499640246635073	0.0335251373144556	1.647101613805465e-09	31.54505652922419	concordant_repression	discordant_gain_up	T2_down_T3_up	3.592194676427962
SC_RS06045		SCO0823	GntR family transcriptional regulator	GntR	872193	+	arm	0	0	0	0	Never			0	0	0	0	0	Never	-1.3086139961011785	-1.1500230272906309	3.2905704431435153e-06	1.496924088724813e-05	62.03368146902139	ambiguous	concordant_repression	T2T3_down	0.15859096881054757
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	922247	+	arm	0	0	0	0	Never			0	0	0	0	0	Never	1.6553679271158672	0.4744709027952047	3.922442782716455e-21	0.0076794949314642	556.2178682913741	discordant_gain_up	methyl_change_no_expr_change	T2_up	-1.1808970243206625
SC_RS06430		SCO0897	PPC domain-containing DNA-binding protein	Other regulatory	943408	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	1.0725951660655857	1.956663306729379	0.0157850735216154	5.749117375339759e-06	21.784333895935234	concordant_derepression	ambiguous	T2T3_up	0.8840681406637934
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	1063185	+	arm	0	0	0	0	Never			0	0	0	0	0	Never	0.0924621478190691	-1.1975473018234468	0.7011306550014702	4.0473301064871396e-08	216.13347473910852	methyl_change_no_expr_change	concordant_repression	T3_down	-1.2900094496425158
SC_RS07215		SCO1052	helix-turn-helix domain-containing protein	HTH (other)	1108778	-	arm	0	0	0	0	Never			1	0	0	1	0	Lost	-0.4278173498979656	3.667213510345267	0.4869021347174306	5.0651250908907485e-06	9.372650156199088	methyl_change_no_expr_change	concordant_derepression	T3_up	4.095030860243233
