locus_tag,product,start,end,strand,category,predicted_methyl_type,SCO_id,log2FC_T2vsT1,padj_T2vsT1,log2FC_T3vsT1,padj_T3vsT1,log2FC_T3vsT2,padj_T3vsT2
SC_RS03950,class I SAM-dependent DNA methyltransferase,428657,429403,+,DNA_methyltransferase,Unknown,SCO03950,0.2876900888276954,0.2138621159283766,-0.3371318788994072,0.1247364995765593,-0.6275352952420253,0.0046616366764249
SC_RS06675,Fpg/Nei family DNA glycosylase,990249,991112,-,DNA_methyltransferase,6mA,SCO06675,1.847971024543862,1.1649916813416757e-12,1.501191306605207,3.857801931955849e-09,-0.3300599719080428,0.1628512227243994
SC_RS10595,type ISP restriction/modification enzyme,1837908,1839068,+,DNA_methyltransferase,Unknown,SCO10595,0.1439066852502724,0.5094398960617662,0.0980292464279023,0.6219453619394716,-0.0437218433104663,0.8394231760893388
SC_RS10700,DNA polymerase Y family protein,1855022,1855990,-,DNA_methyltransferase,6mA,SCO10700,0.319928286176791,0.281147869533231,0.4723856302746683,0.0822587668726004,0.1495030699822765,0.6106742341119277
SC_RS10810,(d)CMP kinase,1881032,1881727,-,DNA_methyltransferase,4mC/5mC,SCO10810,-1.5449081862774332,2.2522106361521178e-15,-2.6729580294978814,1.4447185659949918e-41,-1.096255769848523,1.4557497478715501e-07
SC_RS15210,Fpg/Nei family DNA glycosylase,2853163,2854005,-,DNA_methyltransferase,6mA,SCO15210,-0.5208741652704609,0.0071395203274083,-1.145272849584147,9.406059340114283e-10,-0.6135104490293725,0.0019275877017279
SC_RS17645,N-6 DNA methylase,3399763,3401802,-,DNA_methyltransferase,Unknown,SCO17645,-2.1949101667317077,6.480003319855991e-16,-0.7108321220350501,0.0033279494835819,1.4466158422772828,1.4806279563501858e-07
SC_RS17670,transcription-repair coupling factor,3404759,3408313,-,DNA_methyltransferase,6mA,SCO17670,-0.3256079258555034,0.0366592637333631,-1.079052480924651,4.436730741170686e-13,-0.7485784362192711,1.0909806526846285e-06
SC_RS18875,DNA repair protein RadA,3710688,3712097,+,DNA_methyltransferase,6mA,SCO18875,-2.5109197817683673,7.167115342541046e-56,-2.914909990931809,1.616582847453736e-75,-0.3920222060190853,0.0197804875356241
SC_RS19670,DNA-methyltransferase,3878757,3879503,-,DNA_methyltransferase,Unknown,SCO19670,-0.2147403496791498,0.7177675481917571,3.507711563598379,1.6497012649800672e-09,3.814166852826032,1.5751486105800145e-08
SC_RS19765,DNA cytosine methyltransferase,3896019,3896120,+,DNA_methyltransferase,4mC/5mC,SCO19765,,,,,,
SC_RS19770,DNA cytosine methyltransferase,3896173,3897147,+,DNA_methyltransferase,4mC/5mC,SCO19770,-0.9363197076367706,0.1028197302734883,2.3187830633925195,9.469011984056453e-06,3.541160597055142,4.460265214374846e-08
SC_RS24685,class I SAM-dependent DNA methyltransferase,4924984,4925628,-,DNA_methyltransferase,Unknown,SCO24685,-3.224755298890623,5.003945484191258e-36,-2.2454980649327156,7.074570094246949e-25,0.9388947031013284,0.00046202863985864097
SC_RS28835,BREX-2 system adenine-specific DNA-methyltransferase PglX,5801998,5805600,-,DNA_methyltransferase,6mA,SCO28835,-0.6011302090439018,0.0001596759695177656,-0.6456827690845612,2.6219067285931795e-05,-0.0440815161739505,0.805799120704202
SC_RS30080,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,6070914,6071774,+,DNA_methyltransferase,6mA,SCO30080,-1.67074190580727,1.7255859978690877e-14,-1.4997574113221457,2.1855520138741002e-13,0.1674663507233277,0.4854320922668815
SC_RS31030,Fpg/Nei family DNA glycosylase,6295344,6296174,-,DNA_methyltransferase,6mA,SCO31030,0.3335521986557205,0.1397779492385497,0.2852217582482108,0.1760262354242128,-0.0486716882335917,0.8340474521613832
SC_RS32600,damage-control phosphatase ARMT1 family protein,6664852,6666069,+,DNA_methyltransferase,6mA,SCO32600,0.3345005649565216,0.2471723497874537,0.5791317884499463,0.02894471633641,0.2401655072022067,0.3913613684428478
SC_RS35335,BREX-2 system adenine-specific DNA-methyltransferase PglX,7353207,7356839,+,DNA_methyltransferase,6mA,SCO35335,0.2500055876122167,0.1668019524224547,-0.751784818258908,8.988448493305942e-06,-1.0054522776769113,5.905334920284861e-09
SC_RS36410,DNA cytosine methyltransferase,7617112,7618383,-,DNA_methyltransferase,4mC/5mC,SCO36410,1.0602099853735696,0.1161292455338988,5.335326573275776,1.0309769424971741e-10,3.755493930957551,2.108974347046756e-09
SC_RS36625,DNA-methyltransferase,7654146,7654901,+,DNA_methyltransferase,Unknown,SCO36625,0.3076249646559623,0.6051590093004695,3.871154218568336,6.520141981844974e-09,3.3621450526537804,2.3837626844166978e-07
SC_RS00155,DNA polymerase Y family protein,30246,31238,-,DNA_methyltransferase,6mA,SCO00155,,,,,,
SC_RS01710,DNA polymerase Y family protein,324786,325778,+,DNA_methyltransferase,6mA,SCO01710,,,,,,
