start	strand	21839	m
650	-	0.0	0.0
922	-	0.0	0.0
1993	-	0.0	0.0
2712	-	0.0	0.0
3847	-	0.0	0.0
4530	-	0.0	0.0
4924	-	0.0	0.0
5407	-	0.0	0.0
6102	+	0.0	0.0
6103	-	0.0	0.0
6873	-	0.0	0.0
6997	+	0.0	0.0
6998	-	0.0	0.0
7661	+	0.0	0.0
7662	-	0.0	0.0
8023	+	0.0	0.0
8024	-	0.0	0.0
8436	+	0.0	0.0
9249	-	0.0	0.0
9335	-	0.0	0.0
9839	+	0.0	0.0
9840	-	0.0	0.0
10016	+	0.0	0.0
10017	-	0.0	0.0
10073	+	0.0	0.0
10074	-	0.0	0.0
10236	-	0.0	0.0
12186	-	0.0	0.0
13320	+	0.0	0.0
13321	-	0.0	0.0
13549	+	0.0	0.0
13550	-	0.0	0.0
13902	+	0.0	0.0
13903	-	0.0	0.0
14697	+	0.0	0.0
14698	-	0.0	0.0
14731	+	0.0	0.0
14732	-	0.0	0.0
15021	+	0.0	0.0
15022	-	0.0	0.0
15486	+	0.0	0.0
15487	-	0.0	0.0
16383	+	0.0	0.0
16384	-	0.0	0.0
16446	+	0.0	0.0
16447	-	0.0	0.0
16862	+	0.0	0.0
16863	-	0.0	0.0
17386	+	0.0	0.0
17387	-	0.0	0.0
17498	+	0.0	0.0
17499	-	0.0	0.0
17751	+	0.0	0.0
17752	-	0.0	0.0
17767	+	0.0	0.0
17768	-	0.0	0.0
17991	+	0.0	0.0
17992	-	0.0	0.0
18035	+	0.0	0.0
18036	-	0.0	0.0
18570	+	0.0	0.0
18571	-	0.0	0.0
18759	+	0.0	0.0
19848	+	0.0	0.0
19849	-	0.0	0.0
20126	+	0.0	0.0
20127	-	0.0	0.0
20185	+	0.0	0.0
20186	-	0.0	0.0
20653	+	0.0	0.0
20654	-	0.0	0.0
21532	+	0.0	0.0
21533	-	0.0	0.0
22074	+	0.0	0.0
22075	-	0.0	0.0
22252	+	0.0	0.0
22253	-	0.0	0.0
22484	+	0.0	0.0
22485	-	0.0	0.0
22510	+	0.0	0.0
22511	-	0.0	0.0
22977	-	0.0	0.0
23899	+	0.0	0.0
23900	-	0.0	0.0
24772	+	0.0	0.0
24773	-	0.0	0.0
24927	+	0.0	0.0
24928	-	0.0	0.0
24952	+	0.0	0.0
24953	-	0.0	0.0
25668	+	0.0	0.0
25669	-	0.0	0.0
26324	+	0.0	0.0
26325	-	0.0	0.0
27016	+	0.0	0.0
27017	-	0.0	0.0
27131	+	0.0	0.0
27132	-	0.0	0.0
27512	+	0.0	0.0
27513	-	0.0	0.0
28090	-	0.0	0.0
28124	+	0.0	0.0
28125	-	0.0	0.0
28139	+	0.0	0.0
28140	-	0.0	0.0
28197	-	0.0	0.0
30201	+	0.0	0.0
30202	-	0.0	0.0
31379	+	0.0	0.0
31380	-	0.0	0.0
31848	+	0.0	0.0
31849	-	0.0	0.0
31938	+	0.0	0.0
31939	-	0.0	0.0
32127	+	0.0	0.0
32128	-	0.0	0.0
33485	-	0.0	0.0
33555	+	0.0	0.0
33556	-	0.0	0.0
33742	+	0.0	0.0
33743	-	0.0	0.0
33761	-	0.0	0.0
33933	+	0.0	0.0
33934	-	0.0	0.0
34318	-	0.0	0.0
34823	+	0.0	0.0
