regulator_name	regulator_sco	regulator_type	target_gene	target_sco	target_type	distance_to_tss	bs_score	bs_qvalue
SigE	SCO5147	FIMO_characterized	SC_RS09835	SCO1564	exposed_regulator	224.0	17.4592	0.0208
SigR	SCO5216	FIMO_characterized	SC_RS39850	SCO7530	exposed_regulator	316.0	10.5102	0.0427
SigR	SCO5216	FIMO_characterized	SC_RS04270	SCO0471	exposed_regulator	227.0	10.2245	0.0427
SigR	SCO5216	FIMO_characterized	SC_RS29350	SCO5433	exposed_regulator	331.0	10.2245	0.0427
SigR	SCO5216	FIMO_characterized	SC_RS29350	SCO5433	exposed_regulator	31.0	10.2245	0.0427
SigR	SCO5216	FIMO_characterized	SC_RS31385	SCO5828	exposed_regulator	39.0	10.2245	0.0427
AbrC3	SCO4596	FIMO_characterized	SC_RS05075	SCO0632	exposed_regulator	411.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS10435	SCO1684	exposed_regulator	383.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS13965	SCO2386	exposed_regulator	204.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS16855	SCO2950	exposed_regulator	78.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS16855	SCO2950	exposed_regulator	332.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS25370	SCO4639	exposed_regulator	461.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS25370	SCO4639	exposed_regulator	326.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS27300	SCO5027	exposed_regulator	348.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS29350	SCO5433	exposed_regulator	215.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS29350	SCO5433	exposed_regulator	50.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS35610	SCO6685	exposed_regulator	19.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS39850	SCO7530	exposed_regulator	300.5	15.8571	0.024
AbrC3	SCO4596	FIMO_characterized	SC_RS39850	SCO7530	exposed_regulator	175.5	15.8571	0.024
SigR	SCO5216	FIMO_characterized	SC_RS17795	SCO3134	exposed_regulator	338.0	9.93878	0.0427
SigR	SCO5216	FIMO_characterized	SC_RS22780	SCO4122	exposed_regulator	57.0	9.93878	0.0427
SigR	SCO5216	FIMO_characterized	SC_RS38785	SCO7314	exposed_regulator	23.0	9.93878	0.0427
SigR	SCO5216	FIMO_characterized	SC_RS09835	SCO1564	exposed_regulator	224.0	9.65306	0.0427
SigB	SCO0600	FIMO_characterized	SC_RS06430	SCO0897	exposed_regulator	24.0	9.11224	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS22135	SCO4005	exposed_regulator	279.0	9.11224	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS25370	SCO4639	exposed_regulator	449.0	9.11224	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS25370	SCO4639	exposed_regulator	392.0	9.11224	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS07215	SCO1052	exposed_regulator	365.0	8.82653	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS09315	SCO1468	exposed_regulator	102.0	8.82653	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS22980	SCO4158	exposed_regulator	153.0	8.82653	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS25370	SCO4639	exposed_regulator	212.0	8.82653	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS07910	SCO1191	exposed_regulator	120.0	8.54082	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS09315	SCO1468	exposed_regulator	84.0	8.54082	0.0361
