bgc_id	bgc_label	is_main4	bgc_type	known_cluster	start	end	length_kb	4mC_T1_internal	4mC_T1_flank	density_4mC_T1	density_flank_4mC_T1	4mC_T2_internal	4mC_T2_flank	density_4mC_T2	density_flank_4mC_T2	4mC_T3_internal	4mC_T3_flank	density_4mC_T3	density_flank_4mC_T3	6mA_T1_internal	6mA_T1_flank	density_6mA_T1	density_flank_6mA_T1	6mA_T2_internal	6mA_T2_flank	density_6mA_T2	density_flank_6mA_T2	6mA_T3_internal	6mA_T3_flank	density_6mA_T3	density_flank_6mA_T3
NC_003888.3_region1	leinamycin	False	hglE-KS,T1PKS	leinamycin	86693	139654	52.962	3	2	0.0566	0.2	16	6	0.3021	0.6	7	5	0.1322	0.5	11	3	0.2077	0.3	9	3	0.1699	0.3	19	4	0.3587	0.4
NC_003888.3_region2	isorenieratene	False	terpene	isorenieratene	164130	192008	27.879	2	0	0.0717	0.0	8	1	0.287	0.1	2	0	0.0717	0.0	8	2	0.287	0.2	8	2	0.287	0.2	10	1	0.3587	0.1
NC_003888.3_region3	lobophorin CR4	False	lanthipeptide-class-i	lobophorin CR4	246525	271084	24.56	1	1	0.0407	0.1	3	2	0.1221	0.2	3	1	0.1221	0.1	4	2	0.1629	0.2	3	1	0.1221	0.1	4	2	0.1629	0.2
NC_003888.3_region4	coelichelin	False	NRP-metallophore,NRPS	coelichelin	493988	552325	58.338	0	2	0.0	0.2	14	2	0.24	0.2	7	1	0.12	0.1	13	2	0.2228	0.2	15	3	0.2571	0.3	13	2	0.2228	0.2
NC_003888.3_region5	terpene-precursor	False	terpene-precursor		597850	621488	23.639	3	1	0.1269	0.1	5	7	0.2115	0.7	3	1	0.1269	0.1	7	3	0.2961	0.3	5	4	0.2115	0.4	3	3	0.1269	0.3
NC_003888.3_region6	informatipeptin	False	RiPP-like	informatipeptin	791583	801799	10.217	0	1	0.0	0.1	2	2	0.1958	0.2	0	1	0.0	0.1	3	2	0.2936	0.2	4	2	0.3915	0.2	1	2	0.0979	0.2
NC_003888.3_region7	flaviolin	False	T3PKS	flaviolin/1,3,6,8-tetrahydroxynaphthalene	1257624	1298749	41.126	7	1	0.1702	0.1	18	2	0.4377	0.2	8	1	0.1945	0.1	10	3	0.2432	0.3	10	4	0.2432	0.4	9	6	0.2188	0.6
NC_003888.3_region8	ectoine	False	ectoine	ectoine	1995499	2005898	10.4	3	2	0.2885	0.2	2	2	0.1923	0.2	2	2	0.1923	0.2	3	3	0.2885	0.3	6	2	0.5769	0.2	5	6	0.4808	0.6
NC_003888.3_region9	istamycin	False	melanin	istamycin	2939305	2949875	10.571	3	2	0.2838	0.2	3	2	0.2838	0.2	3	2	0.2838	0.2	4	0	0.3784	0.0	6	1	0.5676	0.1	4	2	0.3784	0.2
NC_003888.3_region10	desferrioxamin B	False	NI-siderophore	desferrioxamin B/desferrioxamine E	3024894	3054682	29.789	6	6	0.2014	0.6	7	5	0.235	0.5	4	2	0.1343	0.2	8	3	0.2686	0.3	8	5	0.2686	0.5	8	5	0.2686	0.5
NC_003888.3_region11	CDA	True	NRPS	CDA1b/CDA2a/CDA2b/CDA3a/CDA3b/CDA4a/CDA4b	3523334	3603988	80.655	23	7	0.2852	0.7	21	7	0.2604	0.7	11	4	0.1364	0.4	17	0	0.2108	0.0	19	0	0.2356	0.0	21	0	0.2604	0.0
NC_003888.3_region12	ACT	True	T2PKS	actinorhodin	5494929	5567424	72.496	31	4	0.4276	0.4	25	2	0.3448	0.2	14	2	0.1931	0.2	14	0	0.1931	0.0	12	1	0.1655	0.1	15	1	0.2069	0.1
NC_003888.3_region13	albaflavenone	False	terpene	albaflavenone	5671087	5692101	21.015	4	1	0.1903	0.1	4	1	0.1903	0.1	4	0	0.1903	0.0	3	1	0.1428	0.1	1	2	0.0476	0.2	2	3	0.0952	0.3
NC_003888.3_region14	prejadomycin	False	terpene-precursor	prejadomycin/rabelomycin/gaudimycin C/gaudimycin D/UWM6/gaudimycin A	5701115	5722276	21.162	6	2	0.2835	0.2	7	2	0.3308	0.2	6	2	0.2835	0.2	3	3	0.1418	0.3	5	5	0.2363	0.5	3	4	0.1418	0.4
NC_003888.3_region15	spore pigment	False	T2PKS	spore pigment	5751944	5824487	72.544	23	4	0.317	0.4	21	3	0.2895	0.3	13	3	0.1792	0.3	12	1	0.1654	0.1	15	1	0.2068	0.1	20	1	0.2757	0.1
NC_003888.3_region16	kinamycin	False	NI-siderophore	kinamycin	6326586	6356533	29.948	10	4	0.3339	0.4	10	2	0.3339	0.2	5	0	0.167	0.0	10	1	0.3339	0.1	13	2	0.4341	0.2	11	0	0.3673	0.0
