locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand
SC_RS02325		SCO0062	LacI family DNA-binding transcriptional regulator	LacI	47789	48844	-
SC_RS02550		SCO0116	TetR/AcrR family transcriptional regulator	TetR	94306	94872	-
SC_RS02625		SCO0132	helix-turn-helix transcriptional regulator	HTH (other)	122743	125502	+
SC_RS02920		SCO0194	sigma-70 family RNA polymerase sigma factor	Sigma factor	184958	185566	+
SC_RS02970		SCO0204	response regulator	Response regulator	194760	195461	-
SC_RS03095		SCO0233	helix-turn-helix transcriptional regulator	HTH (other)	221699	222538	-
SC_RS03135		SCO0241	TetR/AcrR family transcriptional regulator	TetR	229995	230669	+
SC_RS03185		SCO0253	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	242203	242766	+
SC_RS03230		SCO0262	LysR family transcriptional regulator	LysR	250805	251740	+
SC_RS03240		SCO0264	MarR family winged helix-turn-helix transcriptional regulator	MarR	252946	253398	+
SC_RS03330		SCO0282	DeoR/GlpR family DNA-binding transcription regulator	DeoR	272898	273656	+
SC_RS03355		SCO0287	AraC-like ligand-binding domain-containing protein	AraC	279691	280695	+
SC_RS03410		SCO0298	LysR family transcriptional regulator	LysR	292656	293519	-
SC_RS03465		SCO0310	TetR/AcrR family transcriptional regulator	TetR	306816	307460	-
SC_RS03600		SCO0337	TetR/AcrR family transcriptional regulator	TetR	340752	341318	+
SC_RS03790		SCO0376	helix-turn-helix domain-containing protein	HTH (other)	391232	391834	+
SC_RS03945		SCO0407	MerR family transcriptional regulator	MerR	427610	428614	+
SC_RS03980	sigJ	SCO0414	RNA polymerase sigma factor SigJ	Sigma factor	432617	433513	-
SC_RS04060		SCO0430	TetR/AcrR family transcriptional regulator	TetR	447245	447868	+
SC_RS04075		SCO0433	helix-turn-helix domain-containing protein	HTH (other)	453370	454374	+
SC_RS04145		SCO0447	MarR family winged helix-turn-helix transcriptional regulator	MarR	465990	466436	+
SC_RS04520		SCO0521	TetR/AcrR family transcriptional regulator	TetR	553892	554473	+
SC_RS04675		SCO0552	response regulator transcription factor	Response regulator	592306	592995	-
SC_RS04705		SCO0557	MerR family transcriptional regulator	MerR	598747	599769	+
SC_RS04725		SCO0561	Fur family transcriptional regulator	Other regulatory	603385	603840	-
SC_RS04835		SCO0582	FadR/GntR family transcriptional regulator	GntR	624273	625034	+
SC_RS04865		SCO0588	sensor histidine kinase	Sensor kinase	629185	630912	-
SC_RS04870		SCO0589	LysR family transcriptional regulator	LysR	631216	632103	-
SC_RS04925		SCO0600	RNA polymerase sigma factor SigF	Sigma factor	639859	640704	+
SC_RS04965	slbR	SCO0608	gamma-butyrolactone-binding regulator SlbR	Other regulatory	647887	648765	+
SC_RS05030		SCO0622	TetR/AcrR family transcriptional regulator	TetR	662373	663014	+
SC_RS05120		SCO0640	BlaI/MecI/CopY family transcriptional regulator	Other regulatory	681435	681863	-
SC_RS05550		SCO0724	MurR/RpiR family transcriptional regulator	Other regulatory	768450	769367	+
SC_RS05845	otr(A)	SCO0783	tetracycline resistance ribosomal protection protein Otr(A)	TetR	829910	831817	+
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	922247	924913	+
SC_RS06810		SCO0971	LysR family transcriptional regulator	LysR	1023053	1023964	+
SC_RS06885	metE	SCO0985	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	TetR	1038243	1040561	+
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	1063185	1063520	+
SC_RS07085		SCO1026	DeoR/GlpR family DNA-binding transcription regulator	DeoR	1084395	1085219	+
SC_RS07125		SCO1034	TetR/AcrR family transcriptional regulator	TetR	1092334	1092897	+
SC_RS07255		SCO1060	ROK family protein	ROK	1117870	1119111	-
SC_RS07300		SCO1069	MarR family winged helix-turn-helix transcriptional regulator	MarR	1129716	1130108	-
SC_RS07340		SCO1077	ROK family protein	ROK	1137148	1138101	-
SC_RS07425		SCO1094	TetR/AcrR family transcriptional regulator	TetR	1152798	1153376	+
SC_RS07440		SCO1098	MarR family winged helix-turn-helix transcriptional regulator	MarR	1155717	1156292	-
SC_RS07505		SCO1111	PaaX family transcriptional regulator C-terminal domain-containing protein	Other regulatory	1167998	1168750	-
SC_RS07545		SCO1119	Lrp/AsnC family transcriptional regulator	Lrp	1177797	1178273	+
SC_RS07560		SCO1122	LysR substrate-binding domain-containing protein	LysR	1179956	1180792	-
SC_RS07625	xdhR	SCO1135	purine salvage operon transcriptional regulator XdhR	Other regulatory	1193398	1193988	+
SC_RS07635		SCO1137	sensor histidine kinase	Sensor kinase	1194739	1196385	-
