locus_tag	gene_name	tss	strand	region	nearest_methyl_dist	extended_kb	expected_motifs	observed_motifs	methylated_T1	layer2_deficit	layer3_deficit	is_layer2	is_layer3	category
SC_RS02260		38768	-	arm	1909	5.154	1.3290709119494983	1	0	0.32907091194949833	1	True	True	both
SC_RS02325		48844	-	arm	429	5.055	1.3035416103812016	1	0	0.30354161038120164	1	True	True	both
SC_RS02330		49824	-	arm	551	4.935	1.27259700241963	2	0	0.0	2	False	True	layer3_only
SC_RS02530		91790	-	arm	1864	4.839	1.247841316050373	0	0	1.247841316050373	0	True	False	layer2_only
SC_RS02550		94872	-	arm	1218	4.566	1.1774423329377977	0	0	1.1774423329377977	0	True	False	layer2_only
SC_RS02625		122743	+	arm	941	6.759	1.7429550434355179	0	0	1.7429550434355179	0	True	False	layer2_only
SC_RS02660		132693	+	arm	1130	4.827	1.2447468552542158	1	1	0.2447468552542158	0	True	False	layer2_only
SC_RS02680		136683	+	arm	405	4.5	1.1604227985589333	0	1	1.1604227985589333	0	True	False	layer2_only
SC_RS02705		139467	+	arm	318	4.245	1.0946655066405937	1	2	0.0946655066405937	0	True	False	layer2_only
SC_RS02735		145499	+	arm	1274	4.623	1.1921410217195443	0	0	1.1921410217195443	0	True	False	layer2_only
SC_RS02745		148225	+	arm	1452	4.959	1.2787859240119444	0	1	1.2787859240119444	0	True	False	layer2_only
SC_RS02750		150209	-	arm	369	4.701	1.2122550168945656	2	1	0.0	1	False	True	layer3_only
SC_RS02915		184797	-	arm	1665	5.004	1.2903901519975338	0	0	1.2903901519975338	0	True	False	layer2_only
SC_RS02920		184958	+	arm	1504	4.608	1.1882729457243477	1	0	0.18827294572434772	1	True	True	both
SC_RS02965		194637	-	arm	1309	5.757	1.4845675669563954	0	0	1.4845675669563954	0	True	False	layer2_only
SC_RS02970		195461	-	arm	485	4.701	1.2122550168945656	0	0	1.2122550168945656	0	True	False	layer2_only
SC_RS03000		201374	+	arm	842	4.716	1.2161230928897622	0	1	1.2161230928897622	0	True	False	layer2_only
SC_RS03080		220150	+	arm	2284	4.614	1.1898201761224263	0	0	1.1898201761224263	0	True	False	layer2_only
SC_RS03110		225276	-	arm	1190	4.872	1.256351083239805	1	0	0.25635108323980504	1	True	True	both
SC_RS03135		229995	+	arm	299	4.674	1.205292480103212	0	0	1.205292480103212	0	True	False	layer2_only
SC_RS03175		239858	+	arm	404	4.665	1.2029716345060941	0	2	1.2029716345060941	0	True	False	layer2_only
SC_RS03195		245759	-	arm	388	5.823	1.5015871013352597	0	1	1.5015871013352597	0	True	False	layer2_only
SC_RS03240		252946	+	arm	1584	4.452	1.1480449553743046	2	1	0.0	1	False	True	layer3_only
SC_RS03295		266356	+	arm	3698	5.157	1.3298445271485375	0	0	1.3298445271485375	0	True	False	layer2_only
SC_RS03330		272898	+	arm	1024	4.758	1.2269537056763122	0	0	1.2269537056763122	0	True	False	layer2_only
SC_RS03355		279691	+	arm	867	5.004	1.2903901519975338	0	0	1.2903901519975338	0	True	False	layer2_only
SC_RS03400		290584	+	arm	1454	4.581	1.1813104089329942	1	0	0.18131040893299422	1	True	True	both
SC_RS03410		293519	-	arm	917	4.863	1.2540302376426873	1	0	0.2540302376426873	1	True	True	both
SC_RS03450		303084	+	arm	1583	4.887	1.2602191592350014	0	1	1.2602191592350014	0	True	False	layer2_only
SC_RS03465		307460	-	arm	636	4.644	1.1975563281128192	0	0	1.1975563281128192	0	True	False	layer2_only
SC_RS03495		316921	-	arm	699	5.667	1.4613591109852166	0	0	1.4613591109852166	0	True	False	layer2_only
SC_RS03575		333529	+	arm	522	4.62	1.1913674065205049	1	1	0.19136740652050488	0	True	False	layer2_only
SC_RS03630		348206	+	arm	351	5.175	1.3344862183427733	1	0	0.33448621834277326	1	True	True	both
SC_RS03635		350201	-	arm	465	4.782	1.2331426272686266	3	0	0.0	3	False	True	layer3_only
SC_RS03695		362508	-	arm	1447	4.749	1.2246328600791943	0	0	1.2246328600791943	0	True	False	layer2_only
SC_RS03945		427610	+	arm	366	5.004	1.2903901519975338	1	1	0.2903901519975338	0	True	False	layer2_only
SC_RS04015		439000	-	arm	1613	4.671	1.204518864904173	1	1	0.20451886490417293	0	True	False	layer2_only
SC_RS04020		440190	-	arm	423	5.193	1.339127909537009	2	1	0.0	1	False	True	layer3_only
SC_RS04050		445611	+	arm	1431	4.533	1.1689325657483656	0	0	1.1689325657483656	0	True	False	layer2_only
SC_RS04075		453370	+	arm	2199	5.004	1.2903901519975338	0	0	1.2903901519975338	0	True	False	layer2_only
SC_RS04145		465990	+	arm	480	4.446	1.146497724976226	0	0	1.146497724976226	0	True	False	layer2_only
SC_RS04195		475628	+	arm	975	5.043	1.3004471495850447	0	1	1.3004471495850447	0	True	False	layer2_only
SC_RS04245		487618	+	arm	878	4.983	1.2849748456042587	0	0	1.2849748456042587	0	True	False	layer2_only
SC_RS04345		504854	+	arm	856	4.611	1.189046560923387	0	0	1.189046560923387	0	True	False	layer2_only
SC_RS04355		506842	+	arm	737	4.506	1.161970028957012	1	0	0.16197002895701207	1	True	True	both
SC_RS04480		547743	-	arm	639	4.608	1.1882729457243477	0	0	1.1882729457243477	0	True	False	layer2_only
SC_RS04515		553277	+	arm	1047	4.584	1.1820840241320334	0	0	1.1820840241320334	0	True	False	layer2_only
SC_RS04520		553892	+	arm	432	4.581	1.1813104089329942	0	0	1.1813104089329942	0	True	False	layer2_only
SC_RS04530		555905	-	arm	1581	4.437	1.1441768793791083	0	0	1.1441768793791083	0	True	False	layer2_only
SC_RS04565		562576	-	arm	397	4.845	1.2493885464484515	0	0	1.2493885464484515	0	True	False	layer2_only
SC_RS04675		592995	-	arm	455	4.689	1.2091605560984084	2	1	0.0	1	False	True	layer3_only
SC_RS04705		598747	+	arm	571	5.022	1.2950318431917696	1	0	0.29503184319176956	1	True	True	both
SC_RS04725		603840	-	arm	3727	4.455	1.148818570573344	0	0	1.148818570573344	0	True	False	layer2_only
SC_RS04795		616253	+	arm	1424	4.833	1.2462940856522944	0	0	1.2462940856522944	0	True	False	layer2_only
SC_RS04835		624273	+	arm	721	4.761	1.2277273208753514	2	0	0.0	2	False	True	layer3_only
SC_RS04870		632103	-	arm	1086	4.887	1.2602191592350014	0	0	1.2602191592350014	0	True	False	layer2_only
SC_RS04925		639859	+	arm	932	4.845	1.2493885464484515	1	0	0.24938854644845154	1	True	True	both
SC_RS04965	slbR	647887	+	arm	347	4.878	1.2578983136378838	1	1	0.25789831363788385	0	True	False	layer2_only
SC_RS05020		661607	-	arm	342	4.278	1.1031752738300258	3	1	0.0	2	False	True	layer3_only
SC_RS05030		662373	+	arm	779	4.641	1.1967827129137798	0	1	1.1967827129137798	0	True	False	layer2_only
SC_RS05065		672727	-	arm	954	5.109	1.3174666839639089	0	0	1.3174666839639089	0	True	False	layer2_only
SC_RS05080		674317	+	arm	636	4.752	1.2254064752782334	0	0	1.2254064752782334	0	True	False	layer2_only
SC_RS05120		681863	-	arm	2131	4.428	1.1418560337819903	0	0	1.1418560337819903	0	True	False	layer2_only
SC_RS05150		688679	+	arm	1516	4.584	1.1820840241320334	0	0	1.1820840241320334	0	True	False	layer2_only
SC_RS05265		709071	+	arm	5345	4.617	1.1905937913214655	0	0	1.1905937913214655	0	True	False	layer2_only
SC_RS05480		753197	-	arm	392	5.28	1.3615627503091485	1	1	0.36156275030914853	0	True	False	layer2_only
SC_RS05490	bdeA	757246	-	arm	989	4.932	1.271823387220591	0	0	1.271823387220591	0	True	False	layer2_only
SC_RS05550		768450	+	arm	741	4.917	1.2679553112253945	1	0	0.2679553112253945	1	True	True	both
SC_RS05570		771628	+	arm	396	4.734	1.220764784083998	0	0	1.220764784083998	0	True	False	layer2_only
SC_RS05600		777720	-	arm	323	5.166	1.3321653727456555	4	2	0.0	2	False	True	layer3_only
SC_RS05655		787643	-	arm	1805	4.659	1.2014244041080155	0	0	1.2014244041080155	0	True	False	layer2_only
SC_RS05790		821295	+	arm	361	4.578	1.1805367937339548	0	0	1.1805367937339548	0	True	False	layer2_only
SC_RS05835		828403	+	arm	610	4.386	1.1310254209954405	1	1	0.13102542099544046	0	True	False	layer2_only
SC_RS05845	otr(A)	829910	+	arm	501	5.907	1.5232483269083599	0	0	1.5232483269083599	0	True	False	layer2_only
SC_RS05900		841688	-	arm	1216	5.289	1.3638835959062663	0	0	1.3638835959062663	0	True	False	layer2_only
SC_RS05930		847525	-	arm	1603	4.608	1.1882729457243477	0	0	1.1882729457243477	0	True	False	layer2_only
SC_RS05960		854365	-	arm	1215	5.025	1.295805458390809	1	0	0.29580545839080896	1	True	True	both
SC_RS06130		888700	-	arm	1924	4.506	1.161970028957012	0	0	1.161970028957012	0	True	False	layer2_only
SC_RS06215		904019	+	arm	1911	4.728	1.219217553685919	0	0	1.219217553685919	0	True	False	layer2_only
SC_RS06250		911939	-	arm	428	4.596	1.1851784849281906	1	2	0.18517848492819056	0	True	False	layer2_only
SC_RS06260		913572	-	arm	415	4.641	1.1967827129137798	0	2	1.1967827129137798	0	True	False	layer2_only
SC_RS06280		916785	-	arm	362	4.449	1.1472713401752654	1	0	0.14727134017526544	1	True	True	both
SC_RS06300		921755	-	arm	322	4.335	1.1178739626117724	0	0	1.1178739626117724	0	True	False	layer2_only
SC_RS06345		928670	+	arm	874	4.347	1.1209684234079298	1	0	0.12096842340792979	1	True	True	both
SC_RS06370		933568	-	arm	460	4.704	1.213028632093605	0	0	1.213028632093605	0	True	False	layer2_only
SC_RS06380		935237	-	arm	296	4.905	1.2648608504292373	2	0	0.0	2	False	True	layer3_only
SC_RS06465		950560	+	arm	836	4.251	1.0962127370386725	1	0	0.0962127370386725	1	True	True	both
SC_RS06575		971392	+	arm	933	4.884	1.2594455440359624	0	0	1.2594455440359624	0	True	False	layer2_only
SC_RS06585		973388	+	arm	1063	4.836	1.2470677008513338	1	0	0.24706770085133378	1	True	True	both
SC_RS06650		986247	+	arm	2116	4.473	1.1534602617675798	0	0	1.1534602617675798	0	True	False	layer2_only
SC_RS06660		988130	+	arm	2707	4.554	1.1743478721416405	0	0	1.1743478721416405	0	True	False	layer2_only
