SARP_gene_id	SARP_old_locus_tag	SARP_label	gene_id	old_locus_tag	gene_name	product	bgc_name	target_type	pwm_used	hit_count	best_score	best_pvalue	best_qvalue	comment
SC_RS27570	SCO5082	actII-orf4 (act CSR)	SC_RS27515	SCO5071	NA	nuclear transport factor 2 family protein	act	BGC_gene	ActII_ORF4	5	11.4929	8.32e-6	0.105	ActII-ORF4 PWM match in act cluster
SC_RS27570	SCO5082	actII-orf4 (act CSR)	SC_RS27535	SCO5075	NA	NADP-dependent oxidoreductase	act	BGC_gene	ActII_ORF4	4	11.4929	8.32e-6	0.105	ActII-ORF4 PWM match in act cluster
SC_RS27570	SCO5082	actII-orf4 (cross-cluster?)	SC_RS33640	SCO6278	NA	MFS transporter	cpk	BGC_gene_cross	ActII_ORF4	4	11.4929	8.32e-6	0.105	ActII-ORF4-like motif in non-act BGC
SC_RS27570	SCO5082	actII-orf4 (cross-cluster?)	SC_RS31710	SCO5893	NA	NAD-dependent epimerase/dehydratase family protein	red	BGC_gene_cross	ActII_ORF4	5	10.6019	1.98e-5	0.105	ActII-ORF4-like motif in non-act BGC
SC_RS27570	SCO5082	actII-orf4 (act CSR)	SC_RS27525	SCO5073	NA	quinone oxidoreductase family protein	act	BGC_gene	ActII_ORF4	7	10.4692	2.51e-5	0.105	ActII-ORF4 PWM match in act cluster
SC_RS27570	SCO5082	actII-orf4 (act CSR)	SC_RS27550	SCO5078	NA	DUF6081 family protein	act	BGC_gene	ActII_ORF4	4	10.4692	2.51e-5	0.105	ActII-ORF4 PWM match in act cluster
SC_RS27570	SCO5082	actII-orf4 (act CSR)	SC_RS27575	SCO5083	NA	MFS transporter	act	BGC_gene	ActII_ORF4	4	10.4692	2.51e-5	0.105	ActII-ORF4 PWM match in act cluster
SC_RS27570	SCO5082	actII-orf4 (act CSR)	SC_RS27590	SCO5086	NA	3-oxoacyl-ACP reductase	act	BGC_gene	ActII_ORF4	8	10.4692	2.51e-5	0.105	ActII-ORF4 PWM match in act cluster
SC_RS27570	SCO5082	actII-orf4 (act CSR)	SC_RS27595	SCO5087	NA	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	act	BGC_gene	ActII_ORF4	4	10.4692	2.51e-5	0.105	ActII-ORF4 PWM match in act cluster
SC_RS27570	SCO5082	actII-orf4 (cross-cluster?)	SC_RS18180	SCO3213	NA	anthranilate synthase component II	cda	BGC_gene_cross	ActII_ORF4	2	10.4692	2.51e-5	0.105	ActII-ORF4-like motif in non-act BGC
SC_RS27570	SCO5082	actII-orf4 (cross-cluster?)	SC_RS18325	SCO3242	NA	SCO3242 family prenyltransferase	cda	BGC_gene_cross	ActII_ORF4	3	10.4692	2.51e-5	0.105	ActII-ORF4-like motif in non-act BGC
SC_RS27570	SCO5082	actII-orf4 (cross-cluster?)	SC_RS31650	SCO5881	redZ	response regulator transcription factor	red	BGC_gene_cross	ActII_ORF4	1	10.4692	2.51e-5	0.105	ActII-ORF4-like motif in non-act BGC
SC_RS27570	SCO5082	actII-orf4 (cross-cluster?)	SC_RS31730	SCO5897	NA	aromatic ring-hydroxylating oxygenase subunit alpha	red	BGC_gene_cross	ActII_ORF4	4	10.4692	2.51e-5	0.105	ActII-ORF4-like motif in non-act BGC
SC_RS27570	SCO5082	actII-orf4	SC_RS31650	SCO5881	NA	response regulator transcription factor	NA	TF_candidate	ActII_ORF4	1	10.4692	2.51e-5	0.0933	ActII_ORF4 motif in TF candidate promoter
SC_RS27570	SCO5082	actII-orf4 (act CSR)	SC_RS27585	SCO5085	NA	AfsR/SARP family transcriptional regulator	act	BGC_gene	ActII_ORF4	3	10.2464	3.49e-5	0.135	ActII-ORF4 PWM match in act cluster
SC_RS27570	SCO5082	actII-orf4	SC_RS28860	SCO5337	NA	XRE family transcriptional regulator	NA	TF_candidate	ActII_ORF4	5	10.2464	3.49e-5	0.0933	ActII_ORF4 motif in TF candidate promoter
SC_RS27570	SCO5082	actII-orf4	SC_RS27585	SCO5085	NA	AfsR/SARP family transcriptional regulator	NA	SARP_autoregulation	ActII_ORF4	3	10.2464	3.49e-5	0.176	ActII_ORF4 motif in SARP gene promoter (auto/cross-reg)
SC_RS18200	SCO3217	SCO3217/cdaR (cda CSR)	SC_RS18175	SCO3212	trpD	anthranilate phosphoribosyltransferase	cda	BGC_gene	SARP_heptamer_strict	7	11.9167	4.39e-5	0.0511	Heptamer match; assigned to SCO3217/cdaR (cda CSR)
SC_RS18200	SCO3217	SCO3217/cdaR (cda CSR)	SC_RS18240	SCO3225	absA1	sensor histidine kinase	cda	BGC_gene	SARP_heptamer_strict	2	11.9167	4.39e-5	0.0511	Heptamer match; assigned to SCO3217/cdaR (cda CSR)
SC_RS18200	SCO3217	SCO3217/cdaR (cda CSR)	SC_RS18330	SCO3243	NA	inositol-3-phosphate synthase	cda	BGC_gene	SARP_heptamer_strict	5	11.9167	4.39e-5	0.0511	Heptamer match; assigned to SCO3217/cdaR (cda CSR)
SC_RS27585	SCO5085	SCO5085 (act structural SARP)	SC_RS27545	SCO5077	NA	PPOX class F420-dependent oxidoreductase	act	BGC_gene	SARP_heptamer_strict	7	11.9167	4.39e-5	0.0511	Heptamer match; assigned to SCO5085 (act structural SARP)
