SCO_ID	gene_id	gene_name	contig	start	end	strand	pfam_TF_flag	tf_related_domains	ZorroAranda_regulator_type	CastroMelchor_regulator_flag	sigma_flag	sigma_group	TF_family	source_flags	confidence	product
SCO0047	SC_RS02260		chromosome	37614	38768	-	yes	MarR;MarR_2		1	no		MarR	pfam;CastroMelchor	medium	MarR family winged helix-turn-helix transcriptional regulator
SCO0062	SC_RS02325		chromosome	47789	48844	-	yes	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4		1	no		LacI	pfam;CastroMelchor	medium	LacI family DNA-binding transcriptional regulator
SCO0063	SC_RS02330		chromosome	48889	49824	-	no			1	no			CastroMelchor	low	ROK family protein
SCO0064	SC_RS02335		chromosome	49821	51539	-	no			1	no			CastroMelchor	low	class I mannose-6-phosphate isomerase
SCO0089	SC_RS02455		chromosome	75916	76893	+	yes	HTH_1;LysR_substrate		1	no		LysR	pfam;CastroMelchor	medium	LysR family transcriptional regulator
SCO0110	SC_RS02530		chromosome	90951	91790	-	yes	HTH_31		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix transcriptional regulator
SCO0116	SC_RS02550		chromosome	94306	94872	-	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0132	SC_RS02625		chromosome	122743	125502	+	yes	GerE		1	no		LuxR	pfam;CastroMelchor	medium	helix-turn-helix transcriptional regulator
SCO0140	SC_RS02660		chromosome	132693	133520	+	yes	MerR;MerR_1		0	no		MerR	pfam	medium	MerR family transcriptional regulator
SCO0143	SC_RS02680		chromosome	136683	137183	+	yes	TetR_N		0	no		TetR	pfam	medium	TetR/AcrR family transcriptional regulator
SCO0147	SC_RS02700		chromosome	138976	139467	+	no			1	no			CastroMelchor	low	DUF2975 domain-containing protein
SCO0148	SC_RS02705		chromosome	139467	139712	+	yes	HTH_26;HTH_3;HTH_31		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix domain-containing protein
SCO0155	SC_RS02735		chromosome	145499	146122	+	yes	TetR_C_13;TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0158	SC_RS02740		chromosome	146977	148206	+	no			1	no			CastroMelchor	low	NAD(P)/FAD-dependent oxidoreductase
