timepoint	pos_4mC	pos_6mA	strand	distance	midpoint
T1	1001425	1001429	-	4	1001427
T1	1107137	1107141	-	4	1107139
T1	1147601	1147604	-	3	1147602
T1	1147601	1147605	-	4	1147603
T1	1157915	1157919	-	4	1157917
T1	1282751	1282748	+	3	1282749
T1	1432370	1432374	-	4	1432372
T1	1550487	1550490	-	3	1550488
T1	1561813	1561817	-	4	1561815
T1	1589335	1589339	-	4	1589337
T1	1622768	1622772	-	4	1622770
T1	1625508	1625512	-	4	1625510
T1	1660897	1660894	+	3	1660895
T1	1724202	1724206	-	4	1724204
T1	1730344	1730347	-	3	1730345
T1	1806802	1806806	-	4	1806804
T1	1826514	1826518	-	4	1826516
T1	1879810	1879814	-	4	1879812
T1	1981062	1981066	-	4	1981064
T1	1981128	1981132	-	4	1981130
T1	2005273	2005277	-	4	2005275
T1	2123459	2123463	-	4	2123461
T1	2140382	2140386	-	4	2140384
T1	2229753	2229757	-	4	2229755
T1	2262280	2262284	-	4	2262282
T1	2315380	2315383	-	3	2315381
T1	2315380	2315384	-	4	2315382
T1	2315797	2315801	-	4	2315799
T1	2390760	2390763	-	3	2390761
T1	2390760	2390764	-	4	2390762
T1	2488220	2488224	-	4	2488222
T1	2529756	2529760	-	4	2529758
T1	2611797	2611800	-	3	2611798
T1	2628128	2628132	-	4	2628130
T1	2812029	2812033	-	4	2812031
T1	2827804	2827808	-	4	2827806
T1	2957833	2957837	-	4	2957835
T1	3032652	3032656	-	4	3032654
T1	3170101	3170105	-	4	3170103
T1	3202932	3202935	-	3	3202933
T1	3221246	3221250	-	4	3221248
T1	3385356	3385360	-	4	3385358
T1	3446532	3446536	-	4	3446534
T1	3468455	3468459	-	4	3468457
T1	3589598	3589602	-	4	3589600
T1	3767446	3767450	-	4	3767448
T1	3773893	3773896	-	3	3773894
T1	3773893	3773897	-	4	3773895
T1	3785239	3785243	-	4	3785241
T1	3825686	3825683	+	3	3825684
T1	3826788	3826785	+	3	3826786
T1	3907584	3907581	+	3	3907582
T1	3909837	3909841	-	4	3909839
T1	3910240	3910244	-	4	3910242
T1	3960373	3960370	+	3	3960371
T1	4088379	4088376	+	3	4088377
T1	4114596	4114600	-	4	4114598
T1	4127928	4127932	-	4	4127930
T1	4129194	4129198	-	4	4129196
T1	4173638	4173642	-	4	4173640
T1	4226864	4226868	-	4	4226866
T1	4237135	4237139	-	4	4237137
T1	4263171	4263175	-	4	4263173
T1	4327018	4327022	-	4	4327020
T1	4367841	4367845	-	4	4367843
T1	4397557	4397561	-	4	4397559
T1	4436213	4436216	-	3	4436214
T1	4485791	4485795	-	4	4485793
T1	4586813	4586817	-	4	4586815
T1	4655986	4655990	-	4	4655988
T1	4656579	4656583	-	4	4656581
T1	4661378	4661382	-	4	4661380
T1	4824044	4824047	-	3	4824045
T1	4824044	4824048	-	4	4824046
T1	4839516	4839519	-	3	4839517
T1	4839516	4839520	-	4	4839518
T1	4861412	4861416	-	4	4861414
T1	4885755	4885758	-	3	4885756
T1	4885755	4885759	-	4	4885757
T1	4898785	4898789	-	4	4898787
T1	4942198	4942202	-	4	4942200
T1	4958836	4958840	-	4	4958838
T1	4987418	4987415	+	3	4987416
T1	5092060	5092064	-	4	5092062
T1	5231639	5231642	-	3	5231640
T1	5233150	5233154	-	4	5233152
T1	5329810	5329807	+	3	5329808
T1	5362914	5362918	-	4	5362916
T1	5437960	5437964	-	4	5437962
T1	5462054	5462058	-	4	5462056
T1	5577922	5577919	+	3	5577920
T1	5577922	5577931	+	9	5577926
T1	5577934	5577931	+	3	5577932
T1	5614298	5614302	-	4	5614300
T1	5649592	5649596	-	4	5649594
T1	5652733	5652736	-	3	5652734
T1	5697993	5697997	-	4	5697995
T1	5724196	5724200	-	4	5724198
T1	5753338	5753341	-	3	5753339
T1	5753338	5753342	-	4	5753340
T1	5753476	5753480	-	4	5753478
T1	5792801	5792804	-	3	5792802
T1	5792801	5792805	-	4	5792803
T1	5861375	5861379	-	4	5861377
T1	5902390	5902394	-	4	5902392
T1	5974533	5974530	+	3	5974531
T1	6143028	6143025	+	3	6143026
T1	6233232	6233236	-	4	6233234
T1	6337171	6337175	-	4	6337173
T1	6337526	6337530	-	4	6337528
T1	6337637	6337641	-	4	6337639
T1	6725217	6725221	-	4	6725219
T1	6857837	6857841	-	4	6857839
T1	6907093	6907097	-	4	6907095
T1	6941579	6941576	+	3	6941577
T1	6965958	6965962	-	4	6965960
T1	7039489	7039493	-	4	7039491
T1	7119120	7119124	-	4	7119122
T1	7272287	7272284	+	3	7272285
T1	7294982	7294986	-	4	7294984
T1	7560767	7560764	+	3	7560765
T1	7620812	7620816	-	4	7620814
T1	7663070	7663067	+	3	7663068
T1	7674616	7674620	-	4	7674618
T1	8127343	8127347	-	4	8127345
T1	8450511	8450515	-	4	8450513
T1	8571409	8571413	-	4	8571411
T2	232460	232457	+	3	232458
T2	281964	281968	-	4	281966
T2	623416	623420	-	4	623418
T2	648238	648247	+	9	648242
T2	648250	648247	+	3	648248
T2	694056	694060	-	4	694058
T2	1012520	1012524	-	4	1012522
T2	1690718	1690721	-	3	1690719
T2	1752624	1752628	-	4	1752626
T2	2767853	2767857	-	4	2767855
T2	6794674	6794678	-	4	6794676
T2	7135550	7135547	+	3	7135548
T2	7441182	7441179	+	3	7441180
T2	8176870	8176867	+	3	8176868
T2	8268391	8268395	-	4	8268393
T2	8523047	8523050	-	3	8523048
T2	8587517	8587521	-	4	8587519
