locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	region	coordination_T2	coordination_T3	log2FC_T2vsT1_deseq	log2FC_T3vsT1_deseq	methyl_change	both_T2T3_derepression	both_T2T3_repression
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	75916	76893	arm	discordant_gain_up	discordant_gain_up	1.9589972494364425	1.3127734931300468	gained_T2,gained_T3	False	False
SC_RS03250		SCO0266	helix-turn-helix domain-containing protein	HTH (other)	254332	255198	arm	methyl_change_no_expr_change	concordant_derepression	0.1814637166824383	1.0523627135003395	lost_T2,lost_T3	False	False
SC_RS04270		SCO0471	helix-turn-helix domain-containing protein	HTH (other)	491901	492881	arm	concordant_derepression	ambiguous	1.1733093432665949	1.7924413873114893	lost_T2	False	False
SC_RS05075		SCO0632	sigma-70 family RNA polymerase sigma factor	Sigma factor	673733	674317	arm	methyl_change_no_expr_change	discordant_gain_up	-0.1773167519469067	1.6113360419805196	gained_T3	False	False
SC_RS05485		SCO0712	helix-turn-helix transcriptional regulator	HTH (other)	753318	756143	arm	methyl_change_no_expr_change	discordant_gain_up	-0.5006499103865119	2.8676687798585383	gained_T2,gained_T3	False	False
SC_RS06045		SCO0823	GntR family transcriptional regulator	GntR	872193	872633	arm	ambiguous	concordant_repression	-1.3298006901673476	-1.4690041024017018	gained_T3	False	False
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	922247	924913	arm	discordant_gain_up	methyl_change_no_expr_change	1.688781934919955	0.3646558250554286	gained_T2,gained_T3	False	False
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	1063185	1063520	arm	methyl_change_no_expr_change	concordant_repression	0.1164734698130901	-1.3536105142603478	gained_T2,gained_T3	False	False
SC_RS07215		SCO1052	helix-turn-helix domain-containing protein	HTH (other)	1108110	1108778	arm	methyl_change_no_expr_change	concordant_derepression	0.3469446698179995	2.364778272966627	lost_T3	False	False
SC_RS07750		SCO1160	sensor histidine kinase	Sensor kinase	1218590	1221178	arm	ambiguous	discordant_gain_up	6.811744535398193	5.57493153704295	gained_T3	False	False
SC_RS07910		SCO1191	MarR family winged helix-turn-helix transcriptional regulator	MarR	1264183	1264656	arm	concordant_repression	ambiguous	-2.8247283435391974	-2.1045634810451976	gained_T2	False	False
SC_RS08090		SCO1227	helix-turn-helix transcriptional regulator	HTH (other)	1300601	1302022	arm	discordant_gain_up	discordant_gain_up	4.584810932372193	4.592536487844196	gained_T2,gained_T3	False	False
SC_RS09315		SCO1468	tetratricopeptide repeat protein	TetR	1565986	1568358	core	ambiguous	concordant_derepression	3.873766306591509	4.2561166155195	lost_T3	False	False
SC_RS09835		SCO1564	sigma-70 family RNA polymerase sigma factor	Sigma factor	1674273	1674773	core	concordant_derepression	ambiguous	3.559311712441188	1.105773502103029	lost_T2	False	False
SC_RS10435		SCO1684	tetratricopeptide repeat protein	TetR	1804126	1805076	core	concordant_derepression	concordant_derepression	1.7289097130718962	2.599848031477136	lost_T2,lost_T3	True	False
SC_RS11515		SCO1897	DeoR/GlpR family DNA-binding transcription regulator	DeoR	2031485	2032261	core	ambiguous	discordant_gain_up	1.3069071437293096	1.4766740596944503	gained_T3	False	False
SC_RS13145		SCO2223	TetR/AcrR family transcriptional regulator	TetR	2387313	2388005	core	discordant_loss_down	discordant_loss_down	-2.60408418536578	-1.9735548451329563	lost_T2,lost_T3	False	False
SC_RS13965	fasR	SCO2386	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	2558045	2559250	core	ambiguous	discordant_loss_down	-1.3457214719384083	-2.008260763804589	lost_T3	False	False
SC_RS15270		SCO2639	RNA polymerase sigma factor	Sigma factor	2870032	2870568	core	ambiguous	discordant_loss_down	-1.718484135527773	-1.28534328878955	lost_T3	False	False
SC_RS15485	fxsT	SCO2681	FxSxx-COOH system tetratricopeptide repeat protein	TetR	2920569	2922815	core	discordant_loss_down	methyl_change_no_expr_change	-1.633740595502153	-0.8112210531302011	lost_T2,lost_T3	False	False
SC_RS16855		SCO2950	HU family DNA-binding protein	Other regulatory	3206403	3206684	core	discordant_loss_down	ambiguous	-1.6542997259922183	-2.9016567876690877	lost_T2	False	False
SC_RS17670	mfd	SCO3109	transcription-repair coupling factor	Other regulatory	3404759	3408313	core	methyl_change_no_expr_change	discordant_loss_down	-0.3256079258555034	-1.079052480924651	lost_T3	False	False
SC_RS17795		SCO3134	response regulator transcription factor	Response regulator	3434985	3435764	core	discordant_gain_up	ambiguous	3.4047840224669184	3.160115290808316	gained_T2	False	False
SC_RS20775		SCO3729	helix-turn-helix domain-containing protein	HTH (other)	4103188	4103841	core	methyl_change_no_expr_change	concordant_repression	-0.6967113135206181	-1.0402438637691844	gained_T3	False	False
SC_RS21680		SCO3907	single-stranded DNA-binding protein	Other regulatory	4303613	4304212	core	concordant_repression	ambiguous	-2.5294364079004064	-3.3273941695903377	gained_T2	False	False
SC_RS22135		SCO4005	SigE family RNA polymerase sigma factor	Sigma factor	4397767	4398372	core	methyl_change_no_expr_change	concordant_derepression	0.2650411061157262	3.231774411787676	lost_T2,lost_T3	False	False
SC_RS22780		SCO4122	MarR family winged helix-turn-helix transcriptional regulator	MarR	4529468	4530016	core	discordant_loss_down	ambiguous	-3.79957961958281	-3.5392565751456435	lost_T2	False	False
SC_RS22980		SCO4158	LacI family DNA-binding transcriptional regulator	LacI	4575112	4576134	core	methyl_change_no_expr_change	discordant_loss_down	-0.0261795784401953	-1.386678225928751	lost_T3	False	False
SC_RS23710		SCO4305	TetR/AcrR family transcriptional regulator	TetR	4719080	4719673	core	methyl_change_no_expr_change	concordant_repression	-0.7638015556801351	-1.1916226395492695	gained_T3	False	False
SC_RS24380		SCO4443	MerR family transcriptional regulator	MerR	4864966	4865850	core	discordant_gain_up	methyl_change_no_expr_change	2.1231739543915493	0.600174221573686	gained_T2,gained_T3	False	False
SC_RS24635		SCO4495	UdgX family uracil-DNA binding protein	Other regulatory	4914637	4915275	core	concordant_repression	concordant_repression	-2.524458093106345	-1.2942444890352447	gained_T2,gained_T3	False	True
SC_RS25370		SCO4639	TetR/AcrR family transcriptional regulator	TetR	5063734	5064339	core	discordant_loss_down	ambiguous	-1.205765616879327	-2.258394035683855	lost_T2	False	False
SC_RS25990		SCO4766	LysR family transcriptional regulator	LysR	5178021	5178941	core	methyl_change_no_expr_change	concordant_repression	-0.5614154947959401	-1.193490472610386	gained_T3	False	False
SC_RS26855	sigJ	SCO4938	RNA polymerase sigma factor SigJ	Sigma factor	5373018	5373932	core	ambiguous	discordant_gain_up	-1.018259879132294	1.3362125833071603	gained_T3	False	False
