locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_exposed	baseMean	log2_baseMean_p1	nearest_methyl_distance	n_methyl_sites_2kb	gene_length	LFC_T2vsT1	LFC_T3vsT1	n_FIMO_hits
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	922247	924913	+	922247	1	1	654.9005041217672	9.357333173677873	170	2	2667	1.688781934919955	0.3646558250554286	5
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	1063185	1063520	+	1063165	1	1	256.50317952583157	8.008446435887397	163	3	336	0.1164734698130901	-1.3536105142603478	4
SC_RS07910		SCO1191	MarR family winged helix-turn-helix transcriptional regulator	MarR	1264183	1264656	-	1264654	1	1	80.8842431031643	6.355513957205786	108	4	474	-2.8247283435391974	-2.1045634810451976	2
SC_RS10435		SCO1684	tetratricopeptide repeat protein	TetR	1804126	1805076	-	1805151	0	1	41.0418442467908	5.393754052183181	114	7	951	1.7289097130718962	2.599848031477136	6
SC_RS16855		SCO2950	HU family DNA-binding protein	Other regulatory	3206403	3206684	-	3206821	0	1	10732.932147555646	13.389891053088476	128	2	282	-1.6542997259922183	-2.9016567876690877	3
SC_RS17795		SCO3134	response regulator transcription factor	Response regulator	3434985	3435764	-	3435935	0	1	877.3770107838754	9.778696485850402	102	3	780	3.4047840224669184	3.160115290808316	3
SC_RS22135		SCO4005	SigE family RNA polymerase sigma factor	Sigma factor	4397767	4398372	+	4397767	0	1	473.0048265831937	8.888757939303714	52	4	606	0.2650411061157262	3.231774411787676	4
SC_RS22780		SCO4122	MarR family winged helix-turn-helix transcriptional regulator	MarR	4529468	4530016	+	4529468	0	1	473.2408541558487	8.889476140973454	207	5	549	-3.79957961958281	-3.5392565751456435	3
SC_RS22980		SCO4158	LacI family DNA-binding transcriptional regulator	LacI	4575112	4576134	-	4576134	0	1	1108.0084647456797	10.11505466188399	172	4	1023	-0.0261795784401953	-1.386678225928751	9
SC_RS25990		SCO4766	LysR family transcriptional regulator	LysR	5178021	5178941	+	5178021	0	1	179.0115674051012	7.491945805783993	207	3	921	-0.5614154947959401	-1.193490472610386	2
SC_RS28630		SCO5289	sensor histidine kinase	Sensor kinase	5762143	5765139	+	5761938	0	1	2509.052651588533	11.29350191154291	115	2	2997	-0.0137258522464046	-2.4145957323816596	0
SC_RS35195		SCO6599	TetR/AcrR family transcriptional regulator	TetR	7319193	7319846	-	7319960	1	1	108.071206160425	6.769126482891109	122	2	654	-1.5315166238060172	-1.5502641674059274	1
SC_RS38475		SCO7252	DNA-binding protein NsdB	Other regulatory	8062135	8063643	+	8062112	1	1	9088.505533318712	13.149986098989936	69	4	1509	9.317497513720548	7.76413546802748	1
SC_RS38785		SCO7314	SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	8120541	8121440	+	8120403	1	1	72.93538087547012	6.208193008628707	71	5	900	1.9292968279677385	1.4941315998411235	8
SC_RS39260		SCO7411	LacI family DNA-binding transcriptional regulator	LacI	8225904	8226962	+	8225429	1	1	49.32886052421125	5.653314029605167	318	1	1059	0.6752788836681285	1.1268958401806786	5
