gene_id	old_locus_tag	gene_name	chrom	start	end	strand	gff_tss	experimental_tss	tss_source	tss	promoter_4mC_sites	promoter_6mA_sites	promoter_methylated
SC_RS02180	SCO0026		NC_003888.3	23343	23831	+	23343	23276.0	Jeong2016_dRNA-seq	23276	1	0	True
SC_RS02290	SCO0055		NC_003888.3	42171	43682	-	43682	43682.0	Jeong2016_dRNA-seq	43682	1	1	True
SC_RS02325	SCO0062		NC_003888.3	47789	48844	-	48844	49113.0	Jeong2016_dRNA-seq	49113	1	0	True
SC_RS02380	SCO0072		NC_003888.3	60740	64066	-	64066	64143.0	Jeong2016_dRNA-seq	64143	0	0	False
SC_RS02385	SCO0073		NC_003888.3	64587	64925	+	64587	64442.0	Jeong2016_dRNA-seq	64442	0	0	False
SC_RS02410	SCO0080		NC_003888.3	68372	68887	+	68372	68422.0	Jeong2016_dRNA-seq	68422	0	0	False
SC_RS02450	SCO0088		NC_003888.3	74917	75876	-	75876	76246.0	Jeong2016_dRNA-seq	76246	0	0	False
SC_RS02480	SCO0097		NC_003888.3	80845	81165	-	81165	81225.0	Jeong2016_dRNA-seq	81225	0	0	False
SC_RS02495	SCO0101		NC_003888.3	83516	84235	-	84235	84235.0	Jeong2016_dRNA-seq	84235	0	0	False
SC_RS02515	SCO0106		NC_003888.3	89073	89465	+	89073	89092.0	Jeong2016_dRNA-seq	89092	0	0	False
SC_RS02550	SCO0116		NC_003888.3	94306	94872	-	94872	94899.0	Jeong2016_dRNA-seq	94899	0	0	False
SC_RS02575	SCO0121		NC_003888.3	99335	99949	-	99949	100401.0	Jeong2016_dRNA-seq	100401	0	0	False
SC_RS02625	SCO0132		NC_003888.3	122743	125502	+	122743	122730.0	Jeong2016_dRNA-seq	122730	0	0	False
SC_RS02645	SCO0137		NC_003888.3	130201	131001	-	131001	131066.0	Jeong2016_dRNA-seq	131066	0	0	False
SC_RS02670	SCO0142		NC_003888.3	134295	136100	-	136100	136100.0	Jeong2016_dRNA-seq	136100	0	1	True
SC_RS02785	SCO0168		NC_003888.3	158846	159304	+	158846	158768.0	Jeong2016_dRNA-seq	158768	0	0	False
SC_RS02800	SCO0170		NC_003888.3	160356	161027	-	161027	161094.0	Jeong2016_dRNA-seq	161094	0	0	False
