position	site_strand	locus_tag	old_locus_tag	gene_name	gene_start	gene_end	gene_strand	product	distance	location	within_500bp	within_2kb	timepoint	region
7328	-	SC_RS02080	SCO0003		3869	6220	+	Helicase associated domain protein	1108	downstream_far	False	True	T1	arm
7328	-	SC_RS00040	SCP1.08c		4919	5440	-	hypothetical protein	1888	upstream	False	True	T1	arm
7328	-	SC_RS01885			5312	5449	-	hypothetical protein	1879	upstream	False	True	T1	arm
7328	-	SC_RS00045	SCP1.09c		5516	6181	-	hypothetical protein	1147	upstream	False	True	T1	arm
7328	-	SC_RS01890	SCP2.06		5617	5886	+	hypothetical protein	1442	downstream_far	False	True	T1	arm
7328	-	SC_RS01895	SCP2.07c		5935	7050	-	site-specific integrase	278	promoter	True	True	T1	arm
7328	-	SC_RS02085	SCO0004		6346	7173	+	TnsA-like heteromeric transposase endonuclease subunit	155	downstream	True	True	T1	arm
7328	-	SC_RS00050	SCP1.10		6777	7271	+	hypothetical protein	57	downstream	True	True	T1	arm
7328	-	SC_RS02090	SCO0005		7154	9307	+	Mu transposase C-terminal domain-containing protein	0	gene_body	True	True	T1	arm
7328	-	SC_RS01900	SCP2.08		7201	7386	+	hypothetical protein	0	gene_body	True	True	T1	arm
7328	-	SC_RS00055	SCP1.11c		7395	8243	-	endonuclease VII domain-containing protein	67	downstream	True	True	T1	arm
7328	-	SC_RS01905	SCP2.09c		7612	7749	-	TIGR02391 family protein	284	downstream	True	True	T1	arm
7328	-	SC_RS01910			7832	8431	+	hypothetical protein	504	upstream	False	True	T1	arm
7328	-	SC_RS00060	SCP1.12c		8135	8578	-	hypothetical protein	807	downstream_far	False	True	T1	arm
7328	-	SC_RS01915	SCP2.10c		8441	9286	-	IS5 family transposase	1113	downstream_far	False	True	T1	arm
7328	-	SC_RS00065	SCP1.13c		8633	10183	-	AbiJ-related protein	1305	downstream_far	False	True	T1	arm
7328	-	SC_RS01920	SCP2.11c		9304	9726	-	hypothetical protein	1976	downstream_far	False	True	T1	arm
31832	-	SC_RS02210	SCO0035		29605	30054	-	hypothetical protein	1778	upstream	False	True	T1	arm
31832	-	SC_RS00150	SCP1.32c		29839	30219	-	hypothetical protein	1613	upstream	False	True	T1	arm
31832	-	SC_RS00155	SCP1.33c		30246	31238	-	DNA polymerase Y family protein	594	upstream	False	True	T1	arm
31832	-	SC_RS01865			30883	31425	+	hypothetical protein	407	downstream	True	True	T1	arm
31832	-	SC_RS00160	SCP1.34		31461	32399	+	SpoIIE family protein phosphatase	0	gene_body	True	True	T1	arm
31832	-	SC_RS02225	SCO0039		31625	32137	+	patatin-like phospholipase family protein	0	gene_body	True	True	T1	arm
31832	-	SC_RS02230	SCO0040		32134	33357	+	glycosyltransferase	302	promoter	True	True	T1	arm
31832	-	SC_RS00165	SCP1.35		32556	32855	+	hypothetical protein	724	upstream	False	True	T1	arm
31832	-	SC_RS00170	SCP1.36c		33166	34080	-	AraC family transcriptional regulator	1334	downstream_far	False	True	T1	arm
