tf_name	tf_sco	tf_rs	bs_start	bs_stop	bs_strand	bs_score	bs_qvalue	target_gene	target_sco	target_tss	distance_to_tss	target_strand	target_product
SigB	SCO0600	SC_RS04925	220923	220949	+	18.9082	0.000134	SC_RS01150		221378	442.0	-	IS630 family transposase
SigB	SCO0600	SC_RS04925	220923	220949	+	18.9082	0.000134	SC_RS03085	SCO0231	221247	311.0	-	hypothetical protein
SigB	SCO0600	SC_RS04925	732094	732120	-	18.9082	0.000134	SC_RS05375	SCO0691	732005	102.0	+	xanthine dehydrogenase family protein molybdopterin-binding subunit
SigB	SCO0600	SC_RS04925	1963731	1963757	-	18.9082	0.000134	SC_RS11190	SCO1832	1963594	150.0	-	alkaline shock response membrane anchor protein AmaP
PhoP	SCO7637	SC_RS40380	4167977	4167994	-	28.898	0.00153	SC_RS21070	SCO3790	4167894	91.5	-	PhoX family protein
PhoP	SCO7637	SC_RS40380	4167977	4167994	-	28.898	0.00153	SC_RS21075	SCO3791	4168158	172.5	+	VWA domain-containing protein
SigR	SCO5216	SC_RS28260	4649988	4650012	+	20.3061	0.000649	SC_RS23400	SCO4242	4649833	167.0	-	zinc ribbon domain-containing protein
SigR	SCO5216	SC_RS28260	4649988	4650012	+	20.3061	0.000649	SC_RS23405	SCO4243	4650339	339.0	-	phage tail protein
SigR	SCO5216	SC_RS28260	4649990	4650014	-	20.3061	0.000649	SC_RS23400	SCO4242	4649833	169.0	-	zinc ribbon domain-containing protein
SigR	SCO5216	SC_RS28260	4649990	4650014	-	20.3061	0.000649	SC_RS23405	SCO4243	4650339	337.0	-	phage tail protein
SigE	SCO5147	SC_RS27900	1331346	1331370	+	18.3163	0.000776	SC_RS08260	SCO1260	1330916	442.0	+	response regulator transcription factor
SigE	SCO5147	SC_RS27900	1331346	1331370	+	18.3163	0.000776	SC_RS08265	SCO1261	1331678	320.0	+	ROK family transcriptional regulator
SigE	SCO5147	SC_RS27900	4649988	4650012	+	18.3163	0.000776	SC_RS23400	SCO4242	4649833	167.0	-	zinc ribbon domain-containing protein
SigE	SCO5147	SC_RS27900	4649988	4650012	+	18.3163	0.000776	SC_RS23405	SCO4243	4650339	339.0	-	phage tail protein
SigE	SCO5147	SC_RS27900	4649990	4650014	-	18.3163	0.000776	SC_RS23400	SCO4242	4649833	169.0	-	zinc ribbon domain-containing protein
SigE	SCO5147	SC_RS27900	4649990	4650014	-	18.3163	0.000776	SC_RS23405	SCO4243	4650339	337.0	-	phage tail protein
SigB	SCO0600	SC_RS04925	615897	615923	+	18.6224	0.000514	SC_RS04790	SCO0573	616107	197.0	-	DUF1177 domain-containing protein
SigB	SCO0600	SC_RS04925	615897	615923	+	18.6224	0.000514	SC_RS04795	SCO0574	616253	343.0	+	IclR family transcriptional regulator
SigB	SCO0600	SC_RS04925	780157	780183	+	18.6224	0.000514	SC_RS05610	SCO0736	779826	344.0	-	L,D-transpeptidase family protein
SigB	SCO0600	SC_RS04925	1139556	1139582	-	18.6224	0.000514	SC_RS07350	SCO1079	1139479	90.0	+	hypothetical protein
SigB	SCO0600	SC_RS04925	2633159	2633185	-	18.6224	0.000514	SC_RS14285	SCO2450	2632795	377.0	+	SAV_2336 N-terminal domain-related protein
