locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	6mA_T1_count	6mA_T2_count	6mA_T3_count	4mC_T1_count	4mC_T2_count	4mC_T3_count	total_methyl_T1	total_methyl_T2	total_methyl_T3	has_methylation	methyl_change	log2FC_T2vsT1_deseq	padj_T2vsT1_deseq	log2FC_T3vsT1_deseq	padj_T3vsT1_deseq	DEG_T2vsT1	DEG_T3vsT1	is_DEG	expr_dir_T2	expr_dir_T3	coordination_T2	coordination_T3	in_literature_37
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	75916	76893	+	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	True	gained_T2,gained_T3	1.996267814330596	1.1875814630760875e-14	1.4151139437264222	4.047469838684222e-08	True	True	True	up	up	discordant_gain_up	discordant_gain_up	False
SC_RS03250		SCO0266	helix-turn-helix domain-containing protein	HTH (other)	254332	255198	-	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	True	lost_T2,lost_T3	0.8492831427730276	0.0761919609304948	1.8138026166426493	0.00011926975241316052	False	True	True	ns	up	methyl_change_no_expr_change	concordant_derepression	False
SC_RS04270		SCO0471	helix-turn-helix domain-containing protein	HTH (other)	491901	492881	+	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	True	lost_T2	1.526311821195577	1.2402162782138632e-05	2.150294020513286	1.7432049136714117e-10	True	True	True	up	up	concordant_derepression	ambiguous	False
SC_RS04460		SCO0508	acyl-CoA-like ligand-binding transcription factor	Other regulatory	543545	544087	+	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	True	constitutive	-2.338074935134406	1.0426868468686834e-10	-1.6020755990123994	4.13543710495839e-07	True	True	True	down	down	no_methyl_change	no_methyl_change	False
SC_RS04865		SCO0588	sensor histidine kinase	Sensor kinase	629185	630912	-	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	True	constitutive	7.3799729492186845	6.542338672626983e-186	4.267029747060983	1.976225690401385e-62	True	True	True	up	up	no_methyl_change	no_methyl_change	False
SC_RS04975		SCO0610	GntR family transcriptional regulator	GntR	649840	650610	+	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	True	constitutive	-1.9193418497004096	1.2383719774095656e-10	-1.5536011587681549	1.869387734983572e-08	True	True	True	down	down	no_methyl_change	no_methyl_change	False
SC_RS05075		SCO0632	sigma-70 family RNA polymerase sigma factor	Sigma factor	673733	674317	+	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	True	gained_T3	0.0641306457114918	0.9094625049096164	1.5296542367865764	0.0020928281790021	False	True	True	ns	up	methyl_change_no_expr_change	discordant_gain_up	False
SC_RS05485		SCO0712	helix-turn-helix transcriptional regulator	HTH (other)	753318	756143	-	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	True	gained_T2,gained_T3	-1.092554429792889	0.0335251373144556	2.499640246635073	1.647101613805465e-09	True	True	True	down	up	concordant_repression	discordant_gain_up	False
SC_RS06045		SCO0823	GntR family transcriptional regulator	GntR	872193	872633	+	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	True	gained_T3	-1.3086139961011785	3.2905704431435153e-06	-1.1500230272906309	1.496924088724813e-05	True	True	True	down	down	ambiguous	concordant_repression	False
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	922247	924913	+	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	True	gained_T2,gained_T3	1.6553679271158672	3.922442782716455e-21	0.4744709027952047	0.0076794949314642	True	False	True	up	ns	discordant_gain_up	methyl_change_no_expr_change	False
SC_RS06415		SCO0895	sigma-70 family RNA polymerase sigma factor	Sigma factor	941071	942090	-	2.0	2.0	2.0	0.0	0.0	0.0	2.0	2.0	2.0	True	constitutive	0.4760533228428107	0.4218409643902907	3.674019084223316	1.4513309705224728e-07	False	True	True	ns	up	no_methyl_change	no_methyl_change	False
SC_RS06430		SCO0897	PPC domain-containing DNA-binding protein	Other regulatory	942974	943408	-	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	True	lost_T2	1.0725951660655857	0.0157850735216154	1.956663306729379	5.749117375339759e-06	True	True	True	up	up	concordant_derepression	ambiguous	False
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	1063185	1063520	+	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	True	gained_T2,gained_T3	0.0924621478190691	0.7011306550014702	-1.1975473018234468	4.0473301064871396e-08	False	True	True	ns	down	methyl_change_no_expr_change	concordant_repression	False
SC_RS07215		SCO1052	helix-turn-helix domain-containing protein	HTH (other)	1108110	1108778	-	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	True	lost_T3	-0.4278173498979656	0.4869021347174306	3.667213510345267	5.0651250908907485e-06	False	True	True	ns	up	methyl_change_no_expr_change	concordant_derepression	False
SC_RS07750		SCO1160	sensor histidine kinase	Sensor kinase	1218590	1221178	-	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	True	gained_T3	7.895713314069832	6.685778908988326e-80	6.821010401586004	5.485767658470406e-60	True	True	True	up	up	ambiguous	discordant_gain_up	False
SC_RS07910		SCO1191	MarR family winged helix-turn-helix transcriptional regulator	MarR	1264183	1264656	-	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	True	gained_T2	-2.9236552002412837	1.6312809495587037e-18	-2.121942799396092	3.7620615177737563e-13	True	True	True	down	down	concordant_repression	ambiguous	False
SC_RS08090		SCO1227	helix-turn-helix transcriptional regulator	HTH (other)	1300601	1302022	-	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	True	gained_T2,gained_T3	4.8574849580221	1.0504968452721195e-39	4.96019504144633	1.1409741023800268e-41	True	True	True	up	up	discordant_gain_up	discordant_gain_up	False
SC_RS08620		SCO1331	LuxR C-terminal-related transcriptional regulator	Other regulatory	1406162	1408480	+	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	True	constitutive	2.402480491396414	2.902646931410837e-36	2.0940735323162403	3.4785584305728597e-28	True	True	True	up	up	no_methyl_change	no_methyl_change	False
SC_RS08720		SCO1351	helix-turn-helix transcriptional regulator	HTH (other)	1426307	1429033	+	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	True	gained_T2	0.0972739048599965	0.7980348281359255	1.979122143139818	4.533483580933533e-10	False	True	True	ns	up	methyl_change_no_expr_change	ambiguous	False
SC_RS09315		SCO1468	tetratricopeptide repeat protein	TetR	1565986	1568358	-	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	True	lost_T3	4.026952770152274	1.7832508749357542e-33	4.353737144637652	1.767786937533028e-39	True	True	True	up	up	ambiguous	concordant_derepression	False
SC_RS09425	nusB	SCO1490	transcription antitermination factor NusB	Other regulatory	1593088	1593516	-	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	True	constitutive	-1.938327723066415	4.902146201847943e-19	-2.9932843689609143	1.0510679568212857e-42	True	True	True	down	down	no_methyl_change	no_methyl_change	False
SC_RS09835		SCO1564	sigma-70 family RNA polymerase sigma factor	Sigma factor	1674273	1674773	-	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	True	lost_T2	5.5269691734079345	3.393746014177269e-24	2.7311380776602356	5.085169643293528e-07	True	True	True	up	up	concordant_derepression	ambiguous	False
SC_RS10090		SCO1616	LysR family transcriptional regulator	LysR	1728427	1729404	-	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	True	constitutive	-2.4330276119604495	7.261572119997722e-38	-2.2153257154404393	1.2979068202700094e-34	True	True	True	down	down	no_methyl_change	no_methyl_change	False
SC_RS10220		SCO1642	LacI family DNA-binding transcriptional regulator	LacI	1756624	1757634	+	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	True	constitutive	1.05620373708052	2.7678628165158977e-06	0.8091155413967871	0.00025638218592266944	True	False	True	up	ns	no_methyl_change	no_methyl_change	False
SC_RS10280		SCO1654	response regulator	Response regulator	1769156	1769827	+	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	True	constitutive	-0.1399318856944014	0.5609858913469904	-1.1753300066945511	5.0801779150478824e-08	False	True	True	ns	down	no_methyl_change	no_methyl_change	False
