gene_id	old_locus_tag	gene_name	product	protein_id	protein_len	has_DBD	has_BTAD	has_NB_ARC	has_TPR	SARP_subtype	domains_list	best_DBD_evalue	best_BTAD_evalue	bgc_name	role_in_BGC
SC_RS27585	SCO5085	NA	AfsR/SARP family transcriptional regulator	WP_003973893.1	255	TRUE	TRUE	FALSE	FALSE	small	BTAD;Trans_reg_C	6.8e-9	5.2e-51	act	CSR
SC_RS06435	SCO0898	NA	AfsR/SARP family transcriptional regulator	WP_011027426.1	660	TRUE	TRUE	FALSE	FALSE	small_long	BTAD;Trans_reg_C	1.9e-8	2.7e-43	none	global
SC_RS18200	SCO3217	NA	AfsR/SARP family transcriptional regulator	WP_011028835.1	638	TRUE	TRUE	TRUE	FALSE	medium	BTAD;NB-ARC;Trans_reg_C	2.6e-9	2.8e-45	cda	CSR
SC_RS24295	SCO4426	afsR	transcriptional regulator AfsR	WP_011029645.1	993	TRUE	TRUE	TRUE	TRUE	large	BTAD;NB-ARC;TPR_12;Trans_reg_C	1.9e-8	4.1e-47	none	global
SC_RS31630	SCO5877	NA	AfsR/SARP family transcriptional regulator	WP_016327461.1	268	TRUE	TRUE	FALSE	FALSE	small	BTAD;Trans_reg_C	3.5e-6	1.6999999999999998e-44	red	CSR
SC_RS33690	SCO6288	NA	AfsR/SARP family transcriptional regulator	WP_016327685.1	281	TRUE	TRUE	FALSE	FALSE	small	BTAD;Trans_reg_C	6.8e-9	9.1e-50	cpk	CSR
SC_RS22750	SCO4116	NA	BTAD domain-containing putative transcriptional regulator	WP_161270138.1	1102	TRUE	TRUE	FALSE	FALSE	small_long	BTAD;Trans_reg_C	2.9e-8	5.0999999999999995e-44	none	global
SC_RS13320	SCO2259	NA	BTAD domain-containing putative transcriptional regulator	WP_238363725.1	1322	TRUE	TRUE	FALSE	FALSE	small_long	BTAD;Trans_reg_C	7.8e-7	6.7e-42	none	global
