locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_exposed	baseMean	log2_baseMean_p1	nearest_methyl_distance	n_methyl_sites_2kb	gene_length	LFC_T2vsT1	LFC_T3vsT1	n_FIMO_hits
SC_RS02325		SCO0062	LacI family DNA-binding transcriptional regulator	LacI	47789	48844	-	49113	1	0	92.50991632915984	6.547047459677134	160	1	1056	-1.482151075954944	-0.7226818523959183	9
SC_RS02550		SCO0116	TetR/AcrR family transcriptional regulator	TetR	94306	94872	-	94899	1	0	63.87422278920704	6.01957344458334	1198	3	567	0.3847571846540605	-0.2053992778906588	7
SC_RS02625		SCO0132	helix-turn-helix transcriptional regulator	HTH (other)	122743	125502	+	122730	1	0	225.2844571741538	7.821993683226826	954	4	2760	1.3478072821107898	2.3289489134330177	6
SC_RS02920		SCO0194	sigma-70 family RNA polymerase sigma factor	Sigma factor	184958	185566	+	184865	1	0	625.8078027252792	9.291879328875265	1597	1	609	-1.39711883038648	-0.6190824679940575	10
SC_RS02970		SCO0204	response regulator	Response regulator	194760	195461	-	195490	1	0	3430.0330932064026	11.744427325793596	456	1	702	6.294033238583641	7.534071763657279	6
SC_RS03095		SCO0233	helix-turn-helix transcriptional regulator	HTH (other)	221699	222538	-	222571	1	0	47.42383554788814	5.597645451522068	137	3	840	0.3510988112785352	0.9778105348669064	3
SC_RS03135		SCO0241	TetR/AcrR family transcriptional regulator	TetR	229995	230669	+	229995	1	0	36.138061787905976	5.214826618778299	299	3	675	0.2967320614247226	1.2919282371871128	11
SC_RS03185		SCO0253	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	242203	242766	+	242194	1	0	73.19986180420189	6.213344594744515	116	4	564	-0.2353378035035249	-0.7205633305830927	6
SC_RS03230		SCO0262	LysR family transcriptional regulator	LysR	250805	251740	+	250805	1	0	106.65541328465385	6.750277054775198	204	4	936	0.4008340214024673	0.1857779581061298	7
SC_RS03240		SCO0264	MarR family winged helix-turn-helix transcriptional regulator	MarR	252946	253398	+	252920	1	0	59.185734193842436	5.911349660829419	1558	3	453	0.927899550045083	0.2954702719152247	6
SC_RS03330		SCO0282	DeoR/GlpR family DNA-binding transcription regulator	DeoR	272898	273656	+	272835	1	0	74.78998177096643	6.243935254569378	1087	1	759	0.2007804528858386	-0.412050094183533	7
SC_RS03355		SCO0287	AraC-like ligand-binding domain-containing protein	AraC	279691	280695	+	279597	1	0	86.48657993496629	6.450989825590633	773	2	1005	0.6109724139132588	0.6048174752981932	6
SC_RS03410		SCO0298	LysR family transcriptional regulator	LysR	292656	293519	-	293519	1	0	466.6920804150581	8.869415189105329	917	2	864	2.162880179285506	0.692429057457416	3
SC_RS03465		SCO0310	TetR/AcrR family transcriptional regulator	TetR	306816	307460	-	307492	1	0	67.45623252721481	6.097109991034897	668	2	645	0.1690309381069101	-0.3735438344238591	4
