# Program:featureCounts v2.1.1; Command:"/Users/okaban/miniconda3/envs/rna-seq/bin/featureCounts" "-T" "6" "-p" "--countReadPairs" "-B" "-C" "-s" "2" "-t" "gene" "-g" "gene_id" "-a" "/Users/okaban/SFC-CNS Dropbox/Takeda Tomoki/my_projects/2026/M145_RNA-seq/data/RH250715199/02_M145-ref/ncbi_dataset/data/GCF_000203835.1/genomic.gtf" "-o" "/Users/okaban/bioinfo/rna-seq/03_quantification/data/featureCounts_s2/featureCounts_M145_s2.txt" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_1.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_2.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_1.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_4.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_2.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_4.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_1.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_2.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_1.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_4.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_2.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_4.Aligned.sortedByCoord.out.bam
SC_RS02065	NC_003888.3	577	699	+	123	0	0	0	1	2	1	2	1	2
SC_RS02070	NC_003888.3	800	1123	+	324	0	1	0	0	0	1	0	0	0
SC_RS02075	NC_003888.3	1144	3813	+	2670	6	1	2	7	4	12	3	4	3
SC_RS02080	NC_003888.3	3869	6220	+	2352	2	1	2	4	3	2	2	2	3
SC_RS02085	NC_003888.3	6346	7173	+	828	0	0	0	105	70	71	33	28	31
SC_RS02090	NC_003888.3	7154	9307	+	2154	0	0	0	76	54	60	25	18	15
SC_RS02095	NC_003888.3	9424	10410	+	987	0	0	0	3	0	4	0	2	1
SC_RS02100	NC_003888.3	10407	11363	+	957	0	0	0	2	0	0	3	1	4
SC_RS02105	NC_003888.3	11617	11964	+	348	0	0	0	0	0	0	2	0	1
SC_RS02110	NC_003888.3	12366	13457	+	1092	0	0	0	18	8	11	18	9	9
SC_RS02115	NC_003888.3	13517	13621	-	105	0	0	0	1	1	0	1	1	0
SC_RS02120	NC_003888.3	14044	14343	-	300	3	0	2	2	1	0	1	3	1
SC_RS02125	NC_003888.3	14739	15360	-	622	1	0	0	0	0	0	0	1	0
SC_RS02130	NC_003888.3	15317	15595	-	279	1	0	0	0	1	0	0	0	0
SC_RS02135	NC_003888.3	16070	17302	-	1233	0	2	1	0	3	1	6	1	6
SC_RS02140	NC_003888.3	17715	17918	+	204	0	0	0	0	0	0	1	0	1
SC_RS02145	NC_003888.3	17919	18263	+	345	0	0	0	0	0	0	2	0	1
SC_RS02150	NC_003888.3	18485	19363	-	879	2	2	2	3	1	3	2	5	2
SC_RS02155	NC_003888.3	19971	21620	+	1650	0	0	0	0	1	0	10	3	11
SC_RS02160	NC_003888.3	21758	22210	+	453	7	8	13	6	2	9	50	12	33
SC_RS02165	NC_003888.3	22156	22500	-	345	0	0	1	1	1	0	28	5	35
SC_RS02170	NC_003888.3	22624	22761	-	138	0	0	2	0	0	0	14	2	14
SC_RS02175	NC_003888.3	22742	23010	+	269	0	1	1	0	1	1	35	3	19
SC_RS02180	NC_003888.3	23343	23831	+	489	98	79	100	79	69	84	77	33	53
SC_RS02185	NC_003888.3	24378	24614	-	237	5	1	3	0	0	2	29	5	26
SC_RS02190	NC_003888.3	25248	25871	+	624	2	2	1	1	1	0	39	5	36
SC_RS02195	NC_003888.3	25843	26385	-	543	62	69	79	31	16	20	52	28	44
SC_RS02200	NC_003888.3	26527	28728	-	2202	2	0	0	869	725	789	733	486	453
SC_RS02205	NC_003888.3	29040	29519	+	480	0	0	0	0	0	1	38	7	35
SC_RS02210	NC_003888.3	29605	30054	-	450	0	1	1	1	3	0	22	5	27
SC_RS02215	NC_003888.3	30155	30241	-	87	0	2	1	1	2	0	9	5	9
SC_RS02220	NC_003888.3	30379	31274	-	896	78	83	109	125	111	153	271	284	281
SC_RS02225	NC_003888.3	31625	32137	+	513	2	0	0	3	1	1	31	7	14
SC_RS02230	NC_003888.3	32134	33357	+	1224	0	1	0	1	0	1	74	13	41
SC_RS02235	NC_003888.3	33360	33845	+	486	0	0	0	0	0	0	19	5	25
