tf_id	old_locus_tag	product	tf_family	module	coordination_T3	LFC_T2	LFC_T3	tf_start	tf_end	tf_strand	n_neighbors_10kb	mean_absLFC_T2_10kb	mean_absLFC_T3_10kb	DEG_rate_T3_10kb	n_neighbors_20kb	mean_absLFC_T2_20kb	mean_absLFC_T3_20kb	DEG_rate_T3_20kb	n_neighbors_50kb	mean_absLFC_T2_50kb	mean_absLFC_T3_50kb	DEG_rate_T3_50kb	concordance_rate	concordance_binom_p	distance_rho	distance_rho_p
SC_RS22980		LacI family DNA-binding transcriptional regulator	LacI			-0.0261795784401953	-1.386678225928751	4575112	4576134	-	21	1.289139889334503	1.1696621900634678	0.8571428571428571	43	1.562414250338914	1.4415282829890372	0.813953488372093	99	1.5053688915334427	1.3452037247907358	0.7272727272727273	0.6428571428571429	0.044214773493877146	-0.11942457395329265	0.24396917834948983
SC_RS22780		MarR family winged helix-turn-helix transcriptional regulator	MarR	2.0		-3.79957961958281	-3.5392565751456435	4529468	4530016	+	12	1.6279457239913404	1.3580856273234945	0.6666666666666666	27	1.289916586836561	1.1326566795781745	0.6296296296296297	86	1.502858500427757	1.302274286109652	0.6627906976744186	0.5769230769230769	0.2785985469818115	0.022131887985546522	0.844520108983128
SC_RS06310		helix-turn-helix transcriptional regulator	LuxR	1.0		1.688781934919955	0.3646558250554286	922247	924913	+	21	1.8147024407772152	1.617974959531864	0.7619047619047619	43	1.8450885064879858	2.1870066258130985	0.813953488372093	105	1.6589294010726474	1.847869322773975	0.7428571428571429	0.825	2.1138511328899767e-05	-0.034663912425326265	0.7347195639768955
SC_RS07910		MarR family winged helix-turn-helix transcriptional regulator	MarR	2.0		-2.8247283435391974	-2.1045634810451976	1264183	1264656	-	16	2.371841276268981	1.5128710845383833	0.75	31	1.8136489487467058	1.547488670411101	0.8387096774193549	90	1.967033734109839	1.871593421508487	0.8111111111111111	0.5806451612903226	0.23656482994556427	0.20956496686833764	0.047435758324191106
SC_RS25990		LysR family transcriptional regulator	LysR	2.0		-0.5614154947959401	-1.193490472610386	5178021	5178941	+	17	1.6731279063937539	1.8411320593650922	0.8823529411764706	33	1.3682995202246095	1.5559674118592808	0.8181818181818182	100	1.4962147229655003	1.8690204779807655	0.87	0.6060606060606061	0.1481031842995435	0.41804980498049804	1.505669308481865e-05
SC_RS35195		TetR/AcrR family transcriptional regulator	TetR	2.0		-1.5315166238060172	-1.5502641674059274	7319193	7319846	-	14	1.2705085943708376	1.9516310023957708	0.8571428571428571	30	1.2224225578273369	1.6846976704092875	0.8333333333333334	69	1.2206900579389113	2.242706953613395	0.8695652173913043	0.26666666666666666	0.9973885603249073	0.219327731092437	0.07018638650608101
SC_RS38785		SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	1.0		1.9292968279677385	1.4941315998411235	8120541	8121440	+	20	0.6962442586545011	1.1467232109640124	0.65	34	0.689405814721601	1.0206860693885447	0.6764705882352942	96	1.1456186048589325	1.5063308189869822	0.75	0.47058823529411764	0.69620431936346	0.168138820088926	0.10717232023094315
SC_RS39260		LacI family DNA-binding transcriptional regulator	LacI			0.6752788836681285	1.1268958401806786	8225904	8226962	+	17	1.3094321939899813	2.217818795759888	0.9411764705882353	37	1.4624239864410447	1.7278668901670762	0.8918918918918919	99	1.282525175517486	1.9537674639252047	0.797979797979798	0.6486486486486487	0.04943587479647249	-0.19606662933930571	0.056877729680948695
SC_RS17795		response regulator transcription factor	LuxR	1.0		3.4047840224669184	3.160115290808316	3434985	3435764	-	18	1.1374504438483501	1.5008543133064274	0.9444444444444444	34	1.4008284825501878	1.758250690848582	0.9411764705882353	87	1.1398647759973062	1.5087681761926857	0.8275862068965517	0.20588235294117646	0.9999024372082204	0.008261617900172118	0.9405443735145311
SC_RS22135		SigE family RNA polymerase sigma factor	Sigma factor			0.2650411061157262	3.231774411787676	4397767	4398372	+	16	1.430158119023386	1.4426236802547485	0.75	41	1.2667070704794812	1.1769234199249288	0.7073170731707317	102	1.1543231967041814	1.3254393629854548	0.7745098039215687	0.4594594594594595	0.7443121092073852	0.023724905046120456	0.818524715864519
SC_RS37910		ATP-binding protein	LuxR			0.652518858032593	-0.0697866123175507	7929510	7932251	-	16	0.7725510042752959	1.5085748672974468	0.5625	36	0.6896757897518424	2.1353655946743766	0.75	84	0.7732496276632275	2.2109157788734612	0.7738095238095238	0.12121212121212122	0.9999992994125932	0.06998264893001735	0.545316472244828
