name	locus_tag	tier	category	bgc	strand	start	end	6mA_T1_count	6mA_T1_freq	6mA_T2_count	6mA_T2_freq	6mA_T3_count	6mA_T3_freq	4mC_T1_count	4mC_T1_freq	4mC_T2_count	4mC_T2_freq	4mC_T3_count	4mC_T3_freq	total_meth_T1	total_meth_T2	total_meth_T3	log2FC_T2vsT1	padj_T2vsT1	log2FC_T3vsT1	padj_T3vsT1	log2FC_T3vsT2	padj_T3vsT2	6mA_change_T2vsT1	6mA_change_T3vsT1	6mA_change_T3vsT2	4mC_change_T2vsT1	4mC_change_T3vsT1	4mC_change_T3vsT2	expr_change_T2vsT1	expr_change_T3vsT1	expr_change_T3vsT2	combined_coordination_T2vsT1	combined_coordination_T3vsT1	combined_coordination_T3vsT2	promoter_sites	has_AAGCCCG	motif_positions
bldA	SC_RS28375	1	global		+	5700131	5701606	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-1.8102154746576544	3.36776203650419e-28	-1.7686630240486378	5.588280093772458e-29	0.0417987359086751	0.8295062239025965	absent	absent	absent	absent	absent	absent	down	down	stable	expr_only	expr_only	no_change	0	False	
bldB	SC_RS30830	1	global		-	6243938	6244234	0	0.0	0	0.0	0	0.0	1	60.22	1	63.81	1	66.89	1	1	1	1.432858042863018	7.047260698184702e-10	0.4567909498893702	0.0489113417657471	-0.9574549712794808	3.974440069873876e-05	absent	absent	absent	stable	stable	stable	up	mild_change	mild_change	expr_only	expr_only	expr_only	1	True	6244200
bldC	SC_RS22590	1	global		+	4485363	4485569	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.9503499478847856	0.00013668493259151934	-0.1430321859004282	0.580535821237117	-1.0950752973671425	1.154365950466464e-05	absent	absent	absent	absent	absent	absent	mild_change	stable	down	expr_only	no_change	expr_only	0	False	
bldD	SC_RS09420	1	global		+	1592381	1592884	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-1.05479477317521	2.6937232535070297e-05	-1.899293122841404	3.0093522992941845e-14	-0.8097003885836497	0.0013800164755652	absent	absent	absent	absent	absent	absent	down	down	mild_change	expr_only	expr_only	expr_only	0	False	
bldG	SC_RS19880	1	global		-	3924251	3924592	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	1.5339730549690782	1.4884760367328702e-10	0.5461348947524106	0.0198750815464822	-0.956104878122776	6.977035310893539e-05	absent	absent	absent	absent	absent	absent	up	mild_change	mild_change	expr_only	expr_only	expr_only	0	False	
bldH/adpA	SC_RS16045	1	global		+	3047135	3048331	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.2855693917650436	0.2028055378125261	-0.9746473527845678	3.5803343407677993e-06	-1.2688058773414026	3.5749631164550063e-09	absent	absent	absent	absent	absent	absent	stable	mild_change	down	no_change	expr_only	expr_only	0	False	
bldM	SC_RS26000	1	global		+	5179727	5180338	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	5.824307395274568	2.9217264567010627e-100	5.196971877449515	5.383958625322636e-80	-0.5931820354460927	0.022658022482054	absent	absent	absent	absent	absent	absent	up	up	mild_change	expr_only	expr_only	expr_only	0	False	
bldN	SC_RS18720	1	global		+	3675181	3675975	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	7.549826853336102	6.1680943167148064e-167	6.6317424972834855	5.363597194109813e-129	-0.8807320421478091	0.00023246093728662725	absent	absent	absent	absent	absent	absent	up	up	mild_change	expr_only	expr_only	expr_only	0	False	
afsR	SC_RS24295	1	global		-	4842787	4845768	1	63.07	1	64.91	1	70.43	0	0.0	0	0.0	0	0.0	1	1	1	-0.2613866005478055	0.1043531541894939	-0.9176001898500752	1.5220487151931914e-09	-0.6523794871022786	2.9556875237180236e-05	stable	stable	stable	absent	absent	absent	stable	mild_change	mild_change	no_change	expr_only	expr_only	1	False	
afsK	SC_RS24280	1	global		+	4839304	4841703	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-1.3967842952900873	2.809699741865169e-22	-2.0637315043761135	5.368402322847441e-47	-0.6552888217710243	1.1625986554341727e-05	absent	absent	absent	absent	absent	absent	down	down	mild_change	expr_only	expr_only	expr_only	0	False	
