locus_tag	gene_name	tf_family	tss	tss_source	is_exposed	methyl_score_T1	methyl_score_T2	methyl_change	n_sites_T1	n_sites_T2	LFC_T2vsT1	padj
SC_RS02455		LysR	75916	gene_start	1	0.0	0.7856000000000001	0.7856000000000001	0	1	1.996267814330596	1.1875814630760875e-14
SC_RS03250		HTH (other)	255198	gene_start	1	0.5337	0.6142	0.08050000000000002	1	1	0.8492831427730276	0.0761919609304948
SC_RS04270		HTH (other)	491901	gene_start	1	0.5961	0.0	-0.5961	1	0	1.526311821195577	1.2402162782138632e-05
SC_RS05075		Sigma factor	673733	gene_start	1	0.0	0.0	0.0	0	0	0.0641306457114918	0.9094625049096164
SC_RS05485		HTH (other)	756143	gene_start	1	0.0	1.4354	1.4354	0	2	-1.092554429792889	0.0335251373144556
SC_RS06045		GntR	872193	gene_start	1	0.0	0.0	0.0	0	0	-1.3086139961011785	3.2905704431435153e-06
SC_RS06310		HTH (other)	922247	experimental	1	0.0	0.5313	0.5313	0	1	1.6553679271158672	3.922442782716455e-21
SC_RS06430		Other regulatory	943408	gene_start	1	0.5952000000000001	0.0	-0.5952000000000001	1	0	1.0725951660655857	0.0157850735216154
SC_RS07000		ArsR	1063185	gene_start	1	0.0	0.8798999999999999	0.8798999999999999	0	1	0.0924621478190691	0.7011306550014702
SC_RS07215		HTH (other)	1108778	gene_start	1	1.345	0.941	-0.404	2	1	-0.4278173498979656	0.4869021347174306
SC_RS07750		Sensor kinase	1221178	gene_start	1	0.0	0.5153	0.5153	0	1	7.895713314069832	6.685778908988326e-80
SC_RS07910		MarR	1264654	experimental	1	0.6254	1.8872	1.2618	1	3	-2.9236552002412837	1.6312809495587037e-18
SC_RS08090		HTH (other)	1302022	gene_start	1	0.0	0.8776	0.8776	0	1	4.8574849580221	1.0504968452721195e-39
SC_RS09315		TetR	1568358	gene_start	1	0.5464	0.5313	-0.015100000000000002	1	1	4.026952770152274	1.7832508749357542e-33
SC_RS09835		Sigma factor	1674773	gene_start	1	0.5027	0.0	-0.5027	1	0	5.5269691734079345	3.393746014177269e-24
SC_RS10435		TetR	1805076	gene_start	1	1.3087	1.3576	0.048899999999999944	2	2	1.991505486717247	1.0409101822101902e-05
SC_RS11515		DeoR	2031485	gene_start	1	0.9196	0.9194	-0.00019999999999997797	1	1	1.6809431847299388	0.0001699613002738032
SC_RS13145		TetR	2387313	gene_start	1	0.5136	0.0	-0.5136	1	0	-2.7985256796387907	1.4619202996223605e-21
SC_RS13965	fasR	Other regulatory	2558045	gene_start	1	1.989	1.8061	-0.18290000000000006	3	3	-1.3096522610330428	3.848248885630113e-15
SC_RS15270		Sigma factor	2870568	gene_start	1	0.7424	0.8227	0.08030000000000004	1	1	-1.7747397059724868	2.120495197321675e-07
SC_RS15485	fxsT	TetR	2920569	gene_start	1	0.504	0.5489	0.04490000000000005	1	1	0.0972640262333668	0.807059771939028
SC_RS16855		Other regulatory	3206684	gene_start	1	0.507	0.0	-0.507	1	0	-1.6613775957407972	2.9831552655051355e-14
SC_RS17670	mfd	Other regulatory	3408313	gene_start	1	0.8612000000000001	0.7786	-0.08260000000000012	1	1	-0.3269667987752288	0.0592575079351018
SC_RS17795		Response regulator	3435935	experimental	1	0.8597	1.4593	0.5996	1	2	3.862293400136804	1.104230837631596e-70
SC_RS21680		Other regulatory	4303613	gene_start	1	0.0	0.5207	0.5207	0	1	-2.5696452550254967	1.3118774690164058e-32
SC_RS22135		Sigma factor	4397767	experimental	1	2.0282999999999998	2.0822	0.05390000000000006	3	3	0.216302293760551	0.4473362277968655
SC_RS22780		MarR	4529468	experimental	1	1.1595	0.5146999999999999	-0.6448	2	1	-3.862409740149491	2.6804264118874064e-83
SC_RS22980		LacI	4576134	experimental	1	1.4794999999999998	1.4441	-0.035399999999999876	2	2	-0.0222782102607179	0.926132348542036
SC_RS23710		TetR	4719673	gene_start	1	0.0	0.0	0.0	0	0	-1.1485908521819146	6.724953217511754e-06
SC_RS24635		Other regulatory	4914637	gene_start	1	0.5843	1.1332	0.5488999999999999	1	2	-2.885192098520523	2.39121332598803e-13
SC_RS25370		TetR	5063734	gene_start	1	0.5498	0.0	-0.5498	1	0	-1.2374927770659256	2.953020559404361e-08
SC_RS25990		LysR	5178021	experimental	1	0.8553000000000001	0.9420999999999999	0.08679999999999988	1	1	-0.5619109836197297	0.0059447432079914
SC_RS26855	sigJ	Sigma factor	5373018	gene_start	1	0.0	0.0	0.0	0	0	0.0232527665501622	0.968761700368794
SC_RS27105		IclR	5428166	gene_start	1	1.139	1.1207	-0.018299999999999983	2	2	-1.788905032851815	5.826692227034335e-19
SC_RS27300		HTH (other)	5461950	gene_start	1	1.27	1.1145	-0.15549999999999997	2	2	-2.0816956167144225	2.2933528337691613e-13
SC_RS28630		Sensor kinase	5762143	gene_start	1	0.0	0.5402	0.5402	0	1	-0.0369786446381299	0.8414520406331445
SC_RS29350	tcrA	Other regulatory	5905174	gene_start	1	0.0	0.5193	0.5193	0	1	1.1870150801249613	3.0865283741764397e-06
SC_RS29355		Response regulator	5908036	gene_start	1	0.0	0.0	0.0	0	0	-2.0721552618354653	2.1847389564353058e-13
SC_RS30140		Other regulatory	6087374	gene_start	1	1.3178999999999998	0.8732	-0.4446999999999999	2	1	-0.5520993440395129	0.0663544133440707
SC_RS31385		Response regulator	6378663	gene_start	1	0.5013000000000001	0.0	-0.5013000000000001	1	0	1.3645614961116626	1.8557352193124634e-07
SC_RS32025		TetR	6527068	gene_start	1	1.3565	1.1378	-0.21870000000000012	2	2	-2.276955921465654	5.0560369061422746e-11
SC_RS33745		TetR	6959844	gene_start	1	0.5657	0.0	-0.5657	1	0	-1.4625627834801054	3.995221205154786e-07
SC_RS33895		Other regulatory	6994433	gene_start	1	0.539	0.6191	0.08009999999999995	1	1	1.2456809977015784	3.2118275643664055e-05
SC_RS34060		Sensor kinase	7030354	gene_start	1	0.0	0.0	0.0	0	0	1.6423366912164392	0.0005983805434141423
SC_RS35195		TetR	7319960	experimental	1	0.5926	0.5590999999999999	-0.033500000000000085	1	1	-1.6493677294403373	5.3649560693093984e-11
SC_RS35525		Sensor kinase	7409680	gene_start	1	0.5294	0.0	-0.5294	1	0	1.192730313621187	9.345178045249545e-05
SC_RS35610	ramR	Response regulator	7427004	gene_start	1	0.6442	1.1025999999999998	0.4583999999999998	1	2	8.847923903643316	3.332752738380108e-11
SC_RS36220		HTH (other)	7567666	gene_start	1	0.0	0.6209	0.6209	0	1	1.7717150262982868	0.0106912764751931
SC_RS36820		HTH (other)	7688201	gene_start	1	0.95	1.7862	0.8362	1	2	-2.6512168805872203	0.0002546877579960293
SC_RS37675		Sensor kinase	7877241	gene_start	1	0.0	0.0	0.0	0	0	0.5193064994679604	0.3202105107832096
SC_RS38475		Other regulatory	8062135	gene_start	1	0.0	0.9231	0.9231	0	1	9.530292574912137	1.8903837971568821e-252
SC_RS38610		HTH (other)	8086495	gene_start	1	0.0	1.1946	1.1946	0	2	1.459130272910083	1.8372545252536231e-09
SC_RS38785		Sigma factor	8120403	experimental	1	0.0	0.7639	0.7639	0	1	1.9106358305601812	6.405123198255963e-10
SC_RS39850		MerR	8350073	gene_start	1	0.0	0.5114	0.5114	0	1	0.841167050999035	0.0122301805229151
SC_RS40040		ROK	8392310	gene_start	1	0.0	1.3769999999999998	1.3769999999999998	0	2	-1.212956784482011	1.9798837921785498e-05
SC_RS40435		Response regulator	8475908	gene_start	1	0.5128	0.5266	0.013799999999999923	1	1	1.045517150533947	0.0005321444050626907
SC_RS40740		Sensor kinase	8546786	gene_start	1	0.0	1.6763	1.6763	0	2	3.323752560787572	5.5402957287204644e-31
SC_RS26000		LuxR	5179609	experimental	0	0.0	0.0	0.0	0	0	5.795286242089202	2.9691159709633507e-116
SC_RS22590		MerR	4485240	experimental	0	0.0	0.0	0.0	0	0	0.9164859003169284	4.73329467663558e-05
SC_RS41270		TetR	8644141	experimental	0	0.0	0.0	0.0	0	0	0.8338429523541953	0.0038774289642196
SC_RS40940		MarR	8586491	experimental	0	0.0	0.0	0.0	0	0	-1.856195974109961	6.398763898222191e-09
SC_RS40930		MarR	8584484	experimental	0	0.0	0.0	0.0	0	0	-0.3431192474391504	0.3984053220979504
SC_RS40695		GntR	8539362	experimental	0	0.0	0.0	0.0	0	0	1.2596973595672278	1.2650021127799425e-07
SC_RS40665		MarR	8532086	experimental	0	0.0	0.0	0.0	0	0	-0.5342193488592122	0.1376797921682791
SC_RS39710		LacI	8315741	experimental	0	0.0	0.8423999999999999	0.8423999999999999	0	1	-0.0547016902629088	0.8197068922355665
SC_RS38605		Sigma factor	8086372	experimental	0	0.0	0.6559	0.6559	0	1	0.808496757804869	0.0011120742558743
SC_RS37690		LuxR	7881832	experimental	0	0.85	0.9074	0.05740000000000001	1	1	-0.338952289690399	0.0581863373041291
SC_RS37660		MerR	7874176	experimental	0	1.8567000000000002	1.9153	0.05859999999999976	2	2	-0.3937666553286359	0.294302347004211
SC_RS37565		PadR	7857217	experimental	0	0.0	0.0	0.0	0	0	0.5545900777859996	0.1217474318097922
SC_RS37535		MarR	7850207	experimental	0	0.0	0.0	0.0	0	0	-0.5709062305655171	0.0922169961996228
SC_RS37510		GntR	7846475	experimental	0	0.0	0.0	0.0	0	0	2.429051166832924	3.831032385618181e-36
SC_RS37435		MarR	7835298	experimental	0	0.0	0.0	0.0	0	0	0.0169186915045023	0.9481176172370216
SC_RS37350		LysR	7812112	experimental	0	0.5655	0.5778	0.012299999999999978	1	1	-0.4372980282374796	0.1224234393957308
SC_RS36140		TetR	7552555	experimental	0	0.0	0.0	0.0	0	0	-0.3402772720876396	0.1041642490652292
SC_RS35560		HTH (other)	7416045	experimental	0	0.0	0.0	0.0	0	0	1.1111792325796952	2.4457452536838867e-06
SC_RS35300		MarR	7340945	experimental	0	0.0	0.8445	0.8445	0	1	0.9295318123849786	0.000906789606878172
SC_RS35020		GntR	7267200	experimental	0	0.0	0.0	0.0	0	0	-1.1445500338974468	1.917314695600739e-07
SC_RS34880		HTH (other)	7232198	experimental	0	0.0	1.0293999999999999	1.0293999999999999	0	2	0.2175967449435511	0.312131966670767
SC_RS34245		HTH (other)	7077312	experimental	0	0.5509000000000001	0.6678000000000001	0.1169	1	1	0.7486075262073955	0.0026535908522328
SC_RS33805		TetR	6972729	experimental	0	0.0	0.0	0.0	0	0	-0.4637445345371015	0.0257236884321203
SC_RS33575		TetR	6891300	experimental	0	0.0	0.0	0.0	0	0	2.8894294026717073	1.1567836947012859e-42
SC_RS33480		HTH (other)	6869497	experimental	0	0.0	0.0	0.0	0	0	-0.8615879587069945	5.4020845970549846e-05
SC_RS32970		TetR	6744799	experimental	0	3.4848000000000003	3.3886000000000003	-0.09620000000000006	4	4	-0.4318116321386172	0.0285045188567538
SC_RS32950		Sigma factor	6741364	experimental	0	0.0	0.0	0.0	0	0	0.4711436266645842	0.0548861421716528
SC_RS32285		Other regulatory	6589532	experimental	0	0.0	0.0	0.0	0	0	-0.6761353725440177	0.0104630251900445
SC_RS32280		MarR	6588178	experimental	0	0.0	0.0	0.0	0	0	1.9310588983148491	1.4441565270132933e-14
SC_RS32255		HTH (other)	6580144	experimental	0	0.0	0.0	0.0	0	0	0.8153657658875949	0.00032107862245302053
SC_RS32230		HTH (other)	6574715	experimental	0	0.0	0.0	0.0	0	0	0.6665359000930072	0.0028520036987845
SC_RS31920		Sigma factor	6504108	experimental	0	0.0	0.0	0.0	0	0	-0.416139241813153	0.1853969076783086
SC_RS31650		Sigma factor	6438972	experimental	0	0.5205	0.643	0.12250000000000005	1	1	0.5110580943111825	0.012185550486025
SC_RS31400		HTH (other)	6382678	experimental	0	0.6472	0.5922999999999999	-0.05490000000000006	1	1	0.395231498356761	0.1511527446763985
SC_RS31340		Sigma factor	6367511	experimental	0	0.9434999999999999	1.4413999999999998	0.4978999999999999	1	2	-0.295546798992289	0.1624619250511849
SC_RS31130		Response regulator	6315347	experimental	0	0.0	0.0	0.0	0	0	-3.688307491763571	2.0602051673190763e-16
SC_RS31005		HTH (other)	6293028	experimental	0	0.0	0.0	0.0	0	0	0.0869636765616841	0.7021581844286124
SC_RS30985		HTH (other)	6289046	experimental	0	0.0	0.0	0.0	0	0	1.731104544569808	7.306916478479449e-24
SC_RS30675		LacI	6201761	experimental	0	0.0	0.0	0.0	0	0	-0.9948365433760432	0.0005561634368165055
SC_RS30495		Lrp	6155949	experimental	0	0.0	0.0	0.0	0	0	-2.087396818685938	1.839546980244876e-24
SC_RS30335		TetR	6121990	experimental	0	0.0	0.0	0.0	0	0	1.00046248982828	4.7545557421323785e-06
