locus_tag,motif_count,has_motif,positions,is_coordinated
SC_RS02065,12,True,"[-127, -109, -72, -36, -6, 31, -127, -109, -72, -36, -6, 31]",False
SC_RS02070,14,True,"[-295, -259, -229, -192, -151, -66, -43, -295, -259, -229, -192, -151, -66, -43]",False
SC_RS02075,10,True,"[-297, -249, -223, -143, -109, -297, -249, -223, -143, -109]",False
SC_RS02080,12,True,"[-224, -169, -23, 24, 31, 41, -224, -169, -23, 24, 31, 41]",False
SC_RS02085,8,True,"[-244, -172, -134, -73, -244, -172, -134, -73]",False
SC_RS02090,14,True,"[-282, -249, -216, -209, -157, -30, 30, -282, -249, -216, -209, -157, -30, 30]",True
SC_RS02095,18,True,"[-278, -272, -266, -211, -176, -108, -90, -86, -61, -278, -272, -266, -211, -176, -108, -90, -86, -61]",False
SC_RS02100,16,True,"[-222, -217, -204, -172, -30, -24, -18, 5, -222, -217, -204, -172, -30, -24, -18, 5]",False
SC_RS02110,14,True,"[-280, -238, -195, -181, -45, -17, 43, -280, -238, -195, -181, -45, -17, 43]",False
SC_RS02120,20,True,"[-277, -269, -256, -77, -67, -25, -18, -13, 8, 20, -277, -269, -256, -77, -67, -25, -18, -13, 8, 20]",False
SC_RS02130,14,True,"[-298, -261, -235, -216, -73, -59, 34, -298, -261, -235, -216, -73, -59, 34]",False
SC_RS02135,16,True,"[-262, -199, -189, -175, -87, -59, -48, -17, -262, -199, -189, -175, -87, -59, -48, -17]",False
SC_RS02140,16,True,"[-241, -227, -217, -154, -69, 26, 30, 36, -241, -227, -217, -154, -69, 26, 30, 36]",False
SC_RS02145,24,True,"[-273, -178, -174, -168, -152, -147, -140, -112, -79, -49, -10, 24, -273, -178, -174, -168, -152, -147, -140, -112, -79, -49, -10, 24]",False
SC_RS02150,0,False,[],False
SC_RS02155,10,True,"[-297, -285, -212, -123, -9, -297, -285, -212, -123, -9]",False
SC_RS02160,8,True,"[-289, -235, -226, -162, -289, -235, -226, -162]",False
SC_RS02180,10,True,"[-290, -271, -199, -114, 22, -290, -271, -199, -114, 22]",False
SC_RS02185,22,True,"[-284, -277, -264, -187, -180, -161, -108, -59, -23, -4, 11, -284, -277, -264, -187, -180, -161, -108, -59, -23, -4, 11]",False
SC_RS02190,10,True,"[-300, -296, -114, -89, -64, -300, -296, -114, -89, -64]",False
SC_RS02195,4,True,"[-285, -133, -285, -133]",False
SC_RS02200,10,True,"[-260, -244, -158, -99, -76, -260, -244, -158, -99, -76]",False
SC_RS02205,14,True,"[-239, -216, -157, -71, -55, 13, 45, -239, -216, -157, -71, -55, 13, 45]",False
SC_RS02210,6,True,"[-247, -150, -117, -247, -150, -117]",False
SC_RS02225,10,True,"[-246, -242, -201, -164, -91, -246, -242, -201, -164, -91]",False
SC_RS02230,16,True,"[-299, -286, -270, -226, -196, -75, -70, -7, -299, -286, -270, -226, -196, -75, -70, -7]",False
SC_RS02235,16,True,"[-249, -226, -144, -130, -93, -52, -41, 34, -249, -226, -144, -130, -93, -52, -41, 34]",False
SC_RS02240,18,True,"[-287, -271, -247, -154, -145, -124, -100, -82, 36, -287, -271, -247, -154, -145, -124, -100, -82, 36]",False
SC_RS02245,8,True,"[-59, -38, -22, 25, -59, -38, -22, 25]",False
SC_RS02250,12,True,"[-286, -247, -181, -114, -104, 26, -286, -247, -181, -114, -104, 26]",False
SC_RS02255,14,True,"[-257, -198, -194, -171, -41, -31, 36, -257, -198, -194, -171, -41, -31, 36]",False
SC_RS02260,20,True,"[-282, -211, -206, -189, -137, -120, -61, -12, -4, 21, -282, -211, -206, -189, -137, -120, -61, -12, -4, 21]",False
SC_RS02265,12,True,"[-274, -135, -82, -22, 26, 40, -274, -135, -82, -22, 26, 40]",False
SC_RS02270,14,True,"[-281, -241, -207, -193, -145, -85, -32, -281, -241, -207, -193, -145, -85, -32]",False
SC_RS02275,6,True,"[-189, -49, 7, -189, -49, 7]",False
SC_RS02285,6,True,"[-130, -27, -13, -130, -27, -13]",False
SC_RS02290,8,True,"[-299, -232, -50, 27, -299, -232, -50, 27]",True
SC_RS02295,10,True,"[-298, -221, -39, 28, 33, -298, -221, -39, 28, 33]",True
SC_RS02305,6,True,"[-174, -168, -125, -174, -168, -125]",False
SC_RS02310,2,True,"[-211, -211]",False
SC_RS02315,14,True,"[-295, -238, -179, -152, -143, -107, -65, -295, -238, -179, -152, -143, -107, -65]",False
SC_RS02320,4,True,"[-296, -93, -296, -93]",False
SC_RS02325,16,True,"[-195, -149, -137, -119, -114, -59, -33, 11, -195, -149, -137, -119, -114, -59, -33, 11]",False
SC_RS02330,8,True,"[-289, -184, 33, 39, -289, -184, 33, 39]",False
SC_RS02335,8,True,"[-257, -216, -205, 42, -257, -216, -205, 42]",False
SC_RS02340,6,True,"[-90, -79, -38, -90, -79, -38]",False
SC_RS02345,20,True,"[-217, -209, -199, -139, -85, -71, -54, 20, 36, 40, -217, -209, -199, -139, -85, -71, -54, 20, 36, 40]",False
SC_RS02350,8,True,"[-248, -163, -100, -94, -248, -163, -100, -94]",False
SC_RS02355,4,True,"[-138, 46, -138, 46]",False
SC_RS02360,14,True,"[-264, -214, -205, -138, -73, -64, 20, -264, -214, -205, -138, -73, -64, 20]",False
SC_RS02370,8,True,"[-232, -76, -15, 26, -232, -76, -15, 26]",False
SC_RS02375,8,True,"[-293, -260, -197, -152, -293, -260, -197, -152]",False
SC_RS02380,12,True,"[-261, -245, -214, -150, -57, 11, -261, -245, -214, -150, -57, 11]",False
SC_RS02385,8,True,"[-279, -263, -101, 27, -279, -263, -101, 27]",False
SC_RS02390,4,True,"[-261, -38, -261, -38]",False
SC_RS02400,8,True,"[-284, -205, -25, -16, -284, -205, -25, -16]",False
SC_RS02405,6,True,"[-245, -134, 42, -245, -134, 42]",False
SC_RS02410,6,True,"[-219, -141, -39, -219, -141, -39]",False
SC_RS02420,12,True,"[-292, -272, -260, -131, -108, 9, -292, -272, -260, -131, -108, 9]",False
SC_RS02425,4,True,"[-118, -80, -118, -80]",False
SC_RS02430,14,True,"[-295, -253, -241, -235, -166, -138, 38, -295, -253, -241, -235, -166, -138, 38]",False
SC_RS02435,6,True,"[-243, -174, 28, -243, -174, 28]",False
SC_RS02440,6,True,"[-186, -102, 22, -186, -102, 22]",False
SC_RS02445,6,True,"[-265, -253, -225, -265, -253, -225]",False
SC_RS02450,12,True,"[-290, -254, -192, -183, -93, 11, -290, -254, -192, -183, -93, 11]",False
SC_RS02455,6,True,"[-290, -124, -54, -290, -124, -54]",True
SC_RS02465,12,True,"[-260, -224, -213, -209, -99, 31, -260, -224, -213, -209, -99, 31]",False
SC_RS02480,4,True,"[-246, -39, -246, -39]",False
SC_RS02485,6,True,"[-296, -135, -27, -296, -135, -27]",False
SC_RS02495,10,True,"[-281, -274, -241, -38, 36, -281, -274, -241, -38, 36]",False
SC_RS02500,8,True,"[-299, -184, -75, -9, -299, -184, -75, -9]",False
SC_RS02505,10,True,"[-249, -221, -168, 18, 28, -249, -221, -168, 18, 28]",False
SC_RS02510,6,True,"[-102, -84, 26, -102, -84, 26]",False
SC_RS02515,4,True,"[-75, 45, -75, 45]",False
SC_RS02520,8,True,"[-144, -103, -63, -58, -144, -103, -63, -58]",False
SC_RS02525,4,True,"[-136, -19, -136, -19]",False
SC_RS02530,6,True,"[-239, -75, 17, -239, -75, 17]",False
SC_RS02535,6,True,"[-299, -207, -115, -299, -207, -115]",False
SC_RS02540,14,True,"[-295, -221, -194, -176, -115, -51, -29, -295, -221, -194, -176, -115, -51, -29]",False
SC_RS02545,10,True,"[-294, -268, -207, -198, 45, -294, -268, -207, -198, 45]",False
SC_RS02550,6,True,"[-227, -161, -151, -227, -161, -151]",False
SC_RS02555,8,True,"[-238, -182, 31, 41, -238, -182, 31, 41]",False
SC_RS02560,8,True,"[-297, -288, -33, 12, -297, -288, -33, 12]",False
SC_RS02565,20,True,"[-277, -233, -226, -216, -211, -205, -177, -168, -39, 20, -277, -233, -226, -216, -211, -205, -177, -168, -39, 20]",False
SC_RS02570,4,True,"[-209, -72, -209, -72]",False
SC_RS02575,14,True,"[-278, -269, -234, -203, -195, -69, -42, -278, -269, -234, -203, -195, -69, -42]",False
SC_RS02580,14,True,"[-217, -190, -64, -56, -25, 10, 19, -217, -190, -64, -56, -25, 10, 19]",False
SC_RS02585,26,True,"[-259, -244, -225, -206, -202, -191, -184, -164, -158, -146, -124, -72, 21, -259, -244, -225, -206, -202, -191, -184, -164, -158, -146, -124, -72, 21]",False
SC_RS02590,18,True,"[-255, -216, -195, -186, -160, -86, -70, 16, 25, -255, -216, -195, -186, -160, -86, -70, 16, 25]",False
SC_RS02595,18,True,"[-259, -233, -212, -190, -172, -147, -116, -109, 42, -259, -233, -212, -190, -172, -147, -116, -109, 42]",False
SC_RS02600,12,True,"[-289, -245, -225, -214, -186, 4, -289, -245, -225, -214, -186, 4]",True
SC_RS02605,16,True,"[-200, -190, -138, -105, -78, -46, 29, 46, -200, -190, -138, -105, -78, -46, 29, 46]",False
SC_RS02610,18,True,"[-225, -215, -205, -201, -180, -156, -147, -121, -51, -225, -215, -205, -201, -180, -156, -147, -121, -51]",False
SC_RS02615,4,True,"[24, 33, 24, 33]",False
SC_RS02620,10,True,"[-254, -193, -123, -97, 8, -254, -193, -123, -97, 8]",False
SC_RS02625,10,True,"[-298, -193, -167, -97, -36, -298, -193, -167, -97, -36]",False
SC_RS02630,18,True,"[-214, -185, -173, -161, -45, -35, -19, 22, 40, -214, -185, -173, -161, -45, -35, -19, 22, 40]",False
SC_RS02635,4,True,"[-145, -72, -145, -72]",False
SC_RS02640,2,True,"[-206, -206]",False
SC_RS02645,16,True,"[-271, -235, -213, -201, -134, -105, -33, 38, -271, -235, -213, -201, -134, -105, -33, 38]",False
SC_RS02650,20,True,"[-290, -254, -208, -203, -146, -89, -67, -44, -26, 40, -290, -254, -208, -203, -146, -89, -67, -44, -26, 40]",False
SC_RS02655,12,True,"[-300, -289, -269, -226, -94, -77, -300, -289, -269, -226, -94, -77]",False
SC_RS02660,12,True,"[-226, -176, -137, -125, -117, -35, -226, -176, -137, -125, -117, -35]",False
SC_RS02665,16,True,"[-278, -242, -213, -193, -173, -162, -126, -51, -278, -242, -213, -193, -173, -162, -126, -51]",False
SC_RS02670,10,True,"[-298, -172, -137, -74, -35, -298, -172, -137, -74, -35]",False
SC_RS02675,8,True,"[-120, -113, -17, 22, -120, -113, -17, 22]",False
SC_RS02680,4,True,"[-288, -145, -288, -145]",False
SC_RS02685,6,True,"[-283, -205, -152, -283, -205, -152]",False
SC_RS02690,8,True,"[-240, -205, -189, -18, -240, -205, -189, -18]",False
SC_RS02700,6,True,"[-277, -252, -90, -277, -252, -90]",False
SC_RS02705,12,True,"[-243, -167, -149, -33, -13, 35, -243, -167, -149, -33, -13, 35]",False
SC_RS02715,14,True,"[-274, -213, -188, -176, -169, -123, -26, -274, -213, -188, -176, -169, -123, -26]",False
