locus_tag	start	end	strand	product	protein_id	T1_mean_counts	T2_mean_counts	T3_mean_counts	T2vsT1_log2FC	T2vsT1_padj	T3vsT1_log2FC	T3vsT1_padj	gene_id	T1_mean	T2_mean	T3_mean	category	spearman_rho	spearman_pval	composite_score	scoring_details
SC_RS12890	2333833	2334534	+	class I SAM-dependent methyltransferase	WP_011028174.1	1461.6852371956973	378.94532973051105	156.57221694863685	-1.9305582101953973	7.976823976817156e-34	-3.221641416118338	2.3707332269091536e-87	SC_RS12890	1461.6852371956973	378.94532973051105	156.57221694863685	SAM-dependent MTase (unclassified)	1.0	0.0	10	rho=1.0 (+3); T1=1462, ratio=0.9 (+3); Unclassified SAM MTase (+1); R-M neighbor (+2); H10 hit (+1)
SC_RS25365	5062845	5063669	-	class I SAM-dependent methyltransferase	WP_011029786.1	434.2209689408569	267.10968440252947	145.94498214588927	-0.6833969609479625	0.0002621104742387	-1.5621735046809924	2.986214783669275e-17	SC_RS25365	434.2209689408569	267.10968440252947	145.94498214588927	SAM-dependent MTase (unclassified)	1.0	0.0	10	rho=1.0 (+3); T1=434, ratio=3.0 (+3); Unclassified SAM MTase (+1); R-M neighbor (+2); H10 hit (+1)
SC_RS12025	2135154	2135816	+	class I SAM-dependent methyltransferase	WP_003976818.1	231.3221543698286	96.05198424192037	71.12548010961567	-1.2367354911580897	1.7490613872403062e-09	-1.678760068193902	4.9015037642298544e-17	SC_RS12025	231.3221543698286	96.05198424192037	71.12548010961567	SAM-dependent MTase (unclassified)	1.0	0.0	10	rho=1.0 (+3); T1=231, ratio=5.6 (+3); Unclassified SAM MTase (+1); R-M neighbor (+2); H10 hit (+1)
SC_RS12530	2255534	2256361	-	methyltransferase	WP_030869367.1	733.34596078884	280.0727081274294	154.1667986586658	-1.3560383818324535	9.971335694619948e-13	-2.240070941397229	1.1547247071329763e-31	SC_RS12530	733.34596078884	280.0727081274294	154.1667986586658	MTase (general)	1.0	0.0	10	rho=1.0 (+3); T1=733, ratio=1.8 (+3); Unclassified SAM MTase (+1); R-M neighbor (+2); H10 hit (+1)
SC_RS13615	2487830	2488564	-	class I SAM-dependent methyltransferase	WP_003976496.1	410.3308260004812	162.32332168254433	92.81511544718155	-1.30850506905448	2.052101768282219e-11	-2.128564573428592	1.2079605080198644e-27	SC_RS13615	410.3308260004812	162.32332168254433	92.81511544718155	SAM-dependent MTase (unclassified)	1.0	0.0	10	rho=1.0 (+3); T1=410, ratio=3.1 (+3); Unclassified SAM MTase (+1); R-M neighbor (+2); H10 hit (+1)
SC_RS03950	428657	429403	+	class I SAM-dependent DNA methyltransferase	WP_037666971.1	130.1891357231657	160.94446498203675	102.27900256142472	0.2876900888276954	0.2138621159283766	-0.3371318788994072	0.1247364995765593	SC_RS03950	130.1891357231657	160.94446498203675	102.27900256142472	DNA MTase (unspecified)	0.5	0.6666666666666666	9	rho=0.50 (+1); T1=130, ratio=9.9 (+3); DNA MTase unspecified (+2); R-M neighbor (+2); H10 hit (+1)
SC_RS38280	8017040	8017786	+	SAM-dependent methyltransferase	WP_011031514.1	100.83605998980131	82.8029226883644	50.88508564286318	-0.2674348367211074	0.3820317961186972	-0.9162764253548378	0.0013447846202429	SC_RS38280	100.83605998980131	82.8029226883644	50.88508564286318	SAM-dependent MTase (unclassified)	1.0	0.0	9	rho=1.0 (+3); T1=101, ratio=12.8 (+2); Unclassified SAM MTase (+1); R-M neighbor (+2); H10 hit (+1)
SC_RS30050	6066627	6067214	+	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	WP_011030310.1	408.37861573206095	164.61307811762472	110.973677985697	-1.2853667770848234	7.364907191183224e-12	-1.8697656914469911	6.3845730192952744e-24	SC_RS30050	408.37861573206095	164.61307811762472	110.973677985697	RNA MTase	1.0	0.0	9	rho=1.0 (+3); T1=408, ratio=3.2 (+3); Non-DNA MTase (+0); R-M neighbor (+2); BLAST hit (+1)
SC_RS10265	1765257	1766159	-	tRNA (adenine-N1)-methyltransferase	WP_011027901.1	2358.0039016646538	851.751037219024	472.1145762991523	-1.4323453584394084	3.573821610170111e-10	-2.291589936461467	1.0389649581362029e-23	SC_RS10265	2358.0039016646538	851.751037219024	472.1145762991523	RNA MTase	1.0	0.0	8	rho=1.0 (+3); T1=2358, ratio=0.5 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS31750	6467755	6469131	+	class I SAM-dependent RNA methyltransferase	WP_011030522.1	1770.8983458994326	295.003636793505	227.82832502200884	-2.5740285287223736	7.163785878675512e-77	-2.9516899588286916	5.929641951885319e-104	SC_RS31750	1770.8983458994326	295.003636793505	227.82832502200884	RNA MTase	1.0	0.0	8	rho=1.0 (+3); T1=1771, ratio=0.7 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
