chrom,position,strand,mod_type,mean_coverage,std_coverage,mean_mod_freq,std_mod_freq,min_mod_freq,max_mod_freq,n_reps,timepoint
NC_003888.3,131,-,4mC,25.0,1.0,79.81,4.810000000000002,75.0,84.62,2,T3
NC_003888.3,138,-,6mA,42.0,4.0,85.81,1.0300000000000011,84.78,86.84,2,T3
NC_003888.3,139,-,6mA,11.5,1.5,56.925,3.0749999999999993,53.85,60.0,2,T3
NC_003888.3,7324,-,4mC,19.5,2.5,78.475,7.884999999999998,70.59,86.36,2,T3
NC_003888.3,14895,-,6mA,29.5,0.5,52.525,0.8049999999999997,51.72,53.33,2,T3
NC_003888.3,15441,+,4mC,11.5,0.5,60.61,6.060000000000002,54.55,66.67,2,T3
NC_003888.3,15442,-,4mC,18.0,1.0,85.91,3.5600000000000023,82.35,89.47,2,T3
NC_003888.3,15890,+,4mC,13.5,0.5,88.74000000000001,4.119999999999997,84.62,92.86,2,T3
NC_003888.3,22976,+,4mC,26.0,3.0,79.685,7.274999999999999,72.41,86.96,2,T3
NC_003888.3,23405,+,6mA,31.5,2.5,68.56,3.8500000000000014,64.71,72.41,2,T3
NC_003888.3,24110,+,6mA,33.0,3.0,60.83,2.5,58.33,63.33,2,T3
NC_003888.3,26182,+,6mA,31.0,7.0,55.265,5.265000000000001,50.0,60.53,2,T3
NC_003888.3,40677,+,4mC,15.5,2.5,97.22,2.780000000000001,94.44,100.0,2,T3
NC_003888.3,43753,+,6mA,31.0,3.0,70.06,9.349999999999998,60.71,79.41,2,T3
NC_003888.3,57394,+,6mA,35.0,8.0,63.349999999999994,4.09,59.26,67.44,2,T3
NC_003888.3,69018,-,4mC,11.5,0.5,87.12,3.789999999999999,83.33,90.91,2,T3
NC_003888.3,72030,+,6mA,24.5,3.5,60.120000000000005,6.55,53.57,66.67,2,T3
NC_003888.3,75626,+,4mC,13.0,1.0,88.69,2.980000000000004,85.71,91.67,2,T3
NC_003888.3,78421,+,6mA,25.5,4.5,70.715,0.7150000000000034,70.0,71.43,2,T3
NC_003888.3,79564,-,4mC,12.5,0.5,83.655,8.655000000000001,75.0,92.31,2,T3
NC_003888.3,80987,+,4mC,11.0,1.0,58.335,8.335,50.0,66.67,2,T3
NC_003888.3,82127,-,6mA,29.0,5.0,75.12,4.289999999999999,70.83,79.41,2,T3
NC_003888.3,82128,-,6mA,29.5,1.5,65.495,11.925,53.57,77.42,2,T3
NC_003888.3,82883,-,4mC,12.0,0.0,62.5,12.5,50.0,75.0,2,T3
NC_003888.3,82886,-,6mA,32.0,2.0,67.35499999999999,2.645000000000003,64.71,70.0,2,T3
NC_003888.3,83403,+,4mC,13.0,2.0,69.7,3.030000000000001,66.67,72.73,2,T3
NC_003888.3,86222,+,4mC,18.5,5.5,95.83500000000001,4.164999999999999,91.67,100.0,2,T3
NC_003888.3,93654,-,6mA,17.5,7.5,62.0,2.0,60.0,64.0,2,T3
NC_003888.3,96883,+,6mA,16.0,5.0,55.845,1.2950000000000017,54.55,57.14,2,T3
NC_003888.3,101374,-,6mA,20.0,4.0,58.335,4.164999999999999,54.17,62.5,2,T3
NC_003888.3,106790,-,6mA,16.5,3.5,59.425,5.574999999999999,53.85,65.0,2,T3
NC_003888.3,108750,+,4mC,13.5,0.5,85.16499999999999,0.5449999999999946,84.62,85.71,2,T3
NC_003888.3,108921,+,4mC,11.0,1.0,90.0,10.0,80.0,100.0,2,T3
NC_003888.3,116802,-,6mA,19.0,1.0,68.89,8.89,60.0,77.78,2,T3
NC_003888.3,117043,-,6mA,22.0,1.0,74.64,7.969999999999999,66.67,82.61,2,T3
NC_003888.3,120748,-,6mA,22.5,1.5,58.035,3.8649999999999984,54.17,61.9,2,T3
NC_003888.3,127250,-,6mA,28.0,1.0,59.065,3.8949999999999996,55.17,62.96,2,T3
NC_003888.3,128592,-,4mC,15.5,3.5,87.94,3.730000000000004,84.21,91.67,2,T3
NC_003888.3,131563,+,4mC,16.5,3.5,100.0,0.0,100.0,100.0,2,T3
NC_003888.3,135597,-,6mA,26.5,4.5,50.805,0.8049999999999997,50.0,51.61,2,T3
NC_003888.3,136278,-,6mA,25.0,2.0,63.12,10.949999999999996,52.17,74.07,2,T3
NC_003888.3,139070,+,4mC,14.5,0.5,89.285,10.715000000000003,78.57,100.0,2,T3
NC_003888.3,140453,+,4mC,15.0,2.0,78.50999999999999,13.800000000000004,64.71,92.31,2,T3
NC_003888.3,146773,+,6mA,27.5,9.5,71.245,0.9750000000000014,70.27,72.22,2,T3
NC_003888.3,149840,-,4mC,22.5,0.5,93.28,2.3700000000000045,90.91,95.65,2,T3
NC_003888.3,165349,-,6mA,20.5,6.5,58.2,1.0599999999999987,57.14,59.26,2,T3
NC_003888.3,166193,+,6mA,24.5,6.5,74.375,3.405000000000001,70.97,77.78,2,T3
NC_003888.3,173006,-,6mA,19.5,1.5,80.16,8.729999999999997,71.43,88.89,2,T3
NC_003888.3,173563,+,4mC,12.0,1.0,70.28,6.640000000000001,63.64,76.92,2,T3
NC_003888.3,174061,+,6mA,17.0,6.0,59.885,5.335000000000001,54.55,65.22,2,T3
NC_003888.3,191485,+,6mA,17.0,4.0,67.95,1.2800000000000011,66.67,69.23,2,T3
NC_003888.3,203228,-,4mC,15.5,0.5,96.875,3.125,93.75,100.0,2,T3
NC_003888.3,211317,+,6mA,16.0,4.0,79.16499999999999,4.164999999999999,75.0,83.33,2,T3
NC_003888.3,211827,+,6mA,21.5,2.5,62.83,0.3299999999999983,62.5,63.16,2,T3
NC_003888.3,212900,+,4mC,11.5,0.5,78.41,3.4099999999999966,75.0,81.82,2,T3
NC_003888.3,222434,+,4mC,19.5,2.5,79.81,2.539999999999999,77.27,82.35,2,T3
NC_003888.3,231677,+,4mC,16.5,0.5,87.5,12.5,75.0,100.0,2,T3
NC_003888.3,240262,-,4mC,19.0,3.0,64.49000000000001,8.240000000000002,56.25,72.73,2,T3
NC_003888.3,241148,-,4mC,19.5,1.5,94.84,0.3999999999999986,94.44,95.24,2,T3
NC_003888.3,242078,-,4mC,14.0,2.0,100.0,0.0,100.0,100.0,2,T3
NC_003888.3,244807,-,6mA,25.0,8.0,59.629999999999995,5.079999999999998,54.55,64.71,2,T3
NC_003888.3,246147,+,6mA,20.5,5.5,56.925,3.0749999999999993,53.85,60.0,2,T3
NC_003888.3,251051,+,6mA,25.5,4.5,58.57,1.4299999999999997,57.14,60.0,2,T3
NC_003888.3,255674,+,4mC,13.0,1.0,66.07,8.93,57.14,75.0,2,T3
NC_003888.3,258445,-,6mA,23.0,6.0,62.88,7.710000000000001,55.17,70.59,2,T3
NC_003888.3,262658,+,4mC,10.0,0.0,75.0,5.0,70.0,80.0,2,T3
NC_003888.3,277593,+,4mC,12.0,0.0,100.0,0.0,100.0,100.0,2,T3
NC_003888.3,278824,-,6mA,27.0,3.0,69.16499999999999,5.835000000000001,63.33,75.0,2,T3
NC_003888.3,281968,-,6mA,28.0,3.0,57.42,2.5799999999999983,54.84,60.0,2,T3
NC_003888.3,286084,+,4mC,11.5,0.5,86.745,4.925000000000004,81.82,91.67,2,T3
NC_003888.3,298186,+,6mA,21.5,6.5,61.905,4.765000000000001,57.14,66.67,2,T3
NC_003888.3,304667,-,4mC,17.5,2.5,92.5,7.5,85.0,100.0,2,T3
NC_003888.3,316115,-,6mA,18.5,0.5,54.095,1.4649999999999999,52.63,55.56,2,T3
NC_003888.3,317897,+,4mC,12.5,1.5,83.76499999999999,1.9450000000000003,81.82,85.71,2,T3
NC_003888.3,320225,-,6mA,19.0,5.0,70.535,8.034999999999997,62.5,78.57,2,T3
NC_003888.3,321176,+,6mA,28.5,0.5,56.215,4.495000000000001,51.72,60.71,2,T3
