locus_tag	start	end	strand	product	protein_id	T1_mean	T2_mean	T3_mean	category	spearman_rho	spearman_pval
SC_RS23365	4640855	4641799	+	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	WP_011029524.1	1873.481570414584	471.0649793215389	251.93193807184068	RNA MTase	1.0	0.0
SC_RS14810	2751941	2752690	-	16S rRNA (uracil(1498)-N(3))-methyltransferase	WP_003976252.1	548.6311718496328	170.596056128558	113.01169863644718	RNA MTase	1.0	0.0
SC_RS11305	1987651	1988463	+	precorrin-4 C(11)-methyltransferase	WP_161270011.1	1981.0378167218264	1348.9423034511954	296.42436234158555	Small molecule MTase	1.0	0.0
SC_RS11310	1988460	1989701	+	precorrin-6y C5%2C15-methyltransferase (decarboxylating) subunit CbiE	WP_161270012.1	3215.643948197115	1695.9735021190115	365.85744908851893	Small molecule MTase	1.0	0.0
SC_RS11315	1989698	1991530	+	precorrin-3B C(17)-methyltransferase	WP_161270013.1	6045.5662402550615	3934.558365831891	734.8272535074935	Small molecule MTase	1.0	0.0
SC_RS30050	6066627	6067214	+	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	WP_011030310.1	408.37861573206095	164.61307811762472	110.973677985697	RNA MTase	1.0	0.0
SC_RS12025	2135154	2135816	+	class I SAM-dependent methyltransferase	WP_003976818.1	231.3221543698286	96.05198424192037	71.12548010961567	SAM-dependent MTase (unclassified)	1.0	0.0
SC_RS12500	2247685	2248641	-	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	WP_078653284.1	839.0384676323861	136.87887254199413	119.05480108764571	RNA MTase	1.0	0.0
SC_RS12530	2255534	2256361	-	methyltransferase	WP_030869367.1	733.34596078884	280.0727081274294	154.1667986586658	MTase (general)	1.0	0.0
SC_RS12890	2333833	2334534	+	class I SAM-dependent methyltransferase	WP_011028174.1	1461.6852371956973	378.94532973051105	156.57221694863685	SAM-dependent MTase (unclassified)	1.0	0.0
SC_RS27895	5592745	5593443	-	O-methyltransferase	WP_161270547.1	894.8692285123499	320.24127871955255	218.3027281267614	O-methyltransferase	1.0	0.0
SC_RS13615	2487830	2488564	-	class I SAM-dependent methyltransferase	WP_003976496.1	410.3308260004812	162.32332168254433	92.81511544718155	SAM-dependent MTase (unclassified)	1.0	0.0
SC_RS21570	4275980	4276699	+	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	WP_011029291.1	460.8667613890505	203.76688152044233	114.13021438831474	RNA MTase	1.0	0.0
SC_RS10665	1850270	1850887	-	class I SAM-dependent methyltransferase	WP_003977095.1	442.56494868105113	194.8727562270326	166.1180938854185	SAM-dependent MTase (unclassified)	1.0	0.0
SC_RS15430	2906677	2907651	-	methyltransferase domain-containing protein	WP_011028500.1	786.7343800046388	487.4294567712504	414.1156449395203	Protein MTase	1.0	0.0
SC_RS16160	3072689	3073546	-	class I SAM-dependent methyltransferase	WP_003975986.1	77.8491274873461	76.55993652161946	60.32686218623667	SAM-dependent MTase (unclassified)	1.0	0.0
SC_RS29535	5955947	5957209	-	serine hydroxymethyltransferase	WP_003973528.1	5658.913287684114	3668.8931683198366	693.232831470587	Small molecule MTase	1.0	0.0
SC_RS29545	5957728	5958846	-	glycine cleavage system aminomethyltransferase GcvT	WP_003973526.1	2738.3605360731544	1194.6243464863726	307.53342534237623	MTase (general)	1.0	0.0
SC_RS17855	3449961	3450821	-	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	WP_003975667.1	539.9284804923994	113.35929351316648	100.74669142270648	RNA MTase	1.0	0.0
SC_RS17875	3453841	3454701	-	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	WP_003975663.1	481.8801249767893	165.2143748693428	131.82953480696384	RNA MTase	1.0	0.0
SC_RS18690	3668023	3669720	-	bifunctional uroporphyrinogen-III C-methyltransferase/uroporphyrinogen-III synthase	WP_003975519.1	8557.44129042052	2109.916536905546	1715.870963561424	Small molecule MTase	1.0	0.0
SC_RS31750	6467755	6469131	+	class I SAM-dependent RNA methyltransferase	WP_011030522.1	1770.8983458994326	295.003636793505	227.82832502200884	RNA MTase	1.0	0.0
SC_RS19080	3754603	3755691	+	SAM-dependent methyltransferase	WP_011028950.1	369.1419980928493	198.6698126843655	136.2318842279316	SAM-dependent MTase (unclassified)	1.0	0.0
SC_RS30440	6143019	6144125	+	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	WP_003973380.1	1694.6258833201737	1035.3358635252252	434.8755049990059	RNA MTase	1.0	0.0
SC_RS11295	1986075	1986806	+	precorrin-2 C(20)-methyltransferase	WP_011028010.1	1582.5403205764742	947.5358910402788	246.6595034074928	Small molecule MTase	1.0	0.0
SC_RS30190	6098530	6099363	+	tRNA (guanosine(37)-N1)-methyltransferase TrmD	WP_003973399.1	862.0003489811597	130.88055708094177	109.74514867448568	RNA MTase	1.0	0.0
SC_RS10265	1765257	1766159	-	tRNA (adenine-N1)-methyltransferase	WP_011027901.1	2358.0039016646538	851.751037219024	472.1145762991523	RNA MTase	1.0	0.0
SC_RS09335	1571971	1573398	-	RsmB/NOP family class I SAM-dependent RNA methyltransferase	WP_003977354.1	1042.2457454087898	366.7075317344872	217.49887937797723	RNA MTase	1.0	0.0
SC_RS38275	8016858	8017022	+	methyltransferase type 11	WP_134112068.1	47.20199212901562	21.717496298642704	17.96227744474513	Type 11 MTase	1.0	0.0
SC_RS24935	4974767	4975462	+	demethylmenaquinone methyltransferase	WP_003974389.1	1107.3933189983195	509.2400673283334	313.5236578683658	Small molecule MTase	1.0	0.0
SC_RS07160	1097372	1098505	+	methyltransferase	WP_161270458.1	758.3032562116546	219.59406203790073	134.63194028395398	MTase (general)	1.0	0.0
SC_RS25365	5062845	5063669	-	class I SAM-dependent methyltransferase	WP_011029786.1	434.2209689408569	267.10968440252947	145.94498214588927	SAM-dependent MTase (unclassified)	1.0	0.0
SC_RS38280	8017040	8017786	+	SAM-dependent methyltransferase	WP_011031514.1	100.83605998980131	82.8029226883644	50.88508564286318	SAM-dependent MTase (unclassified)	1.0	0.0
SC_RS28985	5831498	5832343	+	peptide chain release factor N(5)-glutamine methyltransferase	WP_003973636.1	896.3384862885556	183.65267871384225	139.17437232085203	Protein MTase	1.0	0.0
SC_RS28835	5801998	5805600	-	BREX-2 system adenine-specific DNA-methyltransferase PglX	WP_011030180.1	604.2846826714166	395.1741142939586	381.6886995982897	BREX system MTase	1.0	0.0
SC_RS09775	1660653	1661471	-	TrmH family RNA methyltransferase	WP_003977273.1	308.45019611918144	138.54755033989028	85.85781046813848	RNA MTase	1.0	0.0
SC_RS09780	1661473	1662705	-	uroporphyrinogen-III C-methyltransferase	WP_003977272.1	672.1562596653762	353.86646124298204	166.78409055354084	Small molecule MTase	1.0	0.0
SC_RS18645	3658635	3659537	-	SAM-dependent methyltransferase	WP_011028899.1	308.0411062263118	328.60365636548573	142.14434885705433	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666
SC_RS32105	6543401	6544900	+	3' terminal RNA ribose 2'-O-methyltransferase Hen1	WP_161270254.1	294.44353703423803	71.59179978216979	99.0114319403132	RNA MTase	0.5	0.6666666666666666
SC_RS39225	8216457	8217248	-	SAM-dependent methyltransferase	WP_003971739.1	1441.8953322015566	2409.833499770923	563.7744877590336	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666
SC_RS25950	5169472	5170644	-	class I SAM-dependent methyltransferase	WP_161270170.1	146.92342823618904	45.88012132160341	74.81766565009978	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666
SC_RS17645	3399763	3401802	-	N-6 DNA methylase	WP_011028768.1	245.1053184178421	51.73774494986095	145.13814106419088	N-6 adenine DNA MTase	0.5	0.6666666666666666
SC_RS21310	4219178	4219963	-	TrmH family RNA methyltransferase	WP_011029261.1	358.6077928958111	436.622290958936	125.07900009133456	RNA MTase	0.5	0.6666666666666666
SC_RS06060	874543	875343	+	class I SAM-dependent methyltransferase	WP_003978033.1	62.43704497651466	29.81542135341711	49.00939346650341	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666
SC_RS03950	428657	429403	+	class I SAM-dependent DNA methyltransferase	WP_037666971.1	130.1891357231657	160.94446498203675	102.27900256142472	DNA MTase (unspecified)	0.5	0.6666666666666666
SC_RS40280	8443999	8444814	+	SAM-dependent methyltransferase	WP_003971527.1	130.1679556614349	1019.7792761410768	126.9788940847609	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666
SC_RS37540	7850449	7851291	+	putative protein N(5)-glutamine methyltransferase	WP_011031408.1	53.009960069708406	25.481688211316555	48.78222358912279	Protein MTase	0.5	0.6666666666666666
SC_RS10000	1709299	1710147	-	TrmH family RNA methyltransferase	WP_011027873.1	913.4604244710628	106.751835715768	133.25195781560925	RNA MTase	0.5	0.6666666666666666
