locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	region	group	gene_length	gc_content	gc3	gc3_deviation	nc	rare_codon_freq	dist_oriC	region_calc	baseMean	has_gene_name	has_old_locus_tag	has_named_product	is_hypothetical	has_protein_id	is_constitutive	LFC_T2vsT1	LFC_T3vsT1	composite_conservation
SC_RS02220			RNA polymerase sigma-70 factor	Sigma factor	30379	31274	-	1	Shielded	896	0.7064732142857143	0.7483221476510067	0.16600660272769185	43.94957010586553	0.07903780068728522	4241866.5	arm	189.4212534190825	False	False	True	False	False	False	0.7740014298969246	1.2469573380375325	-2.28896891737005
SC_RS02260		SCO0047	MarR family winged helix-turn-helix transcriptional regulator	MarR	37614	38768	-	1	Shielded	1155	0.7168831168831169	0.8597402597402597	0.05458849063843885	38.306094374808076	0.0546875	4234502.0	arm	88.71235818703218	False	True	True	False	True	True	-0.217473568852473	-0.0316704257102638	-0.4298682487636177
SC_RS02325		SCO0062	LacI family DNA-binding transcriptional regulator	LacI	47789	48844	-	1	Shielded	1056	0.7073863636363636	0.8551136363636364	0.05921511401506219	32.0060233657899	0.05413105413105413	4224376.5	arm	92.50991632915984	False	True	True	False	True	False	-1.482151075954944	-0.7226818523959183	-0.2510291206996218
SC_RS02330		SCO0063	ROK family protein	ROK	48889	49824	-	1	Shielded	936	0.7478632478632479	0.8878205128205128	0.026508237558185765	33.18386371004429	0.03536977491961415	4223336.5	arm	66.22726572987733	False	True	True	False	True	False	-1.20882726219268	-0.3287013636122964	-0.0589042753418197
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	75916	76893	+	1	Exposed	978	0.7085889570552147	0.8251533742331288	0.0891753761455697	46.26778437307179	0.06153846153846154	4196288.5	arm	101.96837109266303	False	True	True	False	True	False	1.9589972494364425	1.3127734931300468	-0.9506891990045551
SC_RS02530		SCO0110	helix-turn-helix transcriptional regulator	HTH (other)	90951	91790	-	1	Shielded	840	0.7	0.8535714285714285	0.060757321807270004	34.19397622216613	0.053763440860215055	4181322.5	arm	66.11440299135131	False	True	True	False	True	False	2.202280419097655	2.012106769769616	-0.39434608936600163
SC_RS02550		SCO0116	TetR/AcrR family transcriptional regulator	TetR	94306	94872	-	1	Shielded	567	0.7160493827160493	0.8941798941798942	0.020148856198804355	32.0264887025055	0.015957446808510637	4178104.0	arm	63.87422278920704	False	True	True	False	True	True	0.3847571846540605	-0.2053992778906588	0.04290765169202362
SC_RS02625		SCO0132	helix-turn-helix transcriptional regulator	HTH (other)	122743	125502	+	1	Shielded	2760	0.7333333333333333	0.8739130434782608	0.04041570690043772	36.92451474038092	0.046789989118607184	4148570.5	arm	225.2844571741538	False	True	True	False	True	False	1.3478072821107898	2.3289489134330177	0.19073542856186945
SC_RS02660		SCO0140	MerR family transcriptional regulator	MerR	132693	133520	+	1	Shielded	828	0.7137681159420289	0.8804347826086957	0.033893967770002864	33.87209152614561	0.03272727272727273	4139586.5	arm	32.63223491696345	False	True	True	False	True	False	-0.0159602400374791	2.8105590650100676	-0.12987944294568515
SC_RS02680		SCO0143	TetR/AcrR family transcriptional regulator	TetR	136683	137183	+	1	Shielded	501	0.718562874251497	0.8682634730538922	0.046065277324806364	36.78966473678827	0.030120481927710843	4135760.0	arm	27.676315897313675	False	True	True	False	True	False	-1.0239134444181497	0.403840231152465	-0.3558868061785345
SC_RS02705		SCO0148	helix-turn-helix domain-containing protein	HTH (other)	139467	139712	+	1	Shielded	246	0.6991869918699187	0.9146341463414634	0.00030539596276490943	31.97491935858375	0.024691358024691357	4133103.5	arm	22.720661429589455	False	True	True	False	True	False	-1.0252718400292251	-1.0814661712704614	-0.0251724323646508
SC_RS02735		SCO0155	TetR/AcrR family transcriptional regulator	TetR	145499	146122	+	1	Shielded	624	0.6907051282051282	0.8605769230769231	0.05375182730177541	34.78119933484423	0.043478260869565216	4126882.5	arm	126.63490405202263	False	True	True	False	True	False	1.148427079287908	0.2889963747593521	-0.3647130040787149
SC_RS02745		SCO0159	sigma-70 family RNA polymerase sigma factor	Sigma factor	148225	149184	+	1	Shielded	960	0.70625	0.884375	0.029953750378698518	31.890143980204606	0.0438871473354232	4123988.5	arm	27.2916355682194	False	True	True	False	True	False	-0.0185477794247903	2.3070355998995957	-0.0860215234993912
SC_RS02750		SCO0160	helix-turn-helix domain-containing protein	HTH (other)	149508	150209	-	1	Shielded	702	0.7350427350427351	0.8888888888888888	0.0254398614898097	35.21604447772131	0.055793991416309016	4122834.5	arm	32.33218967892941	False	True	True	False	True	False	2.6641822445754744	3.828163952735268	-0.33664942465174885
SC_RS02915		SCO0193	MerR family transcriptional regulator	MerR	183793	184797	-	1	Shielded	1005	0.7562189054726368	0.8746268656716418	0.03970188470705671	34.688821514155855	0.03293413173652695	4088398.0	arm	1573.1095356787812	False	True	True	False	True	False	-1.019931959466732	-3.202514365823254	0.06357936061739769
SC_RS02920		SCO0194	sigma-70 family RNA polymerase sigma factor	Sigma factor	184958	185566	+	1	Shielded	609	0.7208538587848933	0.8916256157635468	0.02270313461515172	35.67895036631944	0.034653465346534656	4087431.0	arm	625.8078027252792	False	True	True	False	True	False	-1.39711883038648	-0.6190824679940575	-0.1422467056655479
SC_RS02965		SCO0203	two-component system sensor histidine kinase	Sensor kinase	192880	194637	-	1	Shielded	1758	0.7258248009101251	0.9215017064846417	0.007172956105943151	32.67775384115958	0.03076923076923077	4078934.5	arm	1144.2593315716415	False	True	True	False	True	False	2.900028857681269	3.2104494409537523	0.43774367133004227
SC_RS02970		SCO0204	response regulator	Response regulator	194760	195461	-	1	Shielded	702	0.7008547008547008	0.9230769230769231	0.008748172698224588	32.784966243916486	0.02145922746781116	4077582.5	arm	3430.0330932064026	False	True	True	False	True	False	6.294033238583641	7.534071763657279	0.49979539527313277
SC_RS03000		SCO0211	sensor histidine kinase	Sensor kinase	201374	202090	+	1	Shielded	717	0.7336122733612274	0.7907949790794979	0.12353377129920062	38.847917142349395	0.0546218487394958	4070961.0	arm	97.81754132917804	False	True	True	False	True	False	4.157236776581737	5.376968355724926	-0.8596920948100196
SC_RS03080		SCO0230	TetR/AcrR family transcriptional regulator	TetR	220150	220764	+	1	Shielded	615	0.6731707317073171	0.8536585365853658	0.060670213793332706	36.971977510847275	0.058823529411764705	4052236.0	arm	113.93273533661002	False	True	True	False	True	False	0.4592858867424682	-0.933417826730663	-0.5821737348956482
