gene_id	old_locus_tag	product	pwm_name	hit_count	best_score	best_pvalue	best_qvalue	mean_dist_to_tss
SC_RS31650	SCO5881	response regulator transcription factor	ActII_ORF4	1	10.4692	2.51e-5	0.0933	14
SC_RS28860	SCO5337	XRE family transcriptional regulator	ActII_ORF4	5	10.2464	3.49e-5	0.0933	315.4
SC_RS21215	SCO3818	response regulator	SARP_heptamer_relaxed	7	8.49829	4.39e-5	0.0468	228.85714285714286
SC_RS21215	SCO3818	response regulator	SARP_heptamer_strict	4	11.9167	4.39e-5	0.0522	183.25
SC_RS16870	SCO2953	anti-sigma U factor RsuA	ActII_ORF4	4	9.4455	8.09e-5	0.0933	197
SC_RS16870	SCO2953	anti-sigma U factor RsuA	SARP_heptamer_relaxed	4	7.46758	1.16e-4	0.0468	168.75
SC_RS28860	SCO5337	XRE family transcriptional regulator	SARP_heptamer_relaxed	2	7.46758	1.16e-4	0.0468	49.5
SC_RS29775	SCO5518	PucR family transcriptional regulator	SARP_heptamer_relaxed	8	7.46758	1.16e-4	0.0468	234.125
SC_RS36895	SCO6937	LuxR C-terminal-related transcriptional regulator	SARP_heptamer_relaxed	6	7.46758	1.16e-4	0.0468	257
SC_RS37190	SCO6993	LuxR family transcriptional regulator AbsR2	SARP_heptamer_relaxed	6	7.36519	1.6e-4	0.0468	270
SC_RS16870	SCO2953	anti-sigma U factor RsuA	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0522	169
SC_RS26000	SCO4768	response regulator transcription factor	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0522	383.3333333333333
SC_RS27570	SCO5082	TetR family transcriptional regulator ActII	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0522	148
SC_RS28860	SCO5337	XRE family transcriptional regulator	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0522	49.5
SC_RS29775	SCO5518	PucR family transcriptional regulator	SARP_heptamer_strict	7	9.42647	1.88e-4	0.0522	258.7142857142857
SC_RS31650	SCO5881	response regulator transcription factor	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0522	236.5
SC_RS36895	SCO6937	LuxR C-terminal-related transcriptional regulator	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0522	339.6666666666667
SC_RS37190	SCO6993	LuxR family transcriptional regulator AbsR2	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0522	286.5
SC_RS26000	SCO4768	response regulator transcription factor	SARP_heptamer_relaxed	4	7.05802	2.32e-4	0.0468	344.25
SC_RS27570	SCO5082	TetR family transcriptional regulator ActII	SARP_heptamer_relaxed	9	7.05802	2.32e-4	0.0468	221.22222222222223
SC_RS31650	SCO5881	response regulator transcription factor	SARP_heptamer_relaxed	7	7.05802	2.32e-4	0.0468	146.28571428571428
SC_RS27570	SCO5082	TetR family transcriptional regulator ActII	ActII_ORF4	2	8.19905	3.22e-4	0.192	179.5
SC_RS36895	SCO6937	LuxR C-terminal-related transcriptional regulator	ActII_ORF4	2	8.19431	3.26e-4	0.192	253
SC_RS29775	SCO5518	PucR family transcriptional regulator	ActII_ORF4	5	7.97156	4.11e-4	0.192	195
SC_RS37190	SCO6993	LuxR family transcriptional regulator AbsR2	ActII_ORF4	2	7.53081	6.08e-4	0.192	297.5
SC_RS21215	SCO3818	response regulator	ActII_ORF4	2	7.30332	7.79e-4	0.209	467.5
SC_RS26000	SCO4768	response regulator transcription factor	ActII_ORF4	1	7.09953	9.18e-4	0.214	470
