chrom	position	strand	T1_freq	T2_freq	T3_freq	delta	category	pattern	region
NC_003888.3	609828	+	61.13	75.71	52.13	23.57999999999999	dynamic	Peak (T2 max)	arm
NC_003888.3	8509637	-	72.78	50.02	70.86	22.759999999999998	dynamic	Valley (T2 min)	arm
NC_003888.3	8157647	-	50.02	58.95	69.31	19.29	dynamic	Monotone increase	arm
NC_003888.3	7560764	+	58.11	54.15	72.86	18.71	dynamic	Valley (T2 min)	arm
NC_003888.3	357889	+	72.2	54.56	59.31	17.64	dynamic	Valley (T2 min)	arm
NC_003888.3	670858	-	76.98	59.39	74.73	17.590000000000003	dynamic	Valley (T2 min)	arm
NC_003888.3	6130226	-	68.48	53.7	71.24	17.539999999999992	dynamic	Valley (T2 min)	core
NC_003888.3	7560763	+	82.69	80.08	96.97	16.89	dynamic	Valley (T2 min)	arm
NC_003888.3	3032598	+	70.4	72.37	55.65	16.720000000000006	dynamic	Peak (T2 max)	core
NC_003888.3	8233758	-	54.31	70.91	70.58	16.599999999999994	dynamic	Peak (T2 max)	arm
NC_003888.3	357890	+	72.02	71.76	55.44	16.58	dynamic	Monotone decrease	arm
NC_003888.3	3345421	+	53.84	70.34	64.13	16.5	dynamic	Peak (T2 max)	core
NC_003888.3	2811133	-	69.88	56.11	53.56	16.319999999999993	dynamic	Monotone decrease	core
NC_003888.3	4129198	-	57.77	50.61	66.82	16.209999999999994	dynamic	Valley (T2 min)	core
NC_003888.3	1672407	-	73.36	57.28	68.2	16.08	dynamic	Valley (T2 min)	core
NC_003888.3	1826518	-	61.47	64.59	77.03	15.560000000000002	dynamic	Monotone increase	core
NC_003888.3	4671073	+	66.29	61.01	76.42	15.410000000000004	dynamic	Valley (T2 min)	core
NC_003888.3	321886	-	79.45	64.15	75.15	15.299999999999997	dynamic	Valley (T2 min)	arm
NC_003888.3	6143024	+	72.4	62.91	78.19	15.280000000000001	dynamic	Valley (T2 min)	core
NC_003888.3	942124	-	80.26	65.4	70.83	14.86	dynamic	Valley (T2 min)	arm
