locus_tag	gene_name	tf_family	tss	tss_source	GCCGGC_delta	GCCGGC_n_T1	GCCGGC_n_T2	AAGCCCG_delta	AAGCCCG_n_T1	AAGCCCG_n_T2	unassigned_6mA_delta	unassigned_6mA_n_T1	unassigned_6mA_n_T2	LFC_T2vsT1	padj
SC_RS02455		LysR	75916	gene_start	78.56	0	1		0	0		0	0	1.996267814330596	1.1875814630760875e-14
SC_RS03250		HTH (other)	255198	gene_start		0	0	61.42	0	1	-53.37	1	0	0.8492831427730276	0.0761919609304948
SC_RS04270		HTH (other)	491901	gene_start		0	0		0	0	-59.61	1	0	1.526311821195577	1.2402162782138632e-05
SC_RS05075		Sigma factor	673733	gene_start		0	0		0	0		0	0	0.0641306457114918	0.9094625049096164
SC_RS05485		HTH (other)	756143	gene_start	91.64	0	1		0	0	51.9	0	1	-1.092554429792889	0.0335251373144556
SC_RS06045		GntR	872193	gene_start		0	0		0	0		0	0	-1.3086139961011785	3.2905704431435153e-06
SC_RS06310		HTH (other)	922247	experimental		0	0		0	0	53.13	0	1	1.6553679271158672	3.922442782716455e-21
SC_RS06430		Other regulatory	943408	gene_start		0	0		0	0	-59.52	1	0	1.0725951660655857	0.0157850735216154
SC_RS07000		ArsR	1063185	gene_start		0	0	87.99	0	1		0	0	0.0924621478190691	0.7011306550014702
SC_RS07215		HTH (other)	1108778	gene_start	12.199999999999989	1	1		0	0	-52.6	1	0	-0.4278173498979656	0.4869021347174306
SC_RS07750		Sensor kinase	1221178	gene_start		0	0		0	0	51.53	0	1	7.895713314069832	6.685778908988326e-80
SC_RS07910		MarR	1264654	experimental	76.67	0	1		0	0	-6.515000000000001	1	2	-2.9236552002412837	1.6312809495587037e-18
SC_RS08090		HTH (other)	1302022	gene_start		0	0	87.76	0	1		0	0	4.8574849580221	1.0504968452721195e-39
SC_RS09315		TetR	1568358	gene_start		0	0		0	0	-1.509999999999998	1	1	4.026952770152274	1.7832508749357542e-33
SC_RS09835		Sigma factor	1674773	gene_start		0	0	-50.27	1	0		0	0	5.5269691734079345	3.393746014177269e-24
SC_RS10435		TetR	1805076	gene_start	6.689999999999998	1	1		0	0	-1.8000000000000043	1	1	1.991505486717247	1.0409101822101902e-05
SC_RS11515		DeoR	2031485	gene_start	-0.01999999999999602	1	1		0	0		0	0	1.6809431847299388	0.0001699613002738032
SC_RS13145		TetR	2387313	gene_start		0	0		0	0	-51.36	1	0	-2.7985256796387907	1.4619202996223605e-21
SC_RS13965	fasR	Other regulatory	2558045	gene_start		0	0	-6.096666666666657	3	3		0	0	-1.3096522610330428	3.848248885630113e-15
SC_RS15270		Sigma factor	2870568	gene_start		0	0	8.030000000000001	1	1		0	0	-1.7747397059724868	2.120495197321675e-07
SC_RS15485	fxsT	TetR	2920569	gene_start		0	0		0	0	4.490000000000002	1	1	0.0972640262333668	0.807059771939028
SC_RS16855		Other regulatory	3206684	gene_start		0	0	-50.7	1	0		0	0	-1.6613775957407972	2.9831552655051355e-14
SC_RS17670	mfd	Other regulatory	3408313	gene_start	-8.260000000000005	1	1		0	0		0	0	-0.3269667987752288	0.0592575079351018
SC_RS17795		Response regulator	3435935	experimental		0	0	7.390000000000001	1	1	52.57	0	1	3.862293400136804	1.104230837631596e-70
SC_RS21680		Other regulatory	4303613	gene_start		0	0	52.07	0	1		0	0	-2.5696452550254967	1.3118774690164058e-32
SC_RS22135		Sigma factor	4397767	experimental	1.289999999999992	1	1	7.829999999999998	2	1	54.43	0	1	0.216302293760551	0.4473362277968655
SC_RS22780		MarR	4529468	experimental		0	0		0	0	-6.5049999999999955	2	1	-3.862409740149491	2.6804264118874064e-83
